Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession
397672497	RVBD_0689c	WP_003403474.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672498	RVBD_0690c	WP_003403477.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108333	RVBD_0691A	WP_003403483.1	mycofactocin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672499	RVBD_0691c	WP_003403482.1	mycofactocin system transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672501	RVBD_0692	WP_003403486.1	mycofactocin system RPExFGAL protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672502	RVBD_0693	WP_003403490.1	radical SAM peptide maturase, mycofactocin system protein	0	N/A		1 to 1	RBB	WP_008804778.1	1 to 1	RBB	WP_015958461.1	0	N/A		1 to 1	RBB	WP_004184158.1	1 to 1	RBB	WP_004184158.1	0	N/A	
397672503	RVBD_0694	WP_003898557.1	heme/flavin dehydrogenase, mycofactocin system protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672504	RVBD_0695	WP_003403497.1	creatinine amidohydrolase, mycofactocin system protein	1 to 1	SSD	WP_004151186.1	1 to 1	RBB	WP_012541479.1	1 to 1	RBB	WP_015958545.1	0	N/A		1 to 1	RBB	WP_004898686.1	1 to 1	RBB	WP_004151186.1	1 to 1	RBB	YP_005227321
397672505	RVBD_0696	WP_003403501.1	mycofactocin system glycosyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672506	RVBD_0697	WP_003403503.1	dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672507	RVBD_0698	WP_003901901.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672508	RVBD_0699	WP_003403569.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672509	RVBD_0700	WP_003403578.1	30S ribosomal protein S10	1 to 1	SSD	WP_001181005.1	1 to 1	SSD	WP_001181005.1	1 to 1	SSD	WP_001181005.1	1 to 1	RBB	NP_417780.1	1 to 1	RBB	WP_001181005.1	1 to 1	SSD	WP_001181005.1	1 to 1	SSD	YP_005229170
397672510	RVBD_0701	WP_003403579.1	50S ribosomal protein L3	1 to 1	RBB	WP_002919796.1	1 to 1	SSD	WP_002919796.1	1 to 1	SSD	WP_002919796.1	1 to 1	RBB	NP_417779.1	1 to 1	RBB	WP_002919796.1	1 to 1	SSD	WP_002919796.1	1 to 1	RBB	YP_005229168
397672511	RVBD_0702	WP_003403580.1	50S ribosomal protein L4	1 to 1	RBB	WP_002919794.1	1 to 1	SSD	WP_002919794.1	1 to 1	RBB	WP_002919794.1	1 to 1	RBB	NP_417778.1	1 to 1	RBB	WP_002919794.1	1 to 1	SSD	WP_002919794.1	1 to 1	RBB	YP_005229167
397672512	RVBD_0703	WP_003403581.1	50S ribosomal protein L23	1 to 1	RBB	WP_000617546.1	1 to 1	RBB	WP_000617546.1	1 to 1	RBB	WP_000617546.1	1 to 1	RBB	NP_417777.1	1 to 1	RBB	WP_000617546.1	1 to 1	RBB	WP_000617546.1	1 to 1	RBB	YP_005229166
397672513	RVBD_0704	WP_003403582.1	50S ribosomal protein L2	1 to 1	SSD	WP_002919786.1	1 to 1	SSD	WP_002919786.1	1 to 1	SSD	WP_002919786.1	1 to 1	RBB	NP_417776.1	1 to 1	RBB	WP_002919786.1	1 to 1	SSD	WP_002919786.1	1 to 1	SSD	YP_005229165
397672514	RVBD_0705	WP_003403584.1	30S ribosomal protein S19	1 to 1	SSD	WP_001138115.1	1 to 1	SSD	WP_001138115.1	1 to 1	SSD	WP_001138115.1	1 to 1	RBB	NP_417775.1	1 to 1	RBB	WP_001138115.1	1 to 1	SSD	WP_001138115.1	1 to 1	SSD	YP_005229164
397672515	RVBD_0706	WP_003403587.1	50S ribosomal protein L22	1 to 1	RBB	WP_002919773.1	1 to 1	SSD	WP_002919773.1	1 to 1	RBB	WP_002919773.1	1 to 1	RBB	NP_417774.1	1 to 1	RBB	WP_002919773.1	1 to 1	SSD	WP_002919773.1	1 to 1	RBB	YP_005229163
397672516	RVBD_0707	WP_003403590.1	30S ribosomal protein S3	1 to 1	SSD	WP_002919766.1	1 to 1	SSD	WP_002919766.1	1 to 1	SSD	WP_002919766.1	1 to 1	RBB	NP_417773.1	1 to 1	RBB	WP_002919766.1	1 to 1	SSD	WP_002919766.1	1 to 1	SSD	YP_005229162
397672517	RVBD_0708	WP_003403592.1	50S ribosomal protein L16	1 to 1	RBB	WP_002919759.1	1 to 1	SSD	WP_002919759.1	1 to 1	RBB	WP_002919759.1	1 to 1	RBB	NP_417772.1	1 to 1	RBB	WP_002919759.1	1 to 1	SSD	WP_002919759.1	1 to 1	RBB	YP_005229161
397672518	RVBD_0709	WP_003403594.1	50S ribosomal protein L29	1 to 1	RBB	WP_002919754.1	1 to 1	RBB	WP_002919754.1	1 to 1	RBB	WP_002919754.1	1 to 1	RBB	NP_417771.1	1 to 1	RBB	WP_002919754.1	1 to 1	RBB	WP_002919754.1	1 to 1	RBB	YP_005229160
397672519	RVBD_0710	WP_031647119.1	30S ribosomal protein S17	1 to 1	SSD	WP_002919751.1	0	N/A		1 to 1	SSD	WP_002919751.1	1 to 1	RBB	NP_417770.1	1 to 1	RBB	WP_002919751.1	1 to 1	SSD	WP_002919751.1	1 to 1	SSD	YP_005229159
397672520	RVBD_0711	WP_003898561.1	arylsulfatase	1 to 3	RBB	WP_012737578.1	0	N/A		3 to 1	RBB	WP_004893684.1	3 to 1	RBB	NP_416015.2	3 to 1	RBB	WP_004223434.1	3 to 1	RBB	WP_012737578.1	3 to 1	RBB	YP_005225645
397672521	RVBD_0712	WP_003403610.1	hypothetical protein	2 to 1	RBB	WP_015874921.1;WP_015874922.1	0	N/A		1 to 2	RBB	WP_015958627.1;WP_015958628.1	0	N/A		0	N/A		1 to 3	RBB	WP_015874921.1;WP_015874922.1;WP_004180403.1	1 to 3	RBB	YP_005227557;YP_005227563;YP_005227565
397672522	RVBD_0713	WP_003898562.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672523	RVBD_0714	WP_003403649.1	50S ribosomal protein L14	1 to 1	SSD	WP_002919748.1	0	N/A		1 to 1	SSD	WP_002919748.1	1 to 1	RBB	NP_417769.1	1 to 1	RBB	WP_002919748.1	1 to 1	SSD	WP_002919748.1	1 to 1	SSD	YP_005229158
397672524	RVBD_0715	WP_003403654.1	50S ribosomal protein L24	1 to 1	RBB	WP_000729185.1	1 to 1	SSD	WP_003031122.1	1 to 1	RBB	WP_000729185.1	1 to 1	RBB	NP_417768.1	1 to 1	RBB	WP_000729185.1	1 to 1	SSD	WP_000729185.1	1 to 1	RBB	YP_005229157
397672525	RVBD_0716	WP_003403660.1	50S ribosomal protein L5	1 to 1	SSD	WP_001096200.1	1 to 1	SSD	WP_003031123.1	1 to 1	SSD	WP_001096200.1	1 to 1	RBB	NP_417767.1	1 to 1	RBB	WP_001096200.1	1 to 1	SSD	WP_001096200.1	1 to 1	SSD	YP_005229156
397672526	RVBD_0717	WP_003403667.1	30S ribosomal protein S14	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672527	RVBD_0718	WP_003403669.1	30S ribosomal protein S8	1 to 1	SSD	WP_002919665.1	1 to 1	SSD	WP_008807048.1	1 to 1	SSD	WP_002919665.1	1 to 1	RBB	NP_417765.1	1 to 1	RBB	WP_002919665.1	1 to 1	SSD	WP_002919665.1	1 to 1	SSD	YP_005229154
397672528	RVBD_0719	WP_003403673.1	50S ribosomal protein L6	1 to 1	SSD	WP_014906851.1	1 to 1	SSD	WP_008807049.1	1 to 1	RBB	WP_002919662.1	1 to 1	RBB	NP_417764.1	1 to 1	RBB	WP_002919662.1	1 to 1	SSD	WP_014906851.1	1 to 1	RBB	YP_005229153
397672529	RVBD_0720	WP_003403677.1	50S ribosomal protein L18	1 to 1	RBB	WP_000358960.1	1 to 1	SSD	WP_006817270.1	1 to 1	RBB	WP_000358960.1	1 to 1	RBB	NP_417763.1	1 to 1	RBB	WP_000358960.1	1 to 1	SSD	WP_000358960.1	1 to 1	RBB	YP_005229152
397672530	RVBD_0721	WP_003403680.1	30S ribosomal protein S5	1 to 1	SSD	WP_002919545.1	1 to 1	SSD	WP_000940121.1	1 to 1	SSD	WP_002919545.1	1 to 1	RBB	NP_417762.1	1 to 1	RBB	WP_002919545.1	1 to 1	SSD	WP_002919545.1	1 to 1	SSD	YP_005229151
397672531	RVBD_0722	WP_003403683.1	50S ribosomal protein L30	1 to 1	RBB	WP_001140434.1	1 to 1	RBB	WP_001140434.1	1 to 1	RBB	WP_001140434.1	1 to 1	RBB	NP_417761.1	1 to 1	RBB	WP_001140434.1	1 to 1	RBB	WP_001140434.1	1 to 1	RBB	YP_005229150
397672532	RVBD_0723	WP_003898563.1	50S ribosomal protein L15	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672533	RVBD_0724	WP_003403686.1	signal peptide peptidase SppA, 67K type	1 to 1	RBB	WP_014907790.1	1 to 1	SSD	WP_008807623.1	1 to 1	SSD	WP_004176533.1	1 to 1	RBB	NP_416280.1	1 to 1	RBB	WP_004140411.1	1 to 1	SSD	WP_014907790.1	1 to 1	SSD	YP_005226396
397672534	RVBD_0725c	WP_003403687.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672535	RVBD_0726c	WP_003403691.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672536	RVBD_0727c	WP_003911249.1	L-ribulose-5-phosphate 4-epimerase	1 to 1	RBB	WP_002915470.1	1 to 1	SSD	WP_012540715.1	1 to 1	RBB	WP_002915470.1	1 to 1	RBB	NP_417280.1	1 to 1	RBB	WP_002915470.1	1 to 1	SSD	WP_002915470.1	1 to 1	RBB	YP_005228531
397672537	RVBD_0728c	WP_003898565.1	D-3-phosphoglycerate dehydrogenase	2 to 1	RBB	WP_014907932.1;WP_004177325.1	1 to 2	RBB	WP_012542472.1;WP_012542780.1	1 to 1	RBB	WP_012068440.1	0	N/A		1 to 1	RBB	WP_002894255.1	1 to 2	RBB	WP_004177325.1;WP_014907932.1	1 to 2	RBB	YP_005225289;YP_005225774
397672538	RVBD_0729	WP_003900204.1	xylulokinase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_418021.1	0	N/A		0	N/A		0	N/A	
397672539	RVBD_0730	WP_009935961.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672540	RVBD_0731c	WP_003403717.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672541	RVBD_0732	WP_003403723.1	preprotein translocase subunit secY	1 to 1	RBB	WP_002919515.1	1 to 1	Borderline-SSD	WP_008807050.1	1 to 1	RBB	WP_015959079.1	1 to 1	RBB	NP_417759.1	1 to 1	RBB	WP_002919515.1	1 to 1	SSD	WP_002919515.1	1 to 1	RBB	YP_005229148
397672542	RVBD_0733	WP_003403726.1	adenylate kinase	1 to 1	SSD	WP_002892184.1	1 to 1	SSD	WP_002892184.1	1 to 1	SSD	WP_002892184.1	1 to 1	RBB	NP_415007.1	1 to 1	RBB	WP_002892184.1	1 to 1	SSD	WP_002892184.1	1 to 1	SSD	YP_005225502
397672543	RVBD_0734	WP_003403728.1	methionine aminopeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672544	RVBD_0735	WP_003403731.1	sigma-70 family RNA polymerase sigma factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672545	RVBD_0736	WP_003403733.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672546	RVBD_0737	WP_003403738.1	MarR family transcriptional regulator	1 to 1	RBB	WP_002916184.1	1 to 1	RBB	WP_012540630.1	1 to 1	RBB	WP_002916184.1	0	N/A		1 to 1	RBB	WP_002916184.1	1 to 1	RBB	WP_002916184.1	1 to 1	RBB	YP_005228650
397672547	RVBD_0738	WP_003403741.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672548	RVBD_0739	WP_003898568.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672549	RVBD_0740	WP_003403746.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672550	RVBD_0741	WP_003403752.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108334	RVBD_0742	WP_003901009.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672552	RVBD_0743c	WP_003403820.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672554	RVBD_0744Ac	WP_003403828.1	3-hydroxyisobutyrate dehydrogenase mmsB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672553	RVBD_0744c	WP_003403827.1	excisionase family DNA binding domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672555	RVBD_0745	WP_003901010.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672556	RVBD_0746	WP_012054159.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672557	RVBD_0747	WP_012054160.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672558	RVBD_0748	WP_003403834.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672559	RVBD_0749	WP_003403837.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672560	RVBD_0749A	WP_003403839.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672561	RVBD_0750	WP_003403841.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672562	RVBD_0751c	WP_003403844.1	3-hydroxyisobutyrate dehydrogenase	3 to 1	RBB	WP_012737532.1;WP_002903955.1;WP_002917952.1	1 to 1	RBB	WP_012540492.1	1 to 1	SSD	WP_002917952.1	1 to 4	RBB	NP_415042.1;NP_417216.1;NP_417594.3;NP_418318.1	1 to 1	RBB	WP_002917952.1	1 to 2	RBB	WP_012737532.1;WP_002917952.1	1 to 2	SSD	YP_005226820;YP_005228972
397672563	RVBD_0752c	WP_003403845.1	acyl-CoA dehydrogenase fadE9	1 to 4	RBB	WP_000337350.1	0	N/A		7 to 1	RBB	WP_002889690.1	4 to 1	RBB	NP_416210.4	6 to 1	RBB	WP_002889690.1	6 to 1	RBB	WP_002889690.1	7 to 1	RBB	YP_005225261
397672564	RVBD_0753c	WP_003403847.1	methylmalonate-semialdehyde dehydrogenase	1 to 1	RBB	WP_009486529.1	1 to 1	RBB	WP_004146794.1	1 to 1	RBB	WP_004146794.1	0	N/A		1 to 1	RBB	WP_004146794.1	1 to 1	RBB	WP_009486529.1	1 to 1	RBB	YP_005224823
397672565	RVBD_0754	WP_003403850.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672567	RVBD_0755A	WP_003403857.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672566	RVBD_0755c	WP_003898574.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672568	RVBD_0756c	WP_003403862.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672569	RVBD_0757	WP_003915456.1	two-component system OmpR family response regulator	0	N/A		5 to 1	RBB	WP_008807068.1	3 to 1	RBB	WP_002887273.1	5 to 1	RBB	NP_415103.1	3 to 1	RBB	WP_002887273.1	3 to 1	RBB	WP_002887273.1	3 to 1	RBB	YP_005224886
397672570	RVBD_0758	WP_003916717.1	two-component system, OmpR family, sensor kinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108335	RVBD_0759c	WP_003403876.1	hit-like protein	1 to 1	RBB	WP_002900681.1	1 to 1	RBB	WP_012542237.1	1 to 1	RBB	WP_002900681.1	1 to 1	RBB	NP_415621.3	1 to 1	RBB	WP_002900681.1	1 to 1	RBB	WP_002900681.1	1 to 1	RBB	YP_005226279
397672572	RVBD_0760c	WP_003403880.1	steroid delta-isomerase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672573	RVBD_0761c	WP_003403885.1	alcohol dehydrogenase B	1 to 2	RBB	WP_004143804.1	2 to 1	RBB	WP_012541539.1	2 to 1	RBB	WP_004143804.1	2 to 1	RBB	NP_414890.1	2 to 1	RBB	WP_004143804.1	2 to 1	RBB	WP_004143804.1	2 to 1	RBB	YP_005227230
397672574	RVBD_0762c	WP_003403887.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672575	RVBD_0763c	WP_003403890.1	ferredoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672576	RVBD_0764c	WP_003898577.1	lanosterol 14-alpha demethylase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672577	RVBD_0765c	WP_003898578.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672578	RVBD_0766c	WP_003403911.1	cytochrome P450 123 cyp123	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672579	RVBD_0767c	WP_003403915.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672580	RVBD_0768	WP_003403919.1	aldehyde dehydrogenase	0	N/A		0	N/A		0	N/A		2 to 2	RBB	NP_414846.1;NP_417147.1	0	N/A		0	N/A		0	N/A	
397672581	RVBD_0769	WP_003898579.1	3-oxoacyl-ACP reductase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_416136.1	0	N/A		0	N/A		0	N/A	
397672582	RVBD_0770	WP_003403924.1	dehydrogenase/reductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672583	RVBD_0771	WP_003918128.1	4-carboxymuconolactone decarboxylase	4 to 1	RBB	WP_014906953.1;WP_014907622.1;WP_004143067.1;WP_002882947.1	1 to 4	RBB	WP_012540604.1;WP_008804942.1;WP_008805049.1;WP_008807865.1	1 to 4	RBB	WP_004143067.1;WP_015958395.1;WP_004185540.1;WP_002882947.1	0	N/A		1 to 4	RBB	WP_004143067.1;WP_004143517.1;WP_002916291.1;WP_002882947.1	1 to 4	RBB	WP_002882947.1;WP_004143067.1;WP_004143517.1;WP_014906953.1	1 to 4	RBB	YP_005224390;YP_005226751;YP_005226876;YP_005228680
397672584	RVBD_0772	WP_003898580.1	phosphoribosylamine--glycine ligase	1 to 1	SSD	WP_002884357.1	1 to 1	RBB	WP_008807986.1	1 to 1	SSD	WP_002884357.1	1 to 1	RBB	NP_418433.1	1 to 1	RBB	WP_002884357.1	1 to 1	RBB	WP_002884357.1	1 to 1	SSD	YP_005224525
397672585	RVBD_0773c	WP_003911281.1	gamma-glutamyltransferase	1 to 1	RBB	WP_014907569.1	1 to 1	RBB	WP_012541682.1	1 to 1	SSD	WP_015958435.1	0	N/A		1 to 1	RBB	WP_004224908.1	1 to 1	RBB	WP_014907569.1	1 to 1	SSD	YP_005227017
397672586	RVBD_0774c	WP_003403938.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672587	RVBD_0775	WP_014585088.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672588	RVBD_0776c	WP_003403949.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672589	RVBD_0777	WP_003898583.1	adenylosuccinate lyase	1 to 1	RBB	WP_004176557.1	1 to 1	RBB	WP_012541200.1	1 to 1	RBB	WP_004176557.1	1 to 1	RBB	NP_415649.1	1 to 1	RBB	WP_004176557.1	1 to 1	RBB	WP_004176557.1	1 to 1	RBB	YP_005226316
397672590	RVBD_0778	WP_003898584.1	cytochrome P450 126 cyp126	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672591	RVBD_0779c	WP_003403957.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672592	RVBD_0780	WP_003403962.1	phosphoribosylaminoimidazolesuccinocarboxamide synthase	1 to 1	RBB	WP_002913801.1	1 to 1	RBB	WP_002913801.1	1 to 1	RBB	WP_002913801.1	1 to 1	RBB	NP_416971.1	1 to 1	RBB	WP_002913801.1	1 to 1	RBB	WP_002913801.1	1 to 1	RBB	YP_005228182
397672593	RVBD_0781	WP_003915857.1	oligopeptidase B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672594	RVBD_0782	WP_009936246.1	oligopeptidase B	1 to 1	RBB	WP_004151449.1	1 to 1	RBB	WP_012541258.1	1 to 1	RBB	WP_004151449.1	1 to 1	RBB	NP_416359.1	1 to 1	RBB	WP_004899137.1	1 to 1	RBB	WP_004151449.1	1 to 1	RBB	YP_005227679
397672595	RVBD_0782Ac	YP_006514130	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672596	RVBD_0783c	WP_003403977.1	drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	0	N/A		1 to 1	RBB	WP_012542122.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672597	RVBD_0784	WP_003403980.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672598	RVBD_0785	WP_003915861.1	KsdD-like steroid dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672599	RVBD_0786c	WP_003403989.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672600	RVBD_0787	WP_031654488.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672601	RVBD_0787A	WP_003403993.1	phosphoribosylformylglycinamidine synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672602	RVBD_0788	WP_003403995.1	phosphoribosylformylglycinamidine synthase 1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672603	RVBD_0789c	WP_014584683.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672604	RVBD_0790c	WP_003404002.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672605	RVBD_0791c	WP_003404004.1	hypothetical protein	2 to 2	RBB	WP_014907889.1;WP_002915347.1	0	N/A		2 to 2	RBB	WP_002898293.1;WP_015958896.1	2 to 1	RBB	NP_415455.1	2 to 2	RBB	WP_002898293.1;WP_002915347.1	2 to 2	RBB	WP_014907889.1;WP_002915347.1	2 to 2	RBB	YP_005226151;YP_005228526
397672606	RVBD_0792c	WP_003404007.1	GntR family transcriptional regulator	4 to 1	RBB	WP_004145049.1;WP_004151520.1;WP_004151705.1;WP_004177785.1	1 to 4	RBB	WP_008806752.1;WP_012540966.1;WP_012542371.1;WP_012543146.1	1 to 3	RBB	WP_004151705.1;WP_004151520.1;WP_004177785.1	1 to 4	RBB	NP_415258.1;NP_416604.1;NP_417834.6;NP_418139.1	1 to 5	RBB	WP_004177785.1;WP_002886945.1;WP_004151705.1;WP_004145049.1;WP_004151520.1	1 to 4	SSD	WP_004177785.1;WP_004151705.1;WP_004145049.1;WP_004151520.1	1 to 4	RBB	YP_005224643;YP_005224811;YP_005225982;YP_005229560
397672607	RVBD_0793	WP_003404010.1	hypothetical protein	1 to 1	RBB	WP_004889187.1	0	N/A		1 to 1	RBB	WP_002922965.1	0	N/A		1 to 1	RBB	WP_002922965.1	1 to 1	RBB	WP_004889187.1	1 to 1	RBB	YP_005229489
397672608	RVBD_0794c	WP_003404013.1	dihydrolipoamide dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672609	RVBD_0795	WP_003899493.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		16 to 1	RBB	WP_004222278.1	0	N/A		16 to 1	RBB	YP_005225151
397672610	RVBD_0796	WP_003899492.1	transposase	4 to 16	RBB	WP_004146689.1	16 to 1	SSD	WP_012543023.1	16 to 4	RBB	WP_004146689.1;WP_015958955.1	16 to 6	RBB	NP_414833.1;NP_414906.1;NP_415073.1;NP_415545.1;NP_416593.1;NP_418015.1	16 to 7	RBB	WP_004146689.1;WP_004222280.1;WP_014599215.1	16 to 4	RBB	WP_004146689.1	16 to 7	RBB	YP_005224653;YP_005225150;YP_005225191;YP_005225696;YP_005225762;YP_005226399;YP_005229359
