Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae HS11286 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae KCTC 2242 - ortholog count (reference : comparison)	Klebsiella pneumoniae KCTC 2242 - ortholuge status	Klebsiella pneumoniae KCTC 2242 - ortholog NCBI RefSeq accession	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae 342 - ortholog count (reference : comparison)	Klebsiella pneumoniae 342 - ortholuge status	Klebsiella pneumoniae 342 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae MGH 78578 - ortholog NCBI RefSeq accession
16128477	b0493	NP_415026.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	1 to 1	SSD	YP_005225519	1 to 1	SSD	WP_014599051.1	0	N/A		1 to 1	SSD	WP_004177222.1	1 to 1	SSD	WP_004177222.1	1 to 1	SSD	WP_004177222.1	1 to 1	SSD	WP_041937584.1
16128478	b0494	NP_415027.1	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	1 to 1	SSD	YP_005225520	1 to 1	SSD	WP_004196998.1	0	N/A		1 to 1	SSD	WP_004196998.1	1 to 1	SSD	WP_004196998.1	1 to 1	SSD	WP_012542655.1	1 to 1	SSD	WP_004196998.1
16128479	b0495	NP_415028.1	predicted transporter subunit: ATP-binding component of ABC superfamily	1 to 1	SSD	YP_005225521	1 to 1	SSD	WP_004151324.1	1 to 3	RBB	WP_003900248.1	1 to 1	SSD	WP_004146399.1	1 to 1	SSD	WP_004146399.1	1 to 1	SSD	WP_008805463.1	1 to 1	SSD	WP_004146399.1
16128480	b0496	NP_415029.1	predicted ABC transporter permease	1 to 1	SSD	YP_005225522	1 to 1	SSD	WP_004147400.1	0	N/A		1 to 1	SSD	WP_012737525.1	1 to 1	SSD	WP_012737525.1	1 to 1	SSD	WP_012542654.1	1 to 1	SSD	WP_004147400.1
16128481	b0497	NP_415030.1	rhsD element protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128482	b0498	NP_415031.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128487	b0503	NP_415036.1	tRNA 2-selenouridine synthase, selenophosphate-dependent	1 to 1	SSD	YP_005225525	1 to 1	SSD	WP_004151323.1	0	N/A		0	N/A		1 to 1	SSD	WP_040181942.1	1 to 1	SSD	WP_012542651.1	1 to 1	SSD	WP_004183227.1
16128488	b0504	NP_415037.1	DNA-binding transcriptional activator of the allD operon	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737527.1	1 to 1	RBB	WP_012737527.1	0	N/A		0	N/A	
16128489	b0505	NP_415038.1	ureidoglycolate hydrolase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737528.1	1 to 1	RBB	WP_012737528.1	0	N/A		0	N/A	
16128490	b0506	NP_415039.1	DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced	0	N/A		0	N/A		1 to 5	RBB	WP_003408460.1	1 to 1	RBB	WP_012737529.1	1 to 1	RBB	WP_012737529.1	0	N/A		0	N/A	
16128491	b0507	NP_415040.1	glyoxylate carboligase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_014907964.1	1 to 1	RBB	WP_012737530.1	0	N/A		0	N/A	
16128492	b0508	NP_415041.1	hydroxypyruvate isomerase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737531.1	1 to 1	RBB	WP_012737531.1	0	N/A		0	N/A	
16128493	b0509	NP_415042.1	tartronate semialdehyde reductase, NADH-dependent	0	N/A		0	N/A		1 to 4	RBB	WP_003403844.1	1 to 1	RBB	WP_012737532.1	1 to 1	RBB	WP_012737532.1	0	N/A		0	N/A	
90111144	b0511	NP_415044.4	predicted allantoin transporter	1 to 1	Non-SSD	YP_005227044	1 to 1	Non-SSD	WP_004224955.1	0	N/A		1 to 1	RBB	WP_012737534.1	1 to 1	RBB	WP_012737534.1	1 to 1	Non-SSD	WP_008804801.1	1 to 1	Non-SSD	WP_004176095.1
16128496	b0512	NP_415045.1	allantoinase	0	N/A		0	N/A		1 to 2	RBB	WP_003407204.1	1 to 1	RBB	WP_012737535.1	1 to 1	RBB	WP_012737535.1	1 to 1	RBB	WP_012540369.1	0	N/A	
90111145	b0513	NP_415046.4	predicted uracil/xanthine transporter	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737536.1	1 to 1	RBB	WP_012737536.1	0	N/A		0	N/A	
16128498	b0514	NP_415047.1	glycerate kinase II	0	N/A		0	N/A		1 to 2	RBB	WP_003899216.1	1 to 1	RBB	WP_012737537.1	1 to 1	RBB	WP_012737537.1	0	N/A		0	N/A	
16128499	b0515	NP_415048.1	conserved protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737538.1	1 to 1	RBB	WP_012737538.1	0	N/A		0	N/A	
16128500	b0516	NP_415049.1	allantoate amidohydrolase	1 to 1	RBB	YP_005227010	1 to 1	RBB	WP_004224897.1	0	N/A		1 to 1	RBB	WP_012737539.1	1 to 1	RBB	WP_012737539.1	1 to 1	RBB	WP_012541684.1	1 to 1	RBB	WP_015958434.1
16128501	b0517	NP_415050.1	ureidoglycolate dehydrogenase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737540.1	1 to 1	RBB	WP_012737540.1	0	N/A		0	N/A	
16128502	b0518	NP_415051.1	multicopy suppressor of dominant negative ftsH mutations; predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737541.1	1 to 1	RBB	WP_012737541.1	0	N/A		0	N/A	
16128504	b0520	NP_415053.1	conserved protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737543.1	1 to 1	RBB	WP_012737543.1	0	N/A		0	N/A	
16128505	b0521	NP_415054.1	predicted carbamate kinase	0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012737544.1	1 to 1	SSD	WP_012737544.1	0	N/A		0	N/A	
16128506	b0522	NP_415055.1	N5-carboxyaminoimidazole ribonucleotide synthase	1 to 1	SSD	YP_005225526	1 to 1	SSD	WP_004223112.1	1 to 1	RBB	WP_003417126.1	1 to 1	SSD	WP_012737545.1	1 to 1	SSD	WP_012737545.1	1 to 1	SSD	WP_008805468.1	1 to 1	SSD	WP_004143002.1
16128507	b0523	NP_415056.1	N5-carboxyaminoimidazole ribonucleotide mutase	1 to 1	SSD	YP_005225527	1 to 1	SSD	WP_004223115.1	1 to 1	RBB	WP_003899997.1	1 to 1	SSD	WP_004151322.1	1 to 1	SSD	WP_004151322.1	1 to 1	SSD	WP_012542650.1	1 to 1	SSD	WP_004151322.1
16128508	b0524	NP_415057.1	UDP-2,3-diacylglucosamine pyrophosphatase	1 to 1	SSD	YP_005225529	1 to 1	SSD	WP_004191610.1	0	N/A		1 to 1	SSD	WP_004151320.1	1 to 1	SSD	WP_004151320.1	1 to 1	SSD	WP_012542648.1	1 to 1	SSD	WP_004191610.1
16128509	b0525	NP_415058.1	peptidyl-prolyl cis-trans isomerase B (rotamase B)	1 to 1	SSD	YP_005225530	1 to 1	SSD	WP_004151319.1	1 to 1	RBB	WP_003400321.1	1 to 1	SSD	WP_004151319.1	1 to 1	SSD	WP_004151319.1	1 to 1	SSD	WP_008805471.1	1 to 1	SSD	WP_004151319.1
16128510	b0526	NP_415059.1	cysteinyl-tRNA synthetase	1 to 1	SSD	YP_005225531	1 to 1	SSD	WP_004191607.1	1 to 1	RBB	WP_003900108.1	1 to 1	SSD	WP_012737546.1	1 to 1	SSD	WP_012737546.1	1 to 1	SSD	WP_004143010.1	1 to 1	SSD	WP_004143010.1
16128511	b0527	NP_415060.1	inner membrane protein, DUF457 family	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012737549.1	1 to 1	RBB	WP_012737549.1	0	N/A		0	N/A	
90111146	b0528	NP_415061.2	Ribosome-associated protein; predicted RNA-binding protein	1 to 1	SSD	YP_005225532	1 to 1	SSD	WP_004223130.1	0	N/A		1 to 1	SSD	WP_012737550.1	1 to 1	SSD	WP_012737550.1	1 to 1	SSD	WP_004143016.1	1 to 1	SSD	WP_004143016.1
16128513	b0529	NP_415062.1	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	1 to 1	SSD	YP_005225533	1 to 1	SSD	WP_004143017.1	1 to 1	RBB	WP_003417751.1	1 to 1	SSD	WP_004143017.1	1 to 1	SSD	WP_004143017.1	1 to 1	SSD	WP_004143017.1	1 to 1	SSD	WP_004143017.1
90111147	b0530	NP_415063.4	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128515	b0531	NP_415064.1	pilin chaperone, periplasmic	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128516	b0532	NP_415065.1	predicted outer membrane export usher protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698227	b0533	NP_415066.2	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128518	b0534	NP_415067.1	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	WP_004145710.1	0	N/A		1 to 1	RBB	WP_004145710.1	1 to 1	RBB	WP_004145710.1	0	N/A		1 to 1	RBB	WP_004145710.1
16128519	b0535	NP_415068.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128520	b0537	NP_415069.1	DLP12 prophage; predicted integrase	1 to 1	RBB	YP_005225534	1 to 1	RBB	WP_004191604.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004196592.1	1 to 1	RBB	WP_015959032.1
226524703	b0540	NP_415072.2	IS3 transposase A	0	N/A		1 to 5	Non-SSD	WP_004222278.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128524	b0541	NP_415073.1	IS3 transposase B	1 to 5	Borderline-SSD	YP_005225150	1 to 5	Non-SSD	WP_004222280.1	16 to 6	RBB	WP_003899492.1	1 to 5	RBB	YP_006635470	0	N/A		0	N/A		5 to 1	RBB	WP_015959350.1
16128526	b0543	NP_415075.1	DLP12 prophage; multidrug resistance protein	0	N/A		0	N/A		1 to 1	RBB	WP_003415995.1	0	N/A		0	N/A		1 to 1	RBB	WP_012542991.1	0	N/A	
16128527	b0544	NP_415076.1	DLP12 prophage; predicted recombinase	0	N/A		1 to 1	Borderline-SSD	WP_004898924.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_012541364.1	0	N/A	
16128528	b0545	NP_415077.1	DLP12 prophage; secreted protein, UPF0098 family	1 to 1	RBB	YP_005226175	1 to 1	RBB	WP_004210995.1	1 to 2	RBB	WP_003411119.1	1 to 1	RBB	WP_014907882.1	1 to 1	RBB	WP_014907882.1	1 to 1	RBB	WP_008805901.1	1 to 1	RBB	WP_004210995.1
16128529	b0546	NP_415078.1	DLP12 prophage; predicted DNA-binding transcriptional regulator	1 to 1	Borderline-SSD	YP_005226176	1 to 1	Borderline-SSD	WP_002898450.1	0	N/A		1 to 1	Borderline-SSD	WP_004141625.1	1 to 1	Borderline-SSD	WP_004141625.1	1 to 1	Borderline-SSD	WP_008805902.1	1 to 1	Borderline-SSD	WP_002898450.1
16128530	b0547	NP_415079.1	DLP12 prophage; predicted protein	1 to 1	RBB	YP_005225555	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128531	b0548	NP_415080.1	DLP12 prophage; conserved protein	0	N/A		1 to 1	RBB	WP_032413853.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012542614.1	0	N/A	
16128532	b0549	NP_415081.1	DLP12 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041165370.1	0	N/A	
16128533	b0550	NP_415082.1	DLP12 prophage; endonuclease RUS	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_015874660.1	0	N/A		0	N/A	
16128534	b0551	NP_415083.1	DLP12 prophage; predicted antitermination protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012542181.1	0	N/A	
16128535	b0552	NP_415084.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128537	b0554	NP_415086.1	DLP12 prophage; predicted phage lysis protein	1 to 2	RBB	YP_005226557	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128538	b0555	NP_415087.1	DLP12 prophage; predicted lysozyme	0	N/A		1 to 1	RBB	WP_014599053.1	0	N/A		0	N/A		0	N/A		2 to 1	SSD	WP_032439908.1;WP_041165462.1	0	N/A	
16128539	b0556	NP_415088.1	DLP12 prophage; predicted murein endopeptidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012541829.1	0	N/A	
16128540	b0557	NP_415089.1	DLP12 prophage; predicted lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111149	b0558	NP_415090.2	DLP12 prophage; predicted protein	1 to 3	RBB	YP_005226708	1 to 3	RBB	WP_004224558.1	0	N/A		1 to 3	RBB	WP_004224558.1	1 to 3	RBB	WP_004224558.1	1 to 3	RBB	WP_008805086.1	3 to 1	RBB	WP_004224558.1
16128542	b0559	NP_415091.1	DLP12 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128543	b0560	NP_415092.1	DLP12 prophage; DNA packaging protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128547	b0564	NP_415096.1	DNA-binding global transcriptional activator; DLP12 prophage	0	N/A		0	N/A		2 to 5	RBB	WP_003416068.1;WP_003407264.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128548	b0565	NP_415097.1	DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128549	b0566	NP_415098.1	DNA-binding transcriptional activator of porin biosynthesis	0	N/A		0	N/A		2 to 5	RBB	WP_003416068.1;WP_003407264.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128550	b0567	NP_415099.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128551	b0568	NP_415100.1	bacteriophage N4 receptor, outer membrane subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128552	b0569	NP_415101.1	bacteriophage N4 receptor, inner membrane subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128553	b0570	NP_415102.1	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	1 to 1	SSD	YP_005224887	1 to 1	SSD	WP_004222374.1	0	N/A		1 to 1	SSD	WP_014908043.1	1 to 1	SSD	WP_014908043.1	1 to 1	SSD	WP_012543000.1	1 to 1	SSD	WP_015959366.1
16128554	b0571	NP_415103.1	DNA-binding response regulator in two-component regulatory system with CusS	1 to 1	SSD	YP_005224886	1 to 1	SSD	WP_002887273.1	5 to 1	RBB	WP_003916757.1;WP_009935658.1;WP_003915456.1;WP_003405328.1;WP_003420552.1	0	N/A		1 to 1	SSD	WP_002887273.1	1 to 1	SSD	WP_008807068.1	1 to 1	SSD	WP_002887273.1
16128555	b0572	NP_415104.1	copper/silver efflux system, outer membrane component	1 to 1	RBB	YP_005224884	1 to 1	RBB	WP_004222371.1	0	N/A		1 to 1	SSD	WP_012737332.1	1 to 1	RBB	WP_012737332.1	1 to 1	RBB	WP_012543001.1	1 to 1	RBB	WP_032428115.1
16128556	b0573	NP_415105.1	periplasmic copper- and silver-binding protein	1 to 1	SSD	YP_005224883	1 to 1	SSD	WP_004222368.1	0	N/A		1 to 1	SSD	WP_012737331.1	1 to 1	SSD	WP_012737331.1	1 to 1	SSD	WP_012543002.1	1 to 1	SSD	WP_015959364.1
16128557	b0574	NP_415106.1	copper/silver efflux system, membrane fusion protein	1 to 1	SSD	YP_005224882	1 to 1	SSD	WP_004222365.1	0	N/A		1 to 1	SSD	WP_004186840.1	1 to 1	SSD	WP_004186840.1	1 to 1	SSD	WP_012543003.1	1 to 1	SSD	WP_015959363.1
16128558	b0575	NP_415107.1	copper/silver efflux system, membrane component	1 to 1	SSD	YP_005224881	1 to 1	SSD	WP_004222362.1	0	N/A		1 to 1	SSD	WP_014908044.1	1 to 1	SSD	WP_012737329.1	1 to 1	SSD	WP_012543004.1	1 to 1	SSD	WP_015959362.1
16128559	b0576	NP_415108.1	phenylalanine transporter	1 to 1	RBB	YP_005225657	1 to 1	RBB	WP_004178890.1	0	N/A		1 to 1	RBB	WP_004151811.1	1 to 1	RBB	WP_004151811.1	1 to 1	RBB	WP_012542532.1	1 to 1	RBB	WP_004151811.1
16128560	b0577	NP_415109.1	mechanosensitive channel protein, miniconductance	1 to 1	SSD	YP_005225673	1 to 1	SSD	WP_004191456.1	0	N/A		1 to 1	SSD	WP_004142570.1	1 to 1	SSD	WP_004142570.1	1 to 1	SSD	WP_008805528.1	1 to 1	SSD	WP_004142570.1
16128561	b0578	NP_415110.1	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	1 to 1	RBB	YP_005225685	1 to 1	RBB	WP_004178896.1	0	N/A		1 to 1	RBB	WP_004178896.1	1 to 1	RBB	WP_004178896.1	1 to 1	RBB	WP_012542524.1	1 to 1	RBB	WP_004176973.1
16128562	b0579	NP_415111.1	conserved protein	1 to 1	RBB	YP_005225686	1 to 1	RBB	WP_004142557.1	0	N/A		1 to 1	RBB	WP_004142557.1	1 to 1	RBB	WP_004142557.1	1 to 1	RBB	WP_008805536.1	1 to 1	RBB	WP_004142557.1
16128563	b0580	NP_415112.1	predicted inner membrane protein	1 to 1	RBB	YP_005225690	1 to 1	RBB	WP_002893037.1	0	N/A		1 to 1	RBB	WP_002893037.1	1 to 1	RBB	WP_002893037.1	1 to 1	RBB	WP_008805539.1	1 to 1	RBB	WP_002893037.1
16128564	b0581	NP_415113.1	weak gamma-glutamyl:cysteine ligase	1 to 1	RBB	YP_005225698	1 to 1	RBB	WP_004176954.1	1 to 1	RBB	WP_003900145.1	1 to 1	RBB	WP_004176954.1	1 to 1	RBB	WP_004176954.1	1 to 1	RBB	WP_008805544.1	1 to 1	RBB	WP_004176954.1
16128565	b0582	NP_415114.1	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128566	b0583	NP_415115.1	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
345452717	b0583	NP_415115.2	phosphopantetheinyltransferase component of enterobactin synthase multienzyme complex	1 to 1	SSD	YP_005225736	1 to 1	SSD	WP_004223568.1	0	N/A		1 to 1	SSD	WP_004183335.1	1 to 1	SSD	WP_004183335.1	1 to 1	SSD	WP_012542494.1	1 to 1	SSD	WP_012068421.1
16128567	b0584	NP_415116.1	iron-enterobactin outer membrane transporter	1 to 1	SSD	YP_005225737	1 to 1	SSD	WP_014599075.1	0	N/A		1 to 1	SSD	WP_012737617.1	1 to 1	SSD	WP_012737617.1	1 to 1	SSD	WP_008805577.1	1 to 1	SSD	WP_012068422.1
16128568	b0585	NP_415117.1	enterobactin/ferric enterobactin esterase	1 to 1	SSD	YP_005225738	1 to 1	SSD	WP_004223574.1	0	N/A		1 to 1	SSD	WP_012737618.1	1 to 1	SSD	WP_012737618.1	1 to 1	SSD	WP_012542493.1	1 to 1	SSD	WP_019705362.1
16128569	b0586	NP_415118.1	enterobactin synthase multienzyme complex component, ATP-dependent	1 to 1	SSD	YP_005225740	1 to 1	SSD	WP_014599078.1	2 to 1	RBB	WP_003899297.1;WP_003400794.1	1 to 1	SSD	WP_012737619.1	1 to 1	SSD	WP_012737619.1	1 to 1	SSD	WP_012542492.1	1 to 1	SSD	WP_041937591.1
16128570	b0587	NP_415119.1	regulator of length of O-antigen component of lipopolysaccharide chains	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128571	b0588	NP_415120.1	iron-enterobactin transporter subunit	1 to 1	SSD	YP_005225741	1 to 1	SSD	WP_004223579.1	0	N/A		1 to 1	SSD	WP_002893737.1	1 to 1	SSD	WP_002893737.1	1 to 1	SSD	WP_012542491.1	1 to 1	SSD	WP_002893737.1
16128572	b0589	NP_415121.1	iron-enterobactin transporter subunit	1 to 1	SSD	YP_005225742	1 to 1	SSD	WP_004223582.1	0	N/A		1 to 1	SSD	WP_004147521.1	1 to 1	SSD	WP_004147521.1	1 to 1	SSD	WP_004147521.1	1 to 1	SSD	WP_004147521.1
16128573	b0590	NP_415122.1	iron-enterobactin transporter subunit	1 to 1	SSD	YP_005225743	1 to 1	SSD	WP_004223587.1	0	N/A		1 to 1	SSD	WP_004176917.1	1 to 1	SSD	WP_004176917.1	1 to 1	SSD	WP_012542490.1	1 to 1	SSD	WP_012068425.1
16128574	b0591	NP_415123.1	enterobactin exporter, iron-regulated	1 to 1	SSD	YP_005225744	1 to 1	SSD	WP_004223589.1	0	N/A		1 to 1	SSD	WP_004147525.1	1 to 1	SSD	WP_004147525.1	1 to 1	SSD	WP_012542489.1	1 to 1	SSD	WP_004147525.1
16128575	b0592	NP_415124.1	iron-enterobactin transporter subunit	1 to 1	SSD	YP_005225745	1 to 1	SSD	WP_004147526.1	0	N/A		1 to 1	SSD	WP_012737621.1	1 to 1	SSD	WP_012737621.1	1 to 1	SSD	WP_012542488.1	1 to 1	SSD	WP_004147526.1
16128576	b0593	NP_415125.1	isochorismate synthase 1	1 to 1	SSD	YP_005225746	1 to 1	SSD	WP_014599079.1	1 to 1	RBB	WP_003416879.1	1 to 1	SSD	WP_014907941.1	1 to 1	SSD	WP_014907941.1	1 to 1	SSD	WP_012542487.1	1 to 1	SSD	WP_004176916.1
16128577	b0594	NP_415126.1	2,3-dihydroxybenzoate-AMP ligase component of enterobactin synthase multienzyme complex	1 to 1	SSD	YP_005225747	1 to 1	SSD	WP_004223595.1	1 to 1	RBB	WP_003412282.1	1 to 1	SSD	WP_004183353.1	1 to 1	SSD	WP_004183353.1	1 to 1	SSD	WP_012542486.1	1 to 1	SSD	WP_012068426.1
16128578	b0595	NP_415127.1	isochorismatase	1 to 1	SSD	YP_005225748	1 to 1	SSD	WP_014599080.1	0	N/A		1 to 1	SSD	WP_004210873.1	1 to 1	SSD	WP_004210873.1	1 to 1	SSD	WP_012542485.1	1 to 1	SSD	WP_012068427.1
16128579	b0596	NP_415128.1	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	1 to 1	SSD	YP_005225749	1 to 1	SSD	WP_002893888.1	0	N/A		1 to 1	SSD	WP_014907940.1	1 to 1	SSD	WP_014907940.1	1 to 1	SSD	WP_008805588.1	1 to 1	SSD	WP_012068428.1
16128580	b0597	NP_415129.1	thioesterase required for efficient enterobactin production	1 to 1	RBB	YP_005225750	1 to 1	RBB	WP_002893892.1	1 to 2	RBB	WP_003899048.1	1 to 1	RBB	WP_004178978.1	1 to 1	RBB	WP_004178978.1	1 to 1	RBB	WP_008805589.1	1 to 1	RBB	WP_008805589.1
16128581	b0598	NP_415130.1	carbon starvation protein	1 to 1	RBB	YP_005225751	1 to 1	RBB	WP_014599081.1	1 to 2	RBB	WP_003917116.1	1 to 1	RBB	WP_014907939.1	1 to 1	RBB	WP_012737624.1	1 to 1	RBB	WP_008805590.1	1 to 1	RBB	WP_012068429.1
16128582	b0599	NP_415132.1	predicted oxidoreductase	1 to 1	SSD	YP_005225756	0	N/A		0	N/A		1 to 1	SSD	YP_006637399	1 to 1	SSD	WP_004191385.1	1 to 1	SSD	WP_012542481.1	1 to 1	SSD	WP_012068433.1
16128583	b0600	NP_415133.1	methionine aminotransferase, PLP-dependent	1 to 1	Borderline-SSD	YP_005225783	1 to 1	Borderline-SSD	WP_014599089.1	1 to 1	RBB	WP_003404420.1	1 to 1	Borderline-SSD	WP_004223629.1	1 to 1	Borderline-SSD	WP_004223629.1	1 to 1	Borderline-SSD	WP_012542465.1	1 to 1	Borderline-SSD	WP_012068445.1
16128584	b0601	NP_415134.1	conserved protein	1 to 1	RBB	YP_005225784	1 to 1	RBB	WP_004223631.1	0	N/A		1 to 1	RBB	WP_004151651.1	1 to 1	RBB	WP_004151651.1	1 to 1	RBB	WP_012542464.1	1 to 1	RBB	WP_004151651.1
16128585	b0602	NP_415135.1	conserved protein	1 to 1	RBB	YP_005225785	1 to 1	RBB	WP_004223633.1	0	N/A		1 to 1	RBB	WP_002894369.1	1 to 1	RBB	WP_002894369.1	1 to 1	RBB	WP_012542463.1	1 to 1	RBB	WP_002894369.1
16128586	b0603	NP_415136.1	predicted DNA-binding transcriptional regulator	1 to 1	RBB	YP_005225786	1 to 1	RBB	WP_004223635.1	0	N/A		1 to 1	RBB	WP_002894372.1	1 to 1	RBB	WP_002894372.1	1 to 1	RBB	WP_008805620.1	1 to 1	RBB	WP_004212615.1
90111151	b0604	NP_415137.2	thiol:disulfide interchange protein, periplasmic	1 to 1	RBB	YP_005225787	1 to 1	RBB	WP_014599090.1	0	N/A		1 to 1	RBB	WP_009485194.1	1 to 1	RBB	WP_009485194.1	1 to 1	RBB	WP_008805621.1	1 to 1	RBB	WP_032432799.1
16128588	b0605	NP_415138.1	alkyl hydroperoxide reductase, C22 subunit	1 to 1	RBB	YP_005225788	1 to 1	RBB	WP_002894394.1	1 to 1	RBB	WP_003412529.1	1 to 1	RBB	WP_002894394.1	1 to 1	RBB	WP_002894394.1	1 to 1	RBB	WP_002894394.1	1 to 1	RBB	WP_002894394.1
90111152	b0606	NP_415139.2	alkyl hydroperoxide reductase, F52a subunit, FAD/NAD(P)-binding	1 to 1	RBB	YP_005225789	1 to 1	RBB	WP_014599091.1	0	N/A		1 to 1	RBB	WP_004893443.1	1 to 1	RBB	WP_004893443.1	1 to 1	RBB	WP_012542462.1	1 to 1	RBB	WP_004142378.1
16128590	b0607	NP_415140.1	universal stress protein UP12	1 to 1	SSD	YP_005225790	1 to 1	SSD	WP_002894401.1	0	N/A		1 to 1	SSD	WP_002894401.1	1 to 1	SSD	WP_002894401.1	1 to 1	SSD	WP_002894401.1	1 to 1	SSD	WP_002894401.1
