Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession
397672393	RVBD_0593	WP_003403114.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A	
397672394	RVBD_0594	WP_003403119.1	virulence factor Mce family protein	0	N/A		0	N/A		0	N/A	
397672395	RVBD_0595c	WP_003403122.1	toxin	0	N/A		0	N/A		0	N/A	
397672396	RVBD_0596c	WP_003403125.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672398	RVBD_0597A	YP_006513933	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672397	RVBD_0597c	WP_003403128.1	ATPase AAA+ superfamily protein	0	N/A		0	N/A		0	N/A	
397672399	RVBD_0598c	WP_003403137.1	toxin	0	N/A		0	N/A		0	N/A	
397672400	RVBD_0599c	WP_003403139.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672401	RVBD_0600c	WP_003900973.1	sensor histidine kinase component HK1	0	N/A		0	N/A		0	N/A	
397672402	RVBD_0601c	WP_003917320.1	sensor histidine kinase component HK2	0	N/A		0	N/A		0	N/A	
397672403	RVBD_0602c	WP_003403148.1	transcriptional regulatory protein tcrA	0	N/A		0	N/A		0	N/A	
397672404	RVBD_0603	WP_003403164.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672405	RVBD_0604	WP_003900184.1	lipoprotein LpqO	0	N/A		0	N/A		0	N/A	
397672406	RVBD_0605	WP_003403171.1	resolvase	0	N/A		0	N/A		0	N/A	
397672407	RVBD_0606	WP_003403177.1	transposase	0	N/A		0	N/A		0	N/A	
397672408	RVBD_0607	WP_003898523.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672409	RVBD_0608	WP_003403184.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672410	RVBD_0609	WP_003403187.1	toxin	0	N/A		0	N/A		0	N/A	
397672411	RVBD_0609A	WP_003900974.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672412	RVBD_0609Bc	YP_006513947	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672413	RVBD_0610c	WP_003898524.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672414	RVBD_0611c	WP_003898525.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672415	RVBD_0612	WP_003898526.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672416	RVBD_0613c	WP_003900188.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672417	RVBD_0614	WP_003898528.1	galactose-1-phosphate uridylyltransferase	0	N/A		0	N/A		0	N/A	
397672418	RVBD_0615	WP_003403210.1	membrane protein	0	N/A		0	N/A		0	N/A	
397672420	RVBD_0616A	WP_003403213.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672419	RVBD_0616c	WP_003898530.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672421	RVBD_0617	WP_003403218.1	toxin	0	N/A		0	N/A		0	N/A	
397672422	RVBD_0618	YP_006513957	galactose-1-phosphate uridylyltransferase	0	N/A		0	N/A		0	N/A	
397672423	RVBD_0619	YP_006513958	galactose-1-phosphate uridylyltransferase	0	N/A		0	N/A		0	N/A	
397672424	RVBD_0620	WP_003906403.1	galactokinase	0	N/A		1 to 1	RBB	NP_391699.1	1 to 1	RBB	YP_817085.1
397672425	RVBD_0621	WP_003898532.1	membrane protein	0	N/A		0	N/A		0	N/A	
397672426	RVBD_0622	WP_003403232.1	membrane protein	0	N/A		0	N/A		0	N/A	
397672427	RVBD_0623	WP_003403235.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672428	RVBD_0624	WP_003403236.1	toxin	0	N/A		0	N/A		0	N/A	
397672429	RVBD_0625c	WP_003403239.1	TVP38/TMEM64 family membrane protein	0	N/A		0	N/A		0	N/A	
397672430	RVBD_0626	WP_003403244.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672431	RVBD_0627	WP_003403246.1	toxin	0	N/A		0	N/A		0	N/A	
397672432	RVBD_0628c	WP_003403248.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672433	RVBD_0629c	WP_003900979.1	exodeoxyribonuclease V subunit alpha	1 to 1	RBB	WP_001283311.1	1 to 1	RBB	NP_390625.1	1 to 1	RBB	YP_815876.1
397672434	RVBD_0630c	WP_003905355.1	exodeoxyribonuclease V subunit beta	0	N/A		0	N/A		0	N/A	
397672435	RVBD_0631c	WP_003900193.1	exodeoxyribonuclease V subunit gamma	0	N/A		0	N/A		0	N/A	
397672436	RVBD_0632c	WP_003403259.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A	
397672437	RVBD_0633c	WP_003403262.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672439	RVBD_0634A	WP_003898537.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672440	RVBD_0634B	WP_003898538.1	50S ribosomal protein L33	1 to 2	RBB	WP_001265708.1;WP_001265709.1	1 to 1	RBB	NP_570908.2	1 to 1	RBB	YP_817352.1
397672438	RVBD_0634c	WP_003403266.1	hydroxyacylglutathione hydrolase	0	N/A		1 to 1	RBB	NP_389590.1	0	N/A	
397672441	RVBD_0635	WP_003403277.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672442	RVBD_0636	WP_003903106.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672443	RVBD_0637	WP_003403282.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672444	RVBD_0638	WP_003403284.1	Preprotein translocase subunit SecE	0	N/A		0	N/A		0	N/A	
397672445	RVBD_0639	WP_003403288.1	transcription antitermination protein nusG	1 to 1	RBB	WP_001288302.1	1 to 1	RBB	NP_387982.1	1 to 1	RBB	YP_817227.1
397672446	RVBD_0640	WP_003403291.1	50S ribosomal protein L11	1 to 1	RBB	WP_001085794.1	1 to 1	SSD	NP_387983.2	1 to 1	RBB	YP_816051.1
397672447	RVBD_0641	WP_003403292.1	50S ribosomal protein L1	1 to 1	RBB	WP_001074619.1	1 to 1	RBB	NP_387984.2	1 to 1	RBB	YP_816052.1
397672448	RVBD_0642c	WP_003911247.1	hydroxymycolate synthase MmaA4	0	N/A		0	N/A		0	N/A	
397672449	RVBD_0643c	WP_003403302.1	methoxy mycolic acid synthase MmaA3	0	N/A		0	N/A		0	N/A	
397672450	RVBD_0644c	WP_003900985.1	cyclopropane mycolic acid synthase MmaA2	0	N/A		0	N/A		0	N/A	
397672451	RVBD_0645c	WP_003403310.1	mycolic acid methyltransferase MmaA1	0	N/A		0	N/A		0	N/A	
397672452	RVBD_0646c	WP_003403314.1	lipase/esterase lipG	0	N/A		0	N/A		0	N/A	
397672453	RVBD_0647c	WP_003904450.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672454	RVBD_0648	WP_003910172.1	alpha-mannosidase	0	N/A		0	N/A		1 to 1	RBB	YP_817359.1
397672455	RVBD_0649	WP_023637351.1	[acyl-carrier-protein] S-malonyltransferase	0	N/A		0	N/A		0	N/A	
397672456	RVBD_0650	WP_003403330.1	glucokinase	0	N/A		1 to 2	RBB	NP_389641.2;NP_390365.2	0	N/A	
397672457	RVBD_0651	WP_003403341.1	50S ribosomal protein L10	1 to 1	RBB	WP_001273085.1	1 to 1	RBB	NP_387985.2	1 to 1	RBB	YP_816655.1
397672458	RVBD_0652	WP_003403353.1	50S ribosomal protein L7/L12	1 to 1	RBB	WP_001273585.1	1 to 1	RBB	NP_387986.1	1 to 1	RBB	YP_816654.1
397672459	RVBD_0653c	WP_003403355.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A	
397672460	RVBD_0654	WP_003403360.1	oxidoreductase	0	N/A		0	N/A		0	N/A	
397672461	RVBD_0655	WP_003911248.1	ABC transporter ATP-binding protein	0	N/A		0	N/A		0	N/A	
397672462	RVBD_0656c	WP_003403365.1	toxin	0	N/A		0	N/A		0	N/A	
397672463	RVBD_0657c	WP_003403368.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672464	RVBD_0658c	WP_010886082.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672465	RVBD_0659c	WP_003403376.1	toxin	0	N/A		0	N/A		0	N/A	
397672466	RVBD_0660c	WP_003898546.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672467	RVBD_0661c	WP_003403386.1	toxin	0	N/A		0	N/A		0	N/A	
561108332	RVBD_0662c	WP_003403393.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672469	RVBD_0663	WP_003898547.1	arylsulfatase	0	N/A		0	N/A		0	N/A	
397672470	RVBD_0664	WP_003900200.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672471	RVBD_0665	WP_003403405.1	toxin	0	N/A		0	N/A		0	N/A	
397672472	RVBD_0666	WP_003898549.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672473	RVBD_0666A	YP_006514008	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672474	RVBD_0667	WP_003900201.1	DNA-directed RNA polymerase subunit beta	1 to 1	RBB	WP_000918667.1	1 to 1	SSD	NP_387988.2	1 to 1	RBB	YP_817182.1
397672475	RVBD_0668	WP_003403413.1	DNA-directed RNA polymerase subunit beta'	1 to 1	RBB	WP_000567961.1	1 to 1	SSD	NP_387989.2	1 to 1	RBB	YP_817181.1
397672476	RVBD_0668Ac	YP_006514011	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672477	RVBD_0669c	WP_003900995.1	hydrolase	0	N/A		0	N/A		0	N/A	
397672478	RVBD_0670	WP_003403419.1	apurinic endonuclease	1 to 1	RBB	WP_000924214.1	1 to 1	SSD	NP_390392.1	0	N/A	
397672479	RVBD_0671	WP_003403421.1	polyhydroxybutyrate depolymerase	0	N/A		0	N/A		0	N/A	
397672480	RVBD_0672	WP_003403423.1	acyl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A	
397672481	RVBD_0673	WP_003403426.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A	
397672482	RVBD_0674	WP_003403429.1	phenylacetic acid degradation operon negative regulatory protein	0	N/A		0	N/A		0	N/A	
397672483	RVBD_0675	WP_003403433.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A	
397672484	RVBD_0676c	WP_009935604.1	transmembrane transporter mmpL5	0	N/A		9 to 1	RBB	NP_388446.1	0	N/A	
397672485	RVBD_0677c	WP_003403439.1	membrane protein mmpS5	0	N/A		0	N/A		0	N/A	
397672486	RVBD_0678	WP_003403442.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672487	RVBD_0679c	WP_031647114.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672488	RVBD_0680c	WP_003403448.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672489	RVBD_0681	WP_003898553.1	hypothetical protein	0	N/A		1 to 1	RBB	NP_389788.1	0	N/A	
397672490	RVBD_0682	WP_003403453.1	30S ribosomal protein S12	1 to 1	RBB	WP_001142337.1	1 to 1	SSD	NP_387991.2	1 to 1	RBB	YP_815769.1
397672491	RVBD_0683	WP_003403456.1	30S ribosomal protein S7	1 to 1	RBB	WP_001137495.1	1 to 1	SSD	NP_387992.2	1 to 1	RBB	YP_815770.1
397672492	RVBD_0684	WP_003898554.1	elongation factor G	1 to 1	RBB	WP_000090316.1	1 to 1	SSD	NP_387993.2	1 to 1	RBB	YP_815771.1
397672493	RVBD_0685	WP_003403463.1	elongation factor Tu	1 to 1	RBB	WP_001040568.1	1 to 1	SSD	NP_387994.1	1 to 1	RBB	YP_816781.1
397672494	RVBD_0686	WP_003403465.1	membrane protein	0	N/A		0	N/A		0	N/A	
397672495	RVBD_0687	WP_003403468.1	SDR family oxidoreductase	0	N/A		1 to 1	RBB	NP_391080.2	0	N/A	
397672496	RVBD_0688	WP_003901000.1	oxidoreductase	0	N/A		0	N/A		3 to 1	RBB	YP_816764.1
397672497	RVBD_0689c	WP_003403474.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672498	RVBD_0690c	WP_003403477.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
561108333	RVBD_0691A	WP_003403483.1	mycofactocin	0	N/A		0	N/A		0	N/A	
397672499	RVBD_0691c	WP_003403482.1	mycofactocin system transcriptional regulator	0	N/A		0	N/A		0	N/A	
397672501	RVBD_0692	WP_003403486.1	mycofactocin system RPExFGAL protein	0	N/A		0	N/A		0	N/A	
397672502	RVBD_0693	WP_003403490.1	radical SAM peptide maturase, mycofactocin system protein	0	N/A		1 to 2	RBB	NP_388073.2;NP_391617.1	0	N/A	
397672503	RVBD_0694	WP_003898557.1	heme/flavin dehydrogenase, mycofactocin system protein	0	N/A		0	N/A		2 to 1	RBB	YP_816117.1
397672504	RVBD_0695	WP_003403497.1	creatinine amidohydrolase, mycofactocin system protein	0	N/A		0	N/A		0	N/A	
397672505	RVBD_0696	WP_003403501.1	mycofactocin system glycosyltransferase	1 to 1	RBB	WP_001159430.1	1 to 1	RBB	NP_391449.1	0	N/A	
397672506	RVBD_0697	WP_003403503.1	dehydrogenase	0	N/A		0	N/A		0	N/A	
397672507	RVBD_0698	WP_003901901.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672508	RVBD_0699	WP_003403569.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672509	RVBD_0700	WP_003403578.1	30S ribosomal protein S10	1 to 1	RBB	WP_001118667.1	1 to 1	SSD	NP_387996.1	1 to 1	RBB	YP_815711.1
397672510	RVBD_0701	WP_003403579.1	50S ribosomal protein L3	1 to 1	RBB	WP_000160212.1	1 to 1	SSD	NP_387997.1	1 to 1	RBB	YP_815712.1
397672511	RVBD_0702	WP_003403580.1	50S ribosomal protein L4	1 to 1	RBB	WP_000024827.1	1 to 1	RBB	NP_387998.1	1 to 1	RBB	YP_815713.1
397672512	RVBD_0703	WP_003403581.1	50S ribosomal protein L23	1 to 1	RBB	WP_000388082.1	1 to 1	RBB	NP_387999.2	1 to 1	RBB	YP_815714.1
397672513	RVBD_0704	WP_003403582.1	50S ribosomal protein L2	1 to 1	RBB	WP_000985472.1	1 to 1	SSD	NP_388000.2	1 to 1	RBB	YP_815715.1
397672514	RVBD_0705	WP_003403584.1	30S ribosomal protein S19	1 to 1	RBB	WP_000124353.1	1 to 1	SSD	NP_388001.1	1 to 1	RBB	YP_815716.1
397672515	RVBD_0706	WP_003403587.1	50S ribosomal protein L22	1 to 1	RBB	WP_000387527.1	1 to 1	RBB	NP_388002.1	1 to 1	RBB	YP_815717.1
397672516	RVBD_0707	WP_003403590.1	30S ribosomal protein S3	1 to 1	RBB	WP_000529877.1	1 to 1	SSD	NP_388003.2	1 to 1	RBB	YP_815718.1
397672517	RVBD_0708	WP_003403592.1	50S ribosomal protein L16	1 to 1	RBB	WP_000926310.1	1 to 1	RBB	NP_388004.1	1 to 1	RBB	YP_815719.1
397672518	RVBD_0709	WP_003403594.1	50S ribosomal protein L29	1 to 1	RBB	WP_000644737.1	1 to 1	RBB	NP_388005.1	1 to 1	RBB	YP_815720.1
397672519	RVBD_0710	WP_031647119.1	30S ribosomal protein S17	1 to 1	RBB	WP_000004086.1	1 to 1	RBB	NP_388006.1	1 to 1	RBB	YP_815721.1
397672520	RVBD_0711	WP_003898561.1	arylsulfatase	0	N/A		0	N/A		0	N/A	
397672521	RVBD_0712	WP_003403610.1	hypothetical protein	0	N/A		1 to 1	RBB	NP_388629.1	0	N/A	
397672522	RVBD_0713	WP_003898562.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672523	RVBD_0714	WP_003403649.1	50S ribosomal protein L14	1 to 1	RBB	WP_000615921.1	1 to 1	SSD	NP_388007.1	1 to 1	RBB	YP_815722.1
397672524	RVBD_0715	WP_003403654.1	50S ribosomal protein L24	1 to 1	RBB	WP_000547687.1	1 to 1	RBB	NP_388008.1	1 to 1	RBB	YP_815723.1
397672525	RVBD_0716	WP_003403660.1	50S ribosomal protein L5	1 to 1	RBB	WP_001080824.1	1 to 1	SSD	NP_388009.1	1 to 1	RBB	YP_815724.1
397672526	RVBD_0717	WP_003403667.1	30S ribosomal protein S14	1 to 1	RBB	WP_001140799.1	1 to 1	RBB	NP_388010.1	0	N/A	
397672527	RVBD_0718	WP_003403669.1	30S ribosomal protein S8	1 to 1	RBB	WP_000178881.1	1 to 1	SSD	NP_388011.2	1 to 1	RBB	YP_815726.1
397672528	RVBD_0719	WP_003403673.1	50S ribosomal protein L6	1 to 1	RBB	WP_000091975.1	1 to 1	SSD	NP_388012.1	1 to 1	RBB	YP_815727.1
397672529	RVBD_0720	WP_003403677.1	50S ribosomal protein L18	1 to 1	RBB	WP_000623881.1	1 to 1	RBB	NP_388013.2	1 to 1	RBB	YP_815728.1
397672530	RVBD_0721	WP_003403680.1	30S ribosomal protein S5	1 to 1	RBB	WP_000113850.1	1 to 1	SSD	NP_388014.1	1 to 1	RBB	YP_815729.1
397672531	RVBD_0722	WP_003403683.1	50S ribosomal protein L30	1 to 1	RBB	WP_001096577.1	1 to 1	RBB	NP_388015.1	1 to 1	RBB	YP_815730.1
397672532	RVBD_0723	WP_003898563.1	50S ribosomal protein L15	1 to 1	RBB	WP_000766074.1	1 to 1	RBB	NP_388016.1	1 to 1	RBB	YP_815731.1
397672533	RVBD_0724	WP_003403686.1	signal peptide peptidase SppA, 67K type	0	N/A		1 to 1	SSD	NP_390831.1	0	N/A	
397672534	RVBD_0725c	WP_003403687.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672535	RVBD_0726c	WP_003403691.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672536	RVBD_0727c	WP_003911249.1	L-ribulose-5-phosphate 4-epimerase	0	N/A		1 to 1	RBB	NP_390756.1	1 to 1	RBB	YP_817380.1
397672537	RVBD_0728c	WP_003898565.1	D-3-phosphoglycerate dehydrogenase	0	N/A		1 to 1	RBB	NP_389738.1	0	N/A	
397672538	RVBD_0729	WP_003900204.1	xylulokinase	0	N/A		0	N/A		0	N/A	
397672539	RVBD_0730	WP_009935961.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672540	RVBD_0731c	WP_003403717.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672541	RVBD_0732	WP_003403723.1	preprotein translocase subunit secY	1 to 1	RBB	WP_000616784.1	1 to 1	RBB	NP_388017.1	1 to 1	RBB	YP_815732.1
397672542	RVBD_0733	WP_003403726.1	adenylate kinase	1 to 1	RBB	WP_001021468.1	1 to 1	SSD	NP_388018.1	1 to 1	RBB	YP_815733.1
397672543	RVBD_0734	WP_003403728.1	methionine aminopeptidase	0	N/A		1 to 1	SSD	NP_388019.1	2 to 1	RBB	YP_816446.1
397672544	RVBD_0735	WP_003403731.1	sigma-70 family RNA polymerase sigma factor	0	N/A		0	N/A		0	N/A	
397672545	RVBD_0736	WP_003403733.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672546	RVBD_0737	WP_003403738.1	MarR family transcriptional regulator	0	N/A		1 to 2	RBB	NP_388448.1;NP_389250.1	0	N/A	
397672547	RVBD_0738	WP_003403741.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672548	RVBD_0739	WP_003898568.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672549	RVBD_0740	WP_003403746.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672550	RVBD_0741	WP_003403752.1	transposase	0	N/A		0	N/A		0	N/A	
561108334	RVBD_0742	WP_003901009.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A	
397672552	RVBD_0743c	WP_003403820.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672554	RVBD_0744Ac	WP_003403828.1	3-hydroxyisobutyrate dehydrogenase mmsB	0	N/A		0	N/A		0	N/A	
397672553	RVBD_0744c	WP_003403827.1	excisionase family DNA binding domain-containing protein	0	N/A		0	N/A		0	N/A	
397672555	RVBD_0745	WP_003901010.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672556	RVBD_0746	WP_012054159.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A	
397672557	RVBD_0747	WP_012054160.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A	
397672558	RVBD_0748	WP_003403834.1	antitoxin	0	N/A		0	N/A		0	N/A	
397672559	RVBD_0749	WP_003403837.1	toxin	0	N/A		0	N/A		0	N/A	
397672560	RVBD_0749A	WP_003403839.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672561	RVBD_0750	WP_003403841.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672562	RVBD_0751c	WP_003403844.1	3-hydroxyisobutyrate dehydrogenase	0	N/A		1 to 1	RBB	NP_389279.1	0	N/A	
397672563	RVBD_0752c	WP_003403845.1	acyl-CoA dehydrogenase fadE9	0	N/A		0	N/A		0	N/A	
397672564	RVBD_0753c	WP_003403847.1	methylmalonate-semialdehyde dehydrogenase	0	N/A		1 to 1	RBB	NP_391855.1	0	N/A	
397672565	RVBD_0754	WP_003403850.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A	
397672567	RVBD_0755A	WP_003403857.1	transposase	0	N/A		0	N/A		0	N/A	
397672566	RVBD_0755c	WP_003898574.1	PPE family protein	0	N/A		0	N/A		0	N/A	
397672568	RVBD_0756c	WP_003403862.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672569	RVBD_0757	WP_003915456.1	two-component system OmpR family response regulator	0	N/A		0	N/A		0	N/A	
397672570	RVBD_0758	WP_003916717.1	two-component system, OmpR family, sensor kinase	0	N/A		0	N/A		0	N/A	
561108335	RVBD_0759c	WP_003403876.1	hit-like protein	0	N/A		0	N/A		0	N/A	
397672572	RVBD_0760c	WP_003403880.1	steroid delta-isomerase	0	N/A		0	N/A		0	N/A	
397672573	RVBD_0761c	WP_003403885.1	alcohol dehydrogenase B	0	N/A		0	N/A		0	N/A	
397672574	RVBD_0762c	WP_003403887.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672575	RVBD_0763c	WP_003403890.1	ferredoxin	0	N/A		0	N/A		0	N/A	
397672576	RVBD_0764c	WP_003898577.1	lanosterol 14-alpha demethylase	0	N/A		0	N/A		0	N/A	
397672577	RVBD_0765c	WP_003898578.1	oxidoreductase	0	N/A		0	N/A		0	N/A	
397672578	RVBD_0766c	WP_003403911.1	cytochrome P450 123 cyp123	0	N/A		0	N/A		0	N/A	
397672579	RVBD_0767c	WP_003403915.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672580	RVBD_0768	WP_003403919.1	aldehyde dehydrogenase	0	N/A		0	N/A		6 to 1	RBB	YP_816479.1
397672581	RVBD_0769	WP_003898579.1	3-oxoacyl-ACP reductase	0	N/A		0	N/A		0	N/A	
397672582	RVBD_0770	WP_003403924.1	dehydrogenase/reductase	0	N/A		0	N/A		0	N/A	
397672583	RVBD_0771	WP_003918128.1	4-carboxymuconolactone decarboxylase	0	N/A		0	N/A		0	N/A	
397672584	RVBD_0772	WP_003898580.1	phosphoribosylamine--glycine ligase	1 to 1	RBB	WP_001101903.1	1 to 1	SSD	NP_388535.1	1 to 1	RBB	YP_815502.1
397672585	RVBD_0773c	WP_003911281.1	gamma-glutamyltransferase	0	N/A		1 to 1	RBB	NP_391491.1	0	N/A	
397672586	RVBD_0774c	WP_003403938.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672587	RVBD_0775	WP_014585088.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672588	RVBD_0776c	WP_003403949.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672589	RVBD_0777	WP_003898583.1	adenylosuccinate lyase	1 to 1	RBB	WP_000572878.1	1 to 1	RBB	NP_388526.1	1 to 1	RBB	YP_815510.1
397672590	RVBD_0778	WP_003898584.1	cytochrome P450 126 cyp126	0	N/A		0	N/A		0	N/A	
397672591	RVBD_0779c	WP_003403957.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672592	RVBD_0780	WP_003403962.1	phosphoribosylaminoimidazolesuccinocarboxamide synthase	1 to 1	RBB	WP_000174053.1	1 to 1	RBB	NP_388527.1	1 to 1	RBB	YP_815487.1
397672593	RVBD_0781	WP_003915857.1	oligopeptidase B	0	N/A		0	N/A		0	N/A	
397672594	RVBD_0782	WP_009936246.1	oligopeptidase B	0	N/A		0	N/A		1 to 1	RBB	YP_816645.1
397672595	RVBD_0782Ac	YP_006514130	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672596	RVBD_0783c	WP_003403977.1	drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	1 to 1	RBB	WP_000128093.1	1 to 1	RBB	NP_388782.1	0	N/A	
397672597	RVBD_0784	WP_003403980.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672598	RVBD_0785	WP_003915861.1	KsdD-like steroid dehydrogenase	0	N/A		0	N/A		0	N/A	
397672599	RVBD_0786c	WP_003403989.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672600	RVBD_0787	WP_031654488.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672601	RVBD_0787A	WP_003403993.1	phosphoribosylformylglycinamidine synthase	0	N/A		1 to 1	RBB	NP_388528.1	0	N/A	
397672602	RVBD_0788	WP_003403995.1	phosphoribosylformylglycinamidine synthase 1	1 to 1	RBB	WP_000666799.1	1 to 1	SSD	NP_388529.1	0	N/A	
397672603	RVBD_0789c	WP_014584683.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672604	RVBD_0790c	WP_003404002.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672605	RVBD_0791c	WP_003404004.1	hypothetical protein	0	N/A		5 to 1	RBB	NP_388766.2	0	N/A	
397672606	RVBD_0792c	WP_003404007.1	GntR family transcriptional regulator	1 to 1	RBB	WP_000922329.1	1 to 3	RBB	NP_388119.1;NP_388466.1;NP_391383.1	1 to 1	RBB	YP_816741.1
397672607	RVBD_0793	WP_003404010.1	hypothetical protein	0	N/A		1 to 1	RBB	NP_388269.1	0	N/A	
397672608	RVBD_0794c	WP_003404013.1	dihydrolipoamide dehydrogenase	0	N/A		0	N/A		0	N/A	
397672609	RVBD_0795	WP_003899493.1	transposase	0	N/A		0	N/A		0	N/A	
397672610	RVBD_0796	WP_003899492.1	transposase	0	N/A		0	N/A		16 to 1	RBB	YP_816351.1
397672611	RVBD_0797	WP_009935676.1	transposase	0	N/A		0	N/A		0	N/A	
397672612	RVBD_0798c	WP_003404092.1	antigen cfp29	0	N/A		0	N/A		0	N/A	
397672613	RVBD_0799c	WP_003914122.1	dyp-type peroxidase	0	N/A		0	N/A		1 to 1	RBB	YP_816624.1
397672614	RVBD_0800	WP_003916725.1	aminopeptidase	0	N/A		0	N/A		0	N/A	
397672615	RVBD_0801	WP_003898592.1	hypothetical protein	0	N/A		0	N/A		0	N/A	
397672616	RVBD_0802c	WP_003404111.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	YP_816716.1
397672617	RVBD_0803	WP_003916276.1	phosphoribosylformylglycinamidine synthase 2	1 to 1	RBB	WP_000032727.1	1 to 1	SSD	NP_388530.2	1 to 1	RBB	YP_815489.1
