Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession
397672864	RVBD_1036c	WP_003898698.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A	
397672865	RVBD_1037c	WP_003898699.1	ESAT-6-like protein esxI	0	N/A		0	N/A		0	N/A		0	N/A	
397672866	RVBD_1038c	WP_003405345.1	ESAT-6-like protein esxJ	0	N/A		0	N/A		0	N/A		0	N/A	
397672867	RVBD_1039c	WP_003405368.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672869	RVBD_1040Ac	YP_006514404	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672868	RVBD_1040c	WP_003405370.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672870	RVBD_1041c	WP_003900259.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A	
397672871	RVBD_1043c	WP_003405514.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672872	RVBD_1044	WP_003405517.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672873	RVBD_1045	WP_003898703.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672874	RVBD_1046c	WP_003898705.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672875	RVBD_1047	WP_003901078.1	transposase	0	N/A		7 to 1	RBB	WP_005839427.1	7 to 2	RBB	WP_041687873.1	0	N/A	
397672877	RVBD_1048Ac	YP_006514412	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672876	RVBD_1048c	WP_003405582.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672878	RVBD_1049	WP_003405595.1	transcriptional repressor	1 to 1	RBB	WP_005684525.1	0	N/A		0	N/A		0	N/A	
397672879	RVBD_1050	WP_003405600.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672881	RVBD_1051Ac	YP_006514416	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672880	RVBD_1051c	WP_003405603.1	hypothetical protein	0	N/A		1 to 1	RBB	YP_001298055	0	N/A		1 to 1	RBB	WP_012744233.1
397672882	RVBD_1052	WP_003405605.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672884	RVBD_1053A	YP_006514419	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672883	RVBD_1053c	WP_003900262.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672885	RVBD_1054	WP_003907556.1	integrase	0	N/A		0	N/A		0	N/A		0	N/A	
397672886	RVBD_1055	WP_003898710.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672887	RVBD_1056	WP_003900263.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672888	RVBD_1057	WP_003405622.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672889	RVBD_1058	WP_003405625.1	fatty-acyl-CoA synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397672890	RVBD_1059	WP_003898714.1	dihydrodipicolinate reductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672891	RVBD_1060	WP_003405633.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672892	RVBD_1061	WP_003405636.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672893	RVBD_1062	WP_003405640.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672894	RVBD_1063c	WP_003405642.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_005843112.1	0	N/A		0	N/A	
397672895	RVBD_1064c	WP_003405645.1	lipoprotein LpqV	0	N/A		0	N/A		0	N/A		0	N/A	
397672896	RVBD_1065	WP_003405649.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672897	RVBD_1066	WP_003405651.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672898	RVBD_1067c	WP_010886105.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672900	RVBD_1068A	YP_006514435	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672899	RVBD_1068c	WP_012775797.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672901	RVBD_1069c	WP_003405708.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672902	RVBD_1070c	WP_003405712.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012741880.1
397672903	RVBD_1071c	WP_003405716.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397672904	RVBD_1072	WP_003405719.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672905	RVBD_1073	WP_003405722.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672906	RVBD_1074c	WP_003405724.1	acetyl-CoA C-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672907	RVBD_1075c	WP_003405726.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672908	RVBD_1076	WP_003405728.1	lipase lipU	0	N/A		0	N/A		0	N/A		0	N/A	
397672909	RVBD_1077	WP_003405730.1	cystathionine beta-synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397672910	RVBD_1078	WP_003901991.1	proline-rich antigen pra	0	N/A		0	N/A		0	N/A		0	N/A	
397672911	RVBD_1079	WP_003405736.1	cystathionine gamma-synthase	1 to 1	SSD	WP_014569171.1	0	N/A		0	N/A		0	N/A	
397672912	RVBD_1080c	WP_003405742.1	transcription elongation factor greA	1 to 2	RBB	WP_005685322.1;WP_005684427.1	1 to 1	RBB	WP_005845398.1	1 to 2	RBB	WP_012739465.1;WP_012739896.1	1 to 2	RBB	WP_015517513.1;WP_012742690.1
397672913	RVBD_1081c	WP_003405744.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672914	RVBD_1082	WP_003405746.1	mycothiol conjugate amidase Mca	0	N/A		0	N/A		0	N/A		0	N/A	
397672915	RVBD_1083	WP_003405749.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672916	RVBD_1084	WP_003405750.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672917	RVBD_1085c	WP_003901993.1	hypothetical protein	1 to 1	RBB	WP_005686412.1	1 to 1	RBB	WP_005838692.1	1 to 1	RBB	WP_041688348.1	1 to 1	RBB	WP_012744126.1
397672918	RVBD_1086	WP_003906511.1	short-chain Z-isoprenyl diphosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397672919	RVBD_1087	WP_010886107.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672920	RVBD_1087A	WP_003405760.1	short-chain Z-isoprenyl diphosphate synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397672921	RVBD_1088	WP_003900271.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672922	RVBD_1089	WP_003917409.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672923	RVBD_1089A	WP_003405770.1	endoglucanase	0	N/A		0	N/A		0	N/A		0	N/A	
397672924	RVBD_1090	WP_003900273.1	endoglucanase	0	N/A		0	N/A		0	N/A		0	N/A	
397672925	RVBD_1091	WP_010886108.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672926	RVBD_1092c	WP_003405790.1	pantothenate kinase	1 to 1	RBB	WP_005687330.1	0	N/A		0	N/A		0	N/A	
397672927	RVBD_1093	WP_003916776.1	serine hydroxymethyltransferase 1	2 to 1	RBB	WP_005684912.1	2 to 1	RBB	WP_005841993.1	2 to 1	RBB	WP_022097500.1	2 to 1	RBB	WP_012741982.1
397672928	RVBD_1094	WP_003405801.1	acyl-ACP desaturase	0	N/A		0	N/A		0	N/A		0	N/A	
397672929	RVBD_1095	WP_003405802.1	PhoH-like ATPase	0	N/A		0	N/A		0	N/A		0	N/A	
397672930	RVBD_1096	WP_003898725.1	glycosyl hydrolase	0	N/A		1 to 2	RBB	WP_008666644.1;WP_005844141.1	1 to 1	RBB	WP_041688435.1	1 to 1	RBB	WP_012743420.1
397672931	RVBD_1097c	WP_003405804.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672932	RVBD_1098c	WP_003405805.1	fumarate hydratase class II	1 to 1	RBB	WP_014570094.1	1 to 1	RBB	WP_005841516.1	0	N/A		0	N/A	
397672933	RVBD_1099c	WP_003405806.1	fructose-1,6-bisphosphatase class 2	0	N/A		0	N/A		0	N/A		0	N/A	
397672934	RVBD_1100	WP_003915494.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672935	RVBD_1101c	WP_003898727.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_005842557.1	0	N/A		0	N/A	
397672936	RVBD_1102c	WP_003898728.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672937	RVBD_1103c	WP_003405836.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672938	RVBD_1104	WP_003405837.1	esterase/lipase	0	N/A		0	N/A		0	N/A		0	N/A	
397672939	RVBD_1105	WP_003405839.1	esterase/lipase	0	N/A		0	N/A		0	N/A		0	N/A	
397672940	RVBD_1106c	WP_003405840.1	3 beta-hydroxysteroid dehydrogenase/Delta 5-4-isomerase	0	N/A		1 to 1	RBB	WP_041174519.1	0	N/A		0	N/A	
397672941	RVBD_1107c	WP_003405844.1	exodeoxyribonuclease 7 small subunit	0	N/A		0	N/A		0	N/A		0	N/A	
397672942	RVBD_1108c	WP_003405846.1	exodeoxyribonuclease 7 large subunit	1 to 1	RBB	WP_005684393.1	1 to 1	RBB	WP_005845625.1	1 to 1	RBB	WP_012739322.1	1 to 1	RBB	WP_012743047.1
397672943	RVBD_1109c	WP_003898730.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672944	RVBD_1110	WP_003405853.1	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 1	0	N/A		2 to 1	RBB	WP_005845847.1	2 to 1	RBB	WP_012739166.1	2 to 1	RBB	WP_012742479.1
397672945	RVBD_1111c	WP_003898731.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672946	RVBD_1112	WP_003898732.1	GTP-binding protein YchF	1 to 1	SSD	WP_014568989.1	1 to 1	RBB	WP_005843934.1	1 to 1	RBB	WP_012738968.1	1 to 1	SSD	WP_012742285.1
397672947	RVBD_1113	WP_003405863.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672948	RVBD_1114	WP_003405865.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672949	RVBD_1115	WP_003901092.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672950	RVBD_1116	WP_003901093.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672951	RVBD_1116A	WP_003405867.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672952	RVBD_1117	WP_003405871.1	hypothetical protein	1 to 1	SSD	WP_005685833.1	0	N/A		0	N/A		0	N/A	
397672953	RVBD_1118c	WP_031646953.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672954	RVBD_1119c	WP_003405874.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672955	RVBD_1120c	WP_003405876.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672956	RVBD_1121	WP_003898735.1	glucose-6-phosphate dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397672957	RVBD_1122	WP_003405880.1	6-phosphogluconate dehydrogenase	1 to 1	RBB	WP_005685344.1	0	N/A		0	N/A		0	N/A	
397672958	RVBD_1123c	WP_003898736.1	peroxiredoxin	0	N/A		0	N/A		0	N/A		0	N/A	
397672959	RVBD_1124	WP_003911402.1	microsomal epoxide hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
397672960	RVBD_1125	WP_003917424.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672961	RVBD_1126c	WP_003405892.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672962	RVBD_1127c	WP_003906520.1	pyruvate,orthophosphate dikinase	1 to 1	Borderline-SSD	WP_014570052.1	1 to 1	RBB	WP_012055639.1	1 to 1	RBB	WP_012739490.1	1 to 1	RBB	WP_015569339.1
397672963	RVBD_1128c	WP_003906521.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672964	RVBD_1129c	WP_003913199.1	transcriptional regulator	0	N/A		0	N/A		2 to 1	RBB	WP_012739818.1	1 to 1	RBB	WP_012742999.1
397672965	RVBD_1130	WP_003405907.1	2-methylcitrate dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397672966	RVBD_1131	WP_023637375.1	citrate synthase	0	N/A		2 to 1	RBB	WP_005845878.1	2 to 1	RBB	WP_041687900.1	2 to 2	RBB	WP_012742038.1;WP_041254321.1
397672967	RVBD_1132	WP_003405912.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672968	RVBD_1133c	WP_003405914.1	5- methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase	1 to 1	RBB	WP_014569192.1	0	N/A		1 to 1	RBB	WP_041687996.1	1 to 1	Borderline-SSD	WP_012742073.1
397672969	RVBD_1134	WP_003405917.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672971	RVBD_1135A	WP_003405922.1	acetyl-CoA C-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672970	RVBD_1135c	WP_003405919.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672972	RVBD_1136	WP_003405926.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397672973	RVBD_1137c	YP_006514508	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672974	RVBD_1138c	WP_003405932.1	oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
397672976	RVBD_1139Ac	YP_006514511	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672975	RVBD_1139c	WP_003405935.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672977	RVBD_1140	WP_003911379.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672978	RVBD_1141c	WP_003405951.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397672979	RVBD_1142c	WP_003405957.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397672980	RVBD_1143	WP_003898740.1	alpha-methylacyl-CoA racemase	0	N/A		0	N/A		0	N/A		0	N/A	
397672981	RVBD_1144	WP_003405961.1	3-hydroxyacyl-CoA dehydrogenase/3-hydroxy-2-methylbutyryl-CoA dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397672982	RVBD_1144Ac	YP_006514517	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672983	RVBD_1145	YP_006514518	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672984	RVBD_1146	YP_006514519	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672985	RVBD_1147	WP_003405982.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672986	RVBD_1147A	YP_006514521	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672987	RVBD_1148c	WP_003898743.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672988	RVBD_1151c	WP_003406044.1	NAD-dependent deacetylase	1 to 1	RBB	WP_005716724.1	1 to 1	RBB	WP_005849574.1	1 to 1	RBB	WP_012740179.1	1 to 1	SSD	WP_041254702.1
397672989	RVBD_1152	WP_003406047.1	transcriptional regulator	1 to 3	RBB	WP_005685986.1;WP_005713168.1;WP_014570041.1	0	N/A		1 to 1	RBB	WP_012740109.1	1 to 2	RBB	WP_012743263.1;WP_035394499.1
397672990	RVBD_1153c	WP_003898744.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672991	RVBD_1154c	WP_031682434.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672992	RVBD_1155	WP_003898745.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672993	RVBD_1155A	YP_006514528	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672994	RVBD_1156	WP_003406064.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672995	RVBD_1156A	YP_006514530	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672996	RVBD_1157c	WP_003406066.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672997	RVBD_1158c	WP_003406075.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397672998	RVBD_1159	WP_003900282.1	alpha-1,2-mannosyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397672999	RVBD_1159A	WP_003406082.1	4a-hydroxytetrahydrobiopterin dehydratase	0	N/A		0	N/A		0	N/A		0	N/A	
397673000	RVBD_1160	WP_003406084.1	mutator mutT protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673001	RVBD_1161	WP_003898748.1	nitrate reductase subunit alpha	0	N/A		0	N/A		0	N/A		0	N/A	
397673002	RVBD_1162	WP_003406090.1	nitrate reductase subunit beta	0	N/A		0	N/A		0	N/A		0	N/A	
397673003	RVBD_1163	WP_003911426.1	nitrate reductase molybdenum cofactor assembly chaperone	0	N/A		0	N/A		0	N/A		0	N/A	
397673004	RVBD_1164	WP_003406095.1	respiratory nitrate reductase subunit gamma	0	N/A		0	N/A		0	N/A		0	N/A	
397673005	RVBD_1165	WP_003406099.1	GTP-binding protein TypA/BipA	1 to 1	RBB	WP_014569611.1	1 to 1	RBB	WP_005844415.1	1 to 1	RBB	WP_012739817.1	1 to 1	RBB	WP_012743360.1
397673006	RVBD_1166	WP_003406102.1	lipoprotein LpqW	0	N/A		0	N/A		0	N/A		0	N/A	
397673007	RVBD_1167c	WP_003406104.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397673008	RVBD_1168c	WP_003898751.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673009	RVBD_1169c	WP_003898752.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673010	RVBD_1170	WP_003406154.1	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase	0	N/A		0	N/A		0	N/A		0	N/A	
397673011	RVBD_1170A	YP_006514546	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673012	RVBD_1171	WP_003406163.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673013	RVBD_1172c	WP_003898753.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673014	RVBD_1173	WP_003406167.1	FO synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397673015	RVBD_1174c	WP_003406169.1	T-cell antigen	0	N/A		0	N/A		0	N/A		0	N/A	
397673016	RVBD_1175c	WP_003911416.1	2,4-dienoyl-CoA reductase	1 to 1	SSD	WP_014570092.1	0	N/A		0	N/A		1 to 1	SSD	WP_012743604.1
397673017	RVBD_1176c	WP_003406182.1	hypothetical protein	1 to 1	RBB	WP_005686623.1	0	N/A		0	N/A		0	N/A	
397673018	RVBD_1177	WP_003406185.1	ferredoxin	0	N/A		3 to 1	RBB	WP_011965825.1	2 to 1	RBB	WP_012740170.1	2 to 1	RBB	WP_012743215.1
397673019	RVBD_1178	WP_003898756.1	succinyldiaminopimelate transaminase	0	N/A		0	N/A		0	N/A		0	N/A	
397673020	RVBD_1179c	WP_003406189.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673021	RVBD_1181	WP_003406192.1	polyketide beta-ketoacyl synthase pks4	0	N/A		0	N/A		0	N/A		0	N/A	
397673022	RVBD_1182	WP_023637377.1	polyketide synthase associated protein papA3	0	N/A		0	N/A		0	N/A		0	N/A	
397673023	RVBD_1183	WP_003898761.1	transmembrane transporter mmpL10	9 to 1	RBB	WP_014568916.1	0	N/A		0	N/A		6 to 1	RBB	WP_041254243.1
397673024	RVBD_1184c	WP_003406195.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673025	RVBD_1185c	WP_003406196.1	fatty acid CoA ligase FadD21	0	N/A		0	N/A		0	N/A		0	N/A	
397673026	RVBD_1186c	WP_031682435.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673027	RVBD_1187	WP_003900286.1	1-pyrroline-5-carboxylate dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397673028	RVBD_1188	WP_003900287.1	proline dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
397673029	RVBD_1189	WP_003406207.1	sigma-70 family RNA polymerase sigma factor	0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_041254686.1
397673030	RVBD_1190	WP_003406212.1	hypothetical protein	0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_012744412.1
397673031	RVBD_1191	WP_003406215.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673032	RVBD_1192	WP_003898763.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673033	RVBD_1193	WP_003406218.1	fatty acid CoA ligase FadD36	0	N/A		0	N/A		0	N/A		0	N/A	
397673034	RVBD_1194c	WP_003406219.1	hypothetical protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012741615.1
397673035	RVBD_1195	WP_003406222.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673036	RVBD_1196	WP_003898765.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673037	RVBD_1197	WP_003421604.1	ESAT-6-like protein esxK	0	N/A		0	N/A		0	N/A		0	N/A	
397673038	RVBD_1198	WP_003898766.1	ESAT-6-like protein esxL	0	N/A		0	N/A		0	N/A		0	N/A	
397673039	RVBD_1199c	WP_003904572.1	transposase	0	N/A		7 to 1	RBB	WP_005839427.1	7 to 2	RBB	WP_041687873.1	0	N/A	
397673040	RVBD_1200	WP_003406233.1	MFS transporter, metabolite:H+ symporter (MHS) family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673041	RVBD_1201c	WP_003406234.1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
397673042	RVBD_1202	WP_003406235.1	succinyl-diaminopimelate desuccinylase	1 to 2	RBB	WP_005684892.1;WP_014569785.1	1 to 1	RBB	WP_011965204.1	0	N/A		0	N/A	
397673043	RVBD_1203c	WP_003406236.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673044	RVBD_1204c	WP_003406237.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673045	RVBD_1205	WP_003898770.1	hypothetical protein	1 to 1	RBB	WP_014569725.1	1 to 2	RBB	WP_005843984.1;WP_011965115.1	0	N/A		0	N/A	
397673046	RVBD_1206	WP_003406240.1	fatty-acyl-CoA synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397673047	RVBD_1207	WP_003406241.1	dihydropteroate synthase 2 folP2	0	N/A		0	N/A		0	N/A		0	N/A	
397673048	RVBD_1208	WP_003406242.1	glucosyl-3-phosphoglycerate synthase	0	N/A		0	N/A		0	N/A		0	N/A	
397673049	RVBD_1209	WP_003406243.1	DivIVA domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673050	RVBD_1210	WP_003406244.1	DNA-3-methyladenine glycosylase I	1 to 2	RBB	WP_014569140.1;WP_005684662.1	1 to 1	RBB	WP_011964920.1	0	N/A		0	N/A	
397673051	RVBD_1211	WP_003900293.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673052	RVBD_1212c	WP_003898773.1	corynebacterium family glycogen synthase	1 to 1	RBB	WP_005692826.1	0	N/A		0	N/A		0	N/A	
397673053	RVBD_1213	WP_003406249.1	glucose-1-phosphate adenylyltransferase	1 to 1	RBB	WP_005687169.1	0	N/A		1 to 2	RBB	WP_012740138.1;WP_012740139.1	1 to 3	RBB	WP_041254425.1;WP_012741360.1;WP_012743051.1
397673054	RVBD_1214c	WP_003406250.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673055	RVBD_1215c	WP_003898774.1	hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
397673056	RVBD_1216c	WP_003406252.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673057	RVBD_1217c	WP_003898775.1	antibiotic transporter permease	1 to 1	RBB	WP_005685994.1	0	N/A		0	N/A		0	N/A	
397673058	RVBD_1218c	WP_003906541.1	antibiotic transporter ATP-binding protein	1 to 1	RBB	WP_005685996.1	1 to 1	RBB	WP_005839367.1	1 to 1	RBB	WP_012738416.1	1 to 1	RBB	WP_012743101.1
397673059	RVBD_1219c	WP_003406254.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
397673060	RVBD_1220c	WP_003911448.1	methyltransferase	0	N/A		2 to 1	RBB	WP_005844483.1	2 to 1	RBB	WP_012739023.1	0	N/A	
397673061	RVBD_1221	WP_003406257.1	sigma-70 family RNA polymerase sigma factor	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012743862.1
397673062	RVBD_1222	WP_003406258.1	ECF subfamily RNA polymerase sigma-70 factor	0	N/A		0	N/A		0	N/A		0	N/A	
397673063	RVBD_1223	WP_003911452.1	serine protease htrA	2 to 1	RBB	WP_005690646.1	2 to 1	RBB	WP_005843252.1	2 to 1	RBB	WP_041688739.1	2 to 1	RBB	WP_012743428.1
397673064	RVBD_1224	WP_003898780.1	twin arginine-targeting protein translocase TatB	0	N/A		0	N/A		0	N/A		0	N/A	
397673065	RVBD_1225c	WP_031646969.1	HAD hydrolase, family IIA	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012742289.1
397673066	RVBD_1226c	WP_003898781.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673067	RVBD_1227c	WP_003905510.1	transmembrane protein	1 to 1	RBB	WP_005687891.1	0	N/A		0	N/A		0	N/A	
397673068	RVBD_1228	WP_003406266.1	lipoprotein LpqX	0	N/A		0	N/A		0	N/A		0	N/A	
397673069	RVBD_1229c	WP_003911456.1	ATP-binding protein	0	N/A		1 to 1	RBB	WP_011964682.1	1 to 1	RBB	WP_012738672.1	1 to 1	SSD	WP_012743855.1
397673070	RVBD_1230c	WP_003916796.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
397673071	RVBD_1231c	WP_003406283.1	membrane protein	1 to 1	RBB	WP_005684332.1	0	N/A		0	N/A		0	N/A	
