Analysis Type	NCBI BioProject ID (Strain 1)	Strain 1	GI (Strain 1)	Locus Tag (Strain 1)	NCBI RefSeq Accession (Strain 1)	Description (Strain 1)	NCBI BioProject ID (Strain 2)	Strain 2	GI (Strain 2)	Locus Tag (Strain 2)	NCBI RefSeq Accession (Strain 2)	Description (Strain 2)	Inparalogs	Strain 1 Inparalogs (Locus Tag/Name)	Strain 2 Inparalogs (Locus Tag/Name)	Ortholuge Class
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111209	b1065	NP_415583.4	multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin	170532	Mycobacterium tuberculosis H37Rv	397672665	RVBD_0849	WP_003404402.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129029	b1066	NP_415584.1	ribosomal-protein-S5-alanine N-acetyltransferase	170532	Mycobacterium tuberculosis H37Rv	397672820	RVBD_0995	WP_003405148.1	ribosomal-protein-alanine N-acetyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129032	b1069	NP_415587.1	probable peptidoglycan lipid II flippase required for murein synthesis	170532	Mycobacterium tuberculosis H37Rv	397675875	RVBD_3910	WP_003902580.1	integral membrane protein MviN				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111211	b1087	NP_415605.2	Maf-like protein	170532	Mycobacterium tuberculosis H37Rv	397675224	RVBD_3282	WP_003417146.1	maf-like protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129054	b1091	NP_415609.1	3-oxoacyl-[acyl-carrier-protein] synthase III	170532	Mycobacterium tuberculosis H37Rv	397672331	RVBD_0533c	WP_003402861.1	3-oxoacyl-ACP synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129055	b1092	NP_415610.1	malonyl-CoA-[acyl-carrier-protein] transacylase	170532	Mycobacterium tuberculosis H37Rv	397673925	RVBD_2048c	WP_010886138.1	polyketide synthase 12				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129055	b1092	NP_415610.1	malonyl-CoA-[acyl-carrier-protein] transacylase	170532	Mycobacterium tuberculosis H37Rv	397674864	RVBD_2946c	WP_003900604.1	polyketide synthase 1/15				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129055	b1092	NP_415610.1	malonyl-CoA-[acyl-carrier-protein] transacylase	170532	Mycobacterium tuberculosis H37Rv	397672196	RVBD_0405	WP_003911169.1	polyketide synthase 12	3		RVBD_2048c[polyketide synthase 12];RVBD_2946c[polyketide synthase 1/15];RVBD_1662[polyketide synthase 8]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129055	b1092	NP_415610.1	malonyl-CoA-[acyl-carrier-protein] transacylase	170532	Mycobacterium tuberculosis H37Rv	397673518	RVBD_1662	WP_003911579.1	polyketide synthase 8				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129056	b1093	NP_415611.1	3-oxoacyl-[acyl-carrier-protein] reductase	170532	Mycobacterium tuberculosis H37Rv	397673332	RVBD_1483	WP_003898892.1	3-oxoacyl-ACP reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129058	b1095	NP_415613.1	3-oxoacyl-[acyl-carrier-protein] synthase II	170532	Mycobacterium tuberculosis H37Rv	397674134	RVBD_2246	WP_003411576.1	3-oxoacyl-ACP synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129058	b1095	NP_415613.1	3-oxoacyl-[acyl-carrier-protein] synthase II	170532	Mycobacterium tuberculosis H37Rv	397674133	RVBD_2245	WP_003411571.1	3-oxoacyl-ACP synthase	1		RVBD_2246[3-oxoacyl-ACP synthase]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129059	b1096	NP_415614.1	4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex	170532	Mycobacterium tuberculosis H37Rv	397672626	RVBD_0812	WP_016896213.1	4-amino-4-deoxychorismate lyase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129060	b1097	NP_415615.1	predicted aminodeoxychorismate lyase	170532	Mycobacterium tuberculosis H37Rv	397674460	RVBD_2553c	WP_003413196.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129063	b1100	NP_415618.1	predicted DNAse	170532	Mycobacterium tuberculosis H37Rv	397672834	RVBD_1008	WP_003916762.1	TatD family hydrolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	49176077	b1103	NP_415621.3	purine nucleoside phosphoramidase	170532	Mycobacterium tuberculosis H37Rv	561108335	RVBD_0759c	WP_003403876.1	hit-like protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129070	b1107	NP_415625.1	beta N-acetyl-glucosaminidase	170532	Mycobacterium tuberculosis H37Rv	397672026	RVBD_0237	WP_003401295.1	beta-glucosidase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129072	b1109	NP_415627.1	respiratory NADH dehydrogenase 2/cupric reductase	170532	Mycobacterium tuberculosis H37Rv	397672182	RVBD_0392c	WP_003916664.1	NADH dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129072	b1109	NP_415627.1	respiratory NADH dehydrogenase 2/cupric reductase	170532	Mycobacterium tuberculosis H37Rv	397673719	RVBD_1854c	WP_003409317.1	NADH dehydrogenase	1		RVBD_0392c[NADH dehydrogenase]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129077	b1114	NP_415632.1	transcription-repair coupling factor	170532	Mycobacterium tuberculosis H37Rv	397672846	RVBD_1020	WP_003405273.1	transcription-repair-coupling factor				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111215	b1117	NP_415635.4	outer membrane-specific lipoprotein transporter subunit	170532	Mycobacterium tuberculosis H37Rv	397672811	RVBD_0986	WP_003900248.1	ABC transporter ATP-binding protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	308209619	b1120	NP_415638.2	deacetylase of acs and cheY, regulates chemotaxis	170532	Mycobacterium tuberculosis H37Rv	397672988	RVBD_1151c	WP_003406044.1	NAD-dependent deacetylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129094	b1131	NP_415649.1	adenylosuccinate lyase	170532	Mycobacterium tuberculosis H37Rv	397672589	RVBD_0777	WP_003898583.1	adenylosuccinate lyase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111218	b1133	NP_415651.4	tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferase	170532	Mycobacterium tuberculosis H37Rv	397674948	RVBD_3024c	WP_003415909.1	tRNA-specific 2-thiouridylase mnmA				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129121	b1158	NP_415676.1	e14 prophage; site-specific DNA recombinase	170532	Mycobacterium tuberculosis H37Rv	397673440	RVBD_1586c	WP_015456517.1	phiRv1 integrase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129122	b1159	NP_415677.1	e14 prophage; 5-methylcytosine-specific restriction endonuclease B	170532	Mycobacterium tuberculosis H37Rv	397674372	RVBD_2469c	WP_003899334.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129125	b1162	NP_415680.1	repressor of blue light-responsive genes	170532	Mycobacterium tuberculosis H37Rv	397672144	RVBD_0353	WP_003401823.1	MerR family transcriptional regulator, heat shock protein HspR	1	b2127[DNA-binding transcriptional regulator]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129143	b1180	NP_415698.1	predicted isomerase/hydrolase	170532	Mycobacterium tuberculosis H37Rv	561108361	RVBD_2993c	WP_003415138.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129153	b1190	NP_415708.1	alanine racemase 2, PLP-binding	170532	Mycobacterium tuberculosis H37Rv	397675374	RVBD_3423c	WP_023637501.1	alanine racemase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129166	b1203	NP_415721.1	predicted GTP-binding protein	170532	Mycobacterium tuberculosis H37Rv	397672946	RVBD_1112	WP_003898732.1	GTP-binding protein YchF				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129167	b1204	NP_415722.1	peptidyl-tRNA hydrolase	170532	Mycobacterium tuberculosis H37Rv	397672840	RVBD_1014c	WP_003405251.1	peptidyl-tRNA hydrolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111235	b1206	NP_415724.2	predicted transporter	170532	Mycobacterium tuberculosis H37Rv	397673567	RVBD_1707	WP_003898981.1	SulP family sulfate permease				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129170	b1207	NP_415725.1	phosphoribosylpyrophosphate synthase	170532	Mycobacterium tuberculosis H37Rv	397672843	RVBD_1017c	WP_003405263.1	ribose-phosphate pyrophosphokinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129171	b1208	NP_415726.1	4-diphosphocytidyl-2-C-methylerythritol kinase	170532	Mycobacterium tuberculosis H37Rv	397672837	RVBD_1011	WP_003405199.1	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129173	b1210	NP_415728.1	glutamyl tRNA reductase	170532	Mycobacterium tuberculosis H37Rv	397672307	RVBD_0509	WP_003402699.1	glutamyl-tRNA reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129174	b1211	NP_415729.1	peptide chain release factor RF-1	170532	Mycobacterium tuberculosis H37Rv	397673141	RVBD_1299	WP_003406670.1	peptide chain release factor 1				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129175	b1212	NP_415730.1	N5-glutamine methyltransferase, modifies release factors RF-1 and RF-2	170532	Mycobacterium tuberculosis H37Rv	397673142	RVBD_1300	WP_003916325.1	HemK family methyltransferase	1	b2330[N5-glutamine methyltransferase]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129179	b1216	NP_415734.1	calcium/sodium:proton antiporter	170532	Mycobacterium tuberculosis H37Rv	397673461	RVBD_1607	WP_003898943.1	calcium/proton exchanger				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129184	b1221	NP_415739.1	DNA-binding response regulator in two-component regulatory system with NarX (or NarQ)	170532	Mycobacterium tuberculosis H37Rv	397672660	RVBD_0844c	WP_003404388.1	two-component system, NarL family, nitrate/nitrite response regulator NarL				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129185	b1222	NP_415740.1	sensory histidine kinase in two-component regulatory system with NarL	170532	Mycobacterium tuberculosis H37Rv	397673904	RVBD_2027c	WP_003899138.1	hypoxia sensor histidine kinase response regulator dosT				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129185	b1222	NP_415740.1	sensory histidine kinase in two-component regulatory system with NarL	170532	Mycobacterium tuberculosis H37Rv	397675059	RVBD_3132c	WP_003899933.1	redox sensor histidine kinase response regulator devS	1		RVBD_2027c[hypoxia sensor histidine kinase response regulator dosT]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129186	b1223	NP_415741.1	nitrate/nitrite transporter	170532	Mycobacterium tuberculosis H37Rv	397672056	RVBD_0267	WP_003401380.1	nitrite transporter	1	b1469[nitrate/nitrite transporter]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129187	b1224	NP_415742.1	nitrate reductase 1, alpha subunit	170532	Mycobacterium tuberculosis H37Rv	397673001	RVBD_1161	WP_003898748.1	nitrate reductase subunit alpha				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129188	b1225	NP_415743.1	nitrate reductase 1, beta (Fe-S) subunit	170532	Mycobacterium tuberculosis H37Rv	397673002	RVBD_1162	WP_003406090.1	nitrate reductase subunit beta				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129189	b1226	NP_415744.1	molybdenum-cofactor-assembly chaperone subunit (delta subunit) of nitrate reductase 1	170532	Mycobacterium tuberculosis H37Rv	397673003	RVBD_1163	WP_003911426.1	nitrate reductase molybdenum cofactor assembly chaperone				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129193	b1232	NP_415748.1	formyltetrahydrofolate hydrolase	170532	Mycobacterium tuberculosis H37Rv	397674882	RVBD_2964	WP_003913418.1	formyltetrahydrofolate deformylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	226524709	b1234	NP_415750.2	conserved protein, patatin-like family	170532	Mycobacterium tuberculosis H37Rv	397672894	RVBD_1063c	WP_003405642.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129197	b1236	NP_415752.1	glucose-1-phosphate uridylyltransferase	170532	Mycobacterium tuberculosis H37Rv	397672818	RVBD_0993	WP_003911320.1	UTP-glucose-1-phosphate uridylyltransferase	1	b2042[putative regulatory subunit for GalU]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129204	b1243	NP_415759.1	oligopeptide transporter subunit	170532	Mycobacterium tuberculosis H37Rv	397675617	RVBD_3666c	WP_003899629.1	peptide/nickel transporter substrate-binding protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129211	b1250	NP_415766.1	voltage-gated potassium channel	170532	Mycobacterium tuberculosis H37Rv	397675135	RVBD_3200c	WP_003899966.1	NAD+ diphosphatase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129221	b1260	NP_415776.1	tryptophan synthase, alpha subunit	170532	Mycobacterium tuberculosis H37Rv	397673467	RVBD_1613	WP_003407999.1	tryptophan synthase alpha chain				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129222	b1261	NP_415777.1	tryptophan synthase, beta subunit	170532	Mycobacterium tuberculosis H37Rv	397673466	RVBD_1612	WP_016721143.1	tryptophan synthase beta chain				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111239	b1262	NP_415778.2	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase	170532	Mycobacterium tuberculosis H37Rv	397673465	RVBD_1611	WP_003407990.1	indole-3-glycerol phosphate synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129224	b1263	NP_415779.1	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	170532	Mycobacterium tuberculosis H37Rv	397674077	RVBD_2192c	YP_006515612	anthranilate phosphoribosyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129225	b1264	NP_415780.1	component I of anthranilate synthase	170532	Mycobacterium tuberculosis H37Rv	397673463	RVBD_1609	WP_003407977.1	anthranilate synthase component 1				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	162135901	b1267	NP_415783.6	predicted RNA binding protein	170532	Mycobacterium tuberculosis H37Rv	397673143	RVBD_1301	WP_003898815.1	Sua5/YciO/YrdC/YwlC family protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129230	b1269	NP_415785.1	23S rRNA pseudouridylate synthase	170532	Mycobacterium tuberculosis H37Rv	397673571	RVBD_1711	WP_003898983.1	pseudouridine synthase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129231	b1270	NP_415786.1	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	170532	Mycobacterium tuberculosis H37Rv	397674764	RVBD_2849c	WP_003414539.1	cob(I)yrinic acid a,c-diamide adenosyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129235	b1274	NP_415790.1	DNA topoisomerase I, omega subunit	170532	Mycobacterium tuberculosis H37Rv	397675598	RVBD_3646c	WP_003899617.1	DNA topoisomerase 1				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129236	b1275	NP_415791.1	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding	170532	Mycobacterium tuberculosis H37Rv	397671902	RVBD_0117	WP_003400857.1	oxidative stress response regulatory protein oxyS				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129237	b1276	NP_415792.1	aconitate hydratase 1	170532	Mycobacterium tuberculosis H37Rv	397673324	RVBD_1475c	WP_031646997.1	aconitate hydratase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129238	b1277	NP_415793.1	GTP cyclohydrolase II	170532	Mycobacterium tuberculosis H37Rv	397673260	RVBD_1415	WP_003407334.1	riboflavin biosynthesis protein ribBA				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129246	b1285	NP_415801.1	cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability	170532	Mycobacterium tuberculosis H37Rv	397673197	RVBD_1354c	WP_003898837.1	diguanylate cyclase	1	b1489[oxygen sensor, c-di-GMP phosphodiesterase, heme-regulated; cold- and stationary phase-induced bioflim regulator]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129249	b1288	NP_415804.1	enoyl-[acyl-carrier-protein] reductase, NADH-dependent	170532	Mycobacterium tuberculosis H37Rv	397673333	RVBD_1484	WP_003407553.1	enoyl-(acyl carrier protein) reductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111243	b1296	NP_415812.4	putrescine importer	170532	Mycobacterium tuberculosis H37Rv	397674218	RVBD_2320c	WP_009936655.1	amino acid transporter	1	b2014[predicted amino-acid transporter]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111244	b1297	NP_415813.4	gamma-Glu-putrescine synthase	170532	Mycobacterium tuberculosis H37Rv	397674777	RVBD_2860c	WP_003414579.1	glutamine synthetase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111245	b1298	NP_415814.4	gamma-Glu-GABA hydrolase	170532	Mycobacterium tuberculosis H37Rv	397674776	RVBD_2859c	WP_003900586.1	glutamine amidotransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129263	b1302	NP_415818.1	GABA aminotransferase, PLP-dependent	170532	Mycobacterium tuberculosis H37Rv	397674495	RVBD_2589	WP_003413395.1	4-aminobutyrate aminotransferase	1	b2662[4-aminobutyrate aminotransferase, PLP-dependent]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129269	b1308	NP_415824.1	thiosulfate:cyanide sulfurtransferase (rhodanese)	170532	Mycobacterium tuberculosis H37Rv	397672115	RVBD_0324	WP_003906339.1	ArsR family transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129273	b1312	NP_415828.1	predicted sugar transporter subunit: membrane component of ABC superfamily	170532	Mycobacterium tuberculosis H37Rv	397673077	RVBD_1237	WP_003898784.1	multiple sugar transporter permease				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129277	b1316	NP_415832.1	predicted hydrolase	170532	Mycobacterium tuberculosis H37Rv	397675351	RVBD_3401	WP_003900047.1	kojibiose phosphorylase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129278	b1317	NP_415833.1	beta-phosphoglucomutase	170532	Mycobacterium tuberculosis H37Rv	397675350	RVBD_3400	WP_003913474.1	beta-phosphoglucomutase family hydrolase	1	b2690[fructose-1-P and 6-phosphogluconate phosphatase]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129281	b1320	NP_415836.1	predicted DNA-binding transcriptional regulator	170532	Mycobacterium tuberculosis H37Rv	397675530	RVBD_3575c	WP_003419400.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129285	b1324	NP_415840.1	lipid hydroperoxide peroxidase	170532	Mycobacterium tuberculosis H37Rv	397673800	RVBD_1932	WP_003409700.1	thiol peroxidase, atypical 2-Cys peroxiredoxin				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111250	b1329	NP_415845.2	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit	170532	Mycobacterium tuberculosis H37Rv	397675617	RVBD_3666c	WP_003899629.1	peptide/nickel transporter substrate-binding protein	3	b1243[oligopeptide transporter subunit];b1487[D-ala-D-a la transporter subunit];b3020[predicted transporter subunit: periplasmic-binding component of ABC superfamily]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129291	b1330	NP_415846.1	MscS family inner membrane protein	170532	Mycobacterium tuberculosis H37Rv	397674335	RVBD_2434c	WP_003900521.1	hypothetical protein	1	b0465[fused conserved protein]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129296	b1335	NP_415851.1	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	170532	Mycobacterium tuberculosis H37Rv	397673158	RVBD_1316c	WP_003406857.1	methylated-DNA--protein-cysteine methyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129298	b1337	NP_415853.1	p-aminobenzoyl-glutamate hydrolase, B subunit	170532	Mycobacterium tuberculosis H37Rv	397675248	RVBD_3306c	WP_003900009.1	amidohydrolase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111264	b1385	NP_415903.4	phenylacetaldehyde dehydrogenase	170532	Mycobacterium tuberculosis H37Rv	397674775	RVBD_2858c	WP_003900585.1	aldehyde dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129353	b1392	NP_415910.1	ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component	170532	Mycobacterium tuberculosis H37Rv	397675508	RVBD_3554	WP_003912440.1	oxidoreductase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129354	b1393	NP_415911.1	2,3-dehydroadipyl-CoA hydratase	170532	Mycobacterium tuberculosis H37Rv	397672902	RVBD_1070c	WP_003405712.1	enoyl-CoA hydratase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129355	b1394	NP_415912.1	1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming	170532	Mycobacterium tuberculosis H37Rv	397672978	RVBD_1141c	WP_003405951.1	enoyl-CoA hydratase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129355	b1394	NP_415912.1	1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming	170532	Mycobacterium tuberculosis H37Rv	397672979	RVBD_1142c	WP_003405957.1	enoyl-CoA hydratase	1		RVBD_1141c[enoyl-CoA hydratase]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129356	b1395	NP_415913.1	3-hydroxyadipyl-CoA dehydrogenase, NAD+-dependent	170532	Mycobacterium tuberculosis H37Rv	397672262	RVBD_0468	WP_003402318.1	3-hydroxybutyryl-CoA dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129358	b1397	NP_415915.1	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase	170532	Mycobacterium tuberculosis H37Rv	397672675	RVBD_0859	WP_009934956.1	acetyl-CoA C-acetyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129361	b1400	NP_415918.1	predicted hexapeptide repeat acetyltransferase	170532	Mycobacterium tuberculosis H37Rv	397675478	RVBD_3525c	WP_003419208.1	siderophore-binding protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129365	b1404	NP_415922.1	IS30 transposase	170532	Mycobacterium tuberculosis H37Rv	397675122	RVBD_3191c	WP_003416786.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111267	b1408	NP_415926.4	inner membrane protein	170532	Mycobacterium tuberculosis H37Rv	397674519	RVBD_2612c	WP_003413482.1	CDP-diacylglycerol-inositol 3-phosphatidyltransferase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129371	b1410	NP_415928.1	predicted hydrolase	170532	Mycobacterium tuberculosis H37Rv	397671969	RVBD_0183	WP_003401112.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129382	b1423	NP_415940.1	predicted metalloenzyme	170532	Mycobacterium tuberculosis H37Rv	397675234	RVBD_3292	WP_003417184.1	hypothetical protein				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	288551665	b1432	NP_415949.2	IS609 transposase B	170532	Mycobacterium tuberculosis H37Rv	397675788	RVBD_3827c	WP_003912382.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	288551665	b1432	NP_415949.2	IS609 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674899	RVBD_2978c	WP_003415037.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	288551665	b1432	NP_415949.2	IS609 transposase B	170532	Mycobacterium tuberculosis H37Rv	397672743	RVBD_0922	WP_003404761.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	288551665	b1432	NP_415949.2	IS609 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674702	RVBD_2791c	WP_003899482.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	288551665	b1432	NP_415949.2	IS609 transposase B	170532	Mycobacterium tuberculosis H37Rv	397672407	RVBD_0606	WP_003403177.1	transposase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	288551665	b1432	NP_415949.2	IS609 transposase B	170532	Mycobacterium tuberculosis H37Rv	397674803	RVBD_2885c	WP_003914915.1	transposase	5		RVBD_3827c[transposase];RVBD_2978c[transposase];RVBD_0922[transposase];RVBD_2791c[transposase];RVBD_0606[transposase]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129393	b1434	NP_415951.1	predicted DNA-binding transcriptional regulator	170532	Mycobacterium tuberculosis H37Rv	397671803	RVBD_0023	WP_003400391.1	transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111276	b1450	NP_415967.2	colanic acid and biofilm gene transcriptional regulator, MqsR-controlled	170532	Mycobacterium tuberculosis H37Rv	561108324	RVBD_0165c	WP_003899836.1	GntR family transcriptional regulator				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111277	b1453	NP_415970.4	L-asparagine transporter	170532	Mycobacterium tuberculosis H37Rv	397674008	RVBD_2127	WP_003899182.1	L-asparagine permease 1	1		RVBD_0346c[L-asparagine permease 2]	
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111277	b1453	NP_415970.4	L-asparagine transporter	170532	Mycobacterium tuberculosis H37Rv	397672137	RVBD_0346c	WP_003898409.1	L-asparagine permease 2				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129422	b1463	NP_415980.1	N-hydroxyarylamine O-acetyltransferase	170532	Mycobacterium tuberculosis H37Rv	397675520	RVBD_3566c	WP_003419364.1	arylamine N-acetyltransferase nat				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129426	b1467	NP_415984.1	nitrate reductase 2 (NRZ), beta subunit	170532	Mycobacterium tuberculosis H37Rv	397673002	RVBD_1162	WP_003406090.1	nitrate reductase subunit beta	1	b1225[nitrate reductase 1, beta (Fe-S) subunit]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129427	b1468	NP_415985.1	nitrate reductase 2 (NRZ), alpha subunit	170532	Mycobacterium tuberculosis H37Rv	397673001	RVBD_1161	WP_003898748.1	nitrate reductase subunit alpha	1	b1224[nitrate reductase 1, alpha subunit]		
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129428	b1469	NP_415986.1	nitrate/nitrite transporter	170532	Mycobacterium tuberculosis H37Rv	397672056	RVBD_0267	WP_003401380.1	nitrite transporter				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111280	b1478	NP_415995.4	ethanol-active dehydrogenase/acetaldehyde-active reductase	170532	Mycobacterium tuberculosis H37Rv	397673727	RVBD_1862	WP_003409345.1	zinc-binding alcohol dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	90111281	b1479	NP_415996.2	malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)	170532	Mycobacterium tuberculosis H37Rv	397674231	RVBD_2332	WP_003899273.1	malate dehydrogenase				
rbb	57779	Escherichia coli str. K-12 substr. MG1655	16129445	b1486	NP_416003.1	D-ala-D-ala transporter subunit	170532	Mycobacterium tuberculosis H37Rv	397675616	RVBD_3665c	WP_003419701.1	peptide/nickel transporter permease				
