Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog count (reference : comparison)	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholuge status	Enterobacter cloacae subsp. cloacae ATCC 13047 - ortholog NCBI RefSeq accession
145698293	b2359	NP_416860.4	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		1 to 1	Non-SSD	YP_005238021	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130292	b2360	NP_416861.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		1 to 1	Non-SSD	YP_005238022	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111424	b2361	NP_416862.2	CPS-53 (KpLE1) prophage; conserved protein	0	N/A		1 to 1	Borderline-SSD	YP_005238023	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130294	b2362	NP_416863.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130295	b2363	NP_416864.1	CPS-53 (KpLE1) prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130296	b2364	NP_416865.1	DNA-binding transcriptional dual regulator	0	N/A		1 to 1	SSD	YP_005240063	0	N/A		0	N/A		1 to 1	SSD	NP_462701.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004150274.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003610542
16130297	b2365	NP_416866.1	D-serine permease	0	N/A		1 to 1	SSD	YP_005240065	0	N/A		1 to 5	RBB	YP_001704362	1 to 1	SSD	NP_462702.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004173855.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130298	b2366	NP_416867.1	D-serine dehydratase	0	N/A		1 to 1	SSD	YP_005240066	0	N/A		0	N/A		1 to 1	SSD	NP_462703.1	1 to 1	RBB	NP_252047.1	1 to 1	RBB	YP_001084007	1 to 1	RBB	YP_002387821	0	N/A		0	N/A		1 to 1	RBB	WP_003138263.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_014906738.1	0	N/A		1 to 1	RBB	WP_000859908.1	0	N/A		1 to 1	SSD	YP_003610540
16130299	b2367	NP_416868.1	predicted multidrug efflux system	1 to 3	RBB	WP_003898791.1	0	N/A		0	N/A		1 to 2	RBB	YP_001702136	0	N/A		1 to 2	RBB	NP_253847.1	1 to 2	RBB	YP_001083943	1 to 1	RBB	YP_002387822	2 to 2	RBB	WP_000213885.1;WP_000038968.1	0	N/A		1 to 2	RBB	WP_003141886.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001576032	1 to 2	RBB	WP_000857095.1	1 to 1	RBB	YP_500890.1	0	N/A	
16130300	b2368	NP_416869.1	"EmrKY-TolC multidrug resistance efflux pump, membrane fusion protein component"	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_253846.1	1 to 2	RBB	YP_001083942	1 to 1	RBB	YP_002387823	1 to 5	RBB	WP_000738250.1	0	N/A		1 to 2	RBB	WP_003135919.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 5	RBB	YP_001576205	1 to 2	RBB	WP_000128703.1	1 to 4	RBB	YP_501091.1	0	N/A	
16130301	b2369	NP_416870.1	DNA-binding response regulator in two-component regulatory system with EvgS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_251735.1	0	N/A		1 to 1	RBB	YP_002387824	0	N/A		0	N/A		1 to 1	RBB	WP_003091268.1	2 to 1	RBB	WP_011725884.1	2 to 1	RBB	WP_003874665.1	0	N/A		0	N/A		1 to 1	RBB	WP_004174237.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130302	b2370	NP_416871.1	hybrid sensory histidine kinase in two-component regulatory system with EvgA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_252635.1;NP_251734.1	0	N/A		1 to 1	RBB	YP_002387825	0	N/A		1 to 1	RBB	WP_012392687.1	2 to 1	RBB	WP_003138563.1;WP_003137721.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_014906903.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003614925
162135906	b2371	NP_416872.4	"predicted CoA-transferase, NAD(P)-binding"	1 to 2	RBB	WP_003417120.1	0	N/A		2 to 1	SSD	WP_014378888.1;WP_009955107.1	1 to 1	RBB	YP_001701572	0	N/A		2 to 1	RBB	NP_249137.1;NP_252282.1	1 to 1	RBB	YP_001083765	1 to 1	RBB	YP_002387826	0	N/A		1 to 1	RBB	WP_012393337.1	2 to 1	RBB	WP_003138047.1;WP_003084679.1	1 to 2	RBB	WP_011723494.1;WP_011725822.1	1 to 2	SSD	WP_010948809.1;WP_003874831.1	1 to 1	SSD	YP_890896.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_000501127.1;WP_000501111.1	0	N/A		0	N/A	
16130304	b2372	NP_416873.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387827	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002915041.1	0	N/A		1 to 1	RBB	WP_000231856.1	0	N/A		1 to 1	RBB	YP_003615198
16130305	b2373	NP_416874.1	"oxalyl CoA decarboxylase, ThDP-dependent"	1 to 1	RBB	WP_003900812.1	0	N/A		1 to 1	RBB	WP_009957107.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387828	0	N/A		1 to 1	RBB	WP_012392304.1	0	N/A		1 to 1	RBB	WP_024637415.1	1 to 1	RBB	WP_003879048.1	1 to 2	RBB	YP_884573.1;YP_889543.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130306	b2374	NP_416875.1	"formyl-CoA transferase, NAD(P)-binding"	1 to 2	RBB	WP_003417120.1	0	N/A		3 to 1	RBB	WP_014379637.1;WP_009953153.1;WP_041787024.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387829	0	N/A		2 to 1	RBB	WP_012396295.1;WP_012395566.1	0	N/A		1 to 1	RBB	WP_011724263.1	1 to 1	RBB	WP_015632617.1	1 to 1	RBB	YP_884574.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130307	b2375	NP_416876.1	predicted protein	0	N/A		1 to 1	RBB	YP_005239165	0	N/A		0	N/A		1 to 1	RBB	NP_461947.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387830	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004174235.1	0	N/A		0	N/A		0	N/A		0	N/A	
16130308	b2376	NP_416877.1	predicted lipoprotein involved in colanic acid biosynthesis	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387831	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130309	b2377	NP_416878.1	predicted inner membrane protein	0	N/A		1 to 1	RBB	YP_005238485	0	N/A		0	N/A		1 to 1	RBB	NP_461341.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387832	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111426	b2378	NP_416879.4	palmitoleoyl-acyl carrier protein (ACP)-dependent acyltransferase	0	N/A		1 to 1	SSD	YP_005238487	0	N/A		0	N/A		1 to 1	SSD	NP_461342.1	1 to 2	RBB	NP_251932.1	1 to 2	RBB	YP_001083488	1 to 1	RBB	YP_002387834	0	N/A		0	N/A		1 to 2	RBB	WP_003091577.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_004148038.1	0	N/A		1 to 2	RBB	WP_000078875.1	0	N/A		1 to 1	SSD	YP_003614204
16130311	b2379	NP_416880.1	valine-pyruvate aminotransferase 3	1 to 1	RBB	WP_003898756.1	1 to 1	SSD	YP_005238488	0	N/A		0	N/A		1 to 1	SSD	NP_461343.1	1 to 1	SSD	NP_253403.1	1 to 1	Non-SSD	YP_001084503	1 to 1	RBB	YP_002387835	1 to 1	SSD	WP_000625061.1	1 to 1	RBB	WP_012395843.1	1 to 1	RBB	WP_004365361.1	1 to 1	RBB	WP_011724069.1	1 to 1	RBB	WP_003878490.1	0	N/A		2 to 1	RBB	WP_002296294.1;WP_002297045.1	1 to 1	SSD	WP_014907145.1	1 to 1	SSD	YP_001576420	0	N/A		1 to 1	RBB	YP_501331.1	1 to 1	SSD	YP_003614206
16130312	b2380	NP_416881.1	predicted sensory kinase in two-component system with YpdB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_253949.1	1 to 2	SSD	YP_001083337	1 to 1	RBB	YP_002387836	0	N/A		0	N/A		1 to 2	RBB	WP_003096404.1	0	N/A		0	N/A		2 to 1	RBB	YP_889404.1	1 to 1	RBB	WP_002285976.1	1 to 1	SSD	WP_014907144.1	0	N/A		1 to 2	Borderline-SSD	WP_000269797.1	0	N/A		1 to 1	SSD	YP_003614207
16130313	b2381	NP_416882.1	predicted response regulator in two-component system with YpdA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_253948.1	1 to 2	Borderline-SSD	YP_001083338	1 to 1	RBB	YP_002387837	1 to 1	RBB	WP_000645452.1	0	N/A		1 to 2	RBB	WP_003096397.1	0	N/A		0	N/A		1 to 1	RBB	YP_889405.1	0	N/A		1 to 1	SSD	WP_002913374.1	1 to 1	RBB	YP_001574182	1 to 2	Borderline-SSD	WP_000865993.1	1 to 1	RBB	YP_498826.1	1 to 1	SSD	YP_003614208
16130314	b2382	NP_416883.1	predicted DNA-binding protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001700820	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387838	0	N/A		1 to 3	RBB	WP_012392959.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002289135.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130315	b2383	NP_416884.1	fused predicted PTS enzymes: Hpr component/enzyme I component/enzyme IIA component	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_252252.1	1 to 2	RBB	YP_001084974	1 to 1	RBB	YP_002387839	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_000880358.1	0	N/A		0	N/A	
16130316	b2384	NP_416885.1	aminopeptidase	0	N/A		0	N/A		1 to 3	RBB	WP_009957792.1	0	N/A		0	N/A		1 to 2	RBB	NP_250862.1	0	N/A		1 to 1	RBB	YP_002387840	0	N/A		0	N/A		1 to 2	RBB	WP_011666677.1	3 to 1	RBB	WP_011723953.1	3 to 1	RBB	WP_003872792.1	3 to 1	RBB	YP_887584.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130317	b2385	NP_416886.1	Xaa-Pro aminopeptidase	1 to 1	RBB	WP_003412996.1	0	N/A		1 to 1	SSD	WP_041787077.1	1 to 1	SSD	YP_001703571	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387841	1 to 1	RBB	WP_000087103.1	1 to 1	RBB	WP_012393945.1	0	N/A		1 to 1	RBB	WP_003872628.1	1 to 1	RBB	WP_003872628.1	1 to 1	SSD	YP_887351.1	1 to 1	SSD	WP_002286665.1	0	N/A		1 to 1	RBB	YP_001575417	0	N/A		1 to 1	SSD	YP_500140.1	0	N/A	
16130318	b2386	NP_416887.1	predicted enzyme IIC component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387842	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130319	b2387	NP_416888.1	predicted enzyme IIB component of PTS	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002387843	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130320	b2388	NP_416889.1	glucokinase	0	N/A		1 to 1	SSD	YP_005238490	0	N/A		0	N/A		1 to 1	SSD	NP_461344.1	1 to 1	Borderline-SSD	NP_251883.1	0	N/A		1 to 1	RBB	YP_002387844	0	N/A		0	N/A		1 to 1	SSD	WP_003091477.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002913377.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003614209
16130321	b2389	NP_416890.1	predicted ion channel protein	0	N/A		1 to 1	SSD	YP_005238491	0	N/A		0	N/A		1 to 1	SSD	NP_461345.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387845	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_014907143.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003614210
16130322	b2390	NP_416891.1	conserved protein	0	N/A		1 to 1	SSD	YP_005238495	0	N/A		0	N/A		1 to 1	SSD	NP_461348.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387846	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002913419.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003614213
16130324	b2392	NP_416893.1	manganese/divalent cation transporter	1 to 1	RBB	WP_003917375.1	1 to 1	SSD	YP_005238496	1 to 1	RBB	WP_009953039.1	1 to 1	RBB	YP_001701775	1 to 1	SSD	NP_461349.1	2 to 1	RBB	NP_253024.1;NP_249500.1	0	N/A		1 to 1	RBB	YP_002387847	1 to 1	SSD	WP_001060842.1	1 to 1	RBB	WP_012396132.1	2 to 1	RBB	WP_003141228.1;WP_003106624.1	1 to 1	RBB	WP_003877474.1	1 to 1	RBB	WP_003877474.1	1 to 1	SSD	YP_889824.1	1 to 1	RBB	WP_002296138.1	1 to 1	SSD	WP_002913421.1	0	N/A		0	N/A		1 to 1	RBB	YP_499601.1	1 to 1	SSD	YP_003614214
16130325	b2393	NP_416894.1	nucleoside (except guanosine) transporter	0	N/A		1 to 1	SSD	YP_005238497	0	N/A		0	N/A		1 to 1	SSD	NP_461350.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387848	1 to 1	RBB	WP_000547794.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002295909.1	1 to 1	SSD	WP_002913423.1	1 to 1	RBB	YP_001574419	0	N/A		1 to 1	RBB	YP_499074.1	1 to 1	SSD	YP_003614215
90111427	b2394	NP_416895.2	IS186 transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111428	b2395	NP_416896.4	predicted diguanylate cyclase	0	N/A		1 to 1	SSD	YP_005238498	0	N/A		0	N/A		1 to 1	SSD	NP_461351.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387849	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_004174930.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003614216
90111429	b2398	NP_416897.2	"predicted DNA-binding protein, DUF1323 family"	0	N/A		1 to 1	SSD	YP_005238499	0	N/A		0	N/A		1 to 1	SSD	NP_461352.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387850	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002913434.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003614217
226524736	b2399	NP_416898.3	"conserved protein, DUF1323 family; N-terminal HTH domain of the MerR superfamily"	0	N/A		1 to 1	SSD	YP_005238500	0	N/A		0	N/A		1 to 1	SSD	NP_461353.1	0	N/A		0	N/A		1 to 1	RBB	YP_002387851	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_002913435.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_003614218
16130330	b2400	NP_416899.1	glutamyl-tRNA synthetase	1 to 1	RBB	WP_031647610.1	1 to 1	Borderline-SSD	YP_005238501	1 to 1	RBB	WP_009952783.1	1 to 1	Borderline-SSD	YP_001704028	1 to 1	Borderline-SSD	NP_461354.1	1 to 1	Non-SSD	NP_251824.1	1 to 1	SSD	YP_001086205	1 to 1	RBB	YP_002387852	1 to 1	RBB	WP_001283792.1	1 to 1	RBB	WP_020724640.1	1 to 1	Non-SSD	WP_003130541.1	0	N/A		1 to 1	RBB	WP_016705977.1	1 to 1	RBB	YP_886725.1	1 to 1	SSD	WP_002287447.1	1 to 1	SSD	WP_004145598.1	1 to 1	RBB	YP_001574426	1 to 1	SSD	WP_000868422.1	1 to 1	SSD	YP_499082.1	1 to 1	SSD	YP_003614219
16130331	b2405	NP_416900.1	DNA-binding transcriptional activator for for xapAB	1 to 8	RBB	WP_003400857.1	1 to 1	Borderline-SSD	YP_005238502	1 to 2	RBB	WP_009954579.1	0	N/A		1 to 1	Borderline-SSD	NP_461355.1	0	N/A		1 to 1	RBB	YP_001086262	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		3 to 1	RBB	NP_960568.1	0	N/A		1 to 2	RBB	WP_002286319.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130332	b2406	NP_416901.1	xanthosine transporter	0	N/A		1 to 1	Borderline-SSD	YP_005238504	0	N/A		1 to 2	RBB	YP_001705313	1 to 1	SSD	NP_461356.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130333	b2407	NP_416902.1	purine nucleoside phosphorylase II	1 to 1	RBB	WP_003417233.1	1 to 1	Non-SSD	YP_005238505	1 to 1	RBB	WP_014381013.1	1 to 1	RBB	YP_001704388	0	N/A		1 to 1	Non-SSD	NP_251694.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012393098.1	1 to 1	Non-SSD	WP_003091193.1	1 to 1	RBB	WP_011725983.1	1 to 1	RBB	WP_003878986.1	1 to 1	RBB	YP_886077.1	1 to 1	RBB	WP_002289198.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130334	b2408	NP_416903.1	predicted outer membrane protein	0	N/A		1 to 1	RBB	YP_005238506	0	N/A		0	N/A		1 to 1	RBB	NP_461358.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16130335	b2409	NP_416904.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	Non-SSD	YP_005238507	0	N/A		0	N/A		1 to 1	Borderline-SSD	NP_461359.1	1 to 2	RBB	NP_250688.1	1 to 2	RBB	YP_001084762	1 to 1	RBB	YP_002387854	0	N/A		0	N/A		1 to 2	RBB	WP_003088564.1	0	N/A		3 to 1	RBB	NP_960568.1	0	N/A		1 to 3	RBB	WP_002287470.1	1 to 1	SSD	WP_002913438.1	0	N/A		1 to 2	RBB	WP_000172956.1	0	N/A		1 to 1	SSD	YP_003614221
16130336	b2410	NP_416905.1	predicted inner membrane protein	0	N/A		1 to 1	SSD	YP_005238508	0	N/A		1 to 1	RBB	YP_001705451	1 to 1	SSD	NP_461360.1	1 to 1	RBB	NP_250716.1	1 to 1	RBB	YP_001085445	1 to 1	RBB	YP_002387855	0	N/A		1 to 1	RBB	WP_012392060.1	1 to 1	RBB	WP_003128792.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_002913439.1	0	N/A		1 to 1	RBB	WP_000911275.1	0	N/A		1 to 1	SSD	YP_003614222
16130337	b2411	NP_416906.1	"DNA ligase, NAD(+)-dependent"	1 to 1	RBB	WP_003415263.1	1 to 1	SSD	YP_005238510	1 to 1	SSD	WP_009954354.1	1 to 1	SSD	YP_001704075	1 to 1	SSD	NP_461362.1	1 to 1	SSD	NP_250220.1	1 to 1	SSD	YP_001083839	1 to 1	RBB	YP_002387857	1 to 1	RBB	WP_000774556.1	1 to 1	RBB	WP_012393515.1	1 to 1	SSD	WP_003140219.1	1 to 1	SSD	WP_011725716.1	0	N/A		1 to 1	SSD	YP_886705.1	1 to 1	SSD	WP_002303894.1	1 to 1	SSD	WP_014907142.1	1 to 1	RBB	YP_001575786	1 to 1	SSD	WP_001018842.1	1 to 1	SSD	YP_500613.1	1 to 1	SSD	YP_003614224
16130338	b2412	NP_416907.1	cell division protein involved in Z ring assembly	0	N/A		1 to 1	SSD	YP_005238511	0	N/A		0	N/A		1 to 1	SSD	NP_461363.1	1 to 1	SSD	NP_250219.1	1 to 1	RBB	YP_001083838	1 to 1	RBB	YP_002387858	0	N/A		0	N/A		1 to 1	SSD	WP_003110778.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_014907141.1	0	N/A		1 to 1	RBB	WP_000405207.1	0	N/A		1 to 1	SSD	YP_003614225
16130339	b2413	NP_416908.1	predicted inner membrane protein	0	N/A		1 to 1	SSD	YP_005238512	0	N/A		0	N/A		1 to 1	SSD	NP_461364.1	1 to 1	RBB	NP_249537.1	0	N/A		1 to 1	RBB	YP_002387859	0	N/A		0	N/A		1 to 1	RBB	WP_003085838.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_004174922.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_003614226
