Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Lactobacillus rhamnosus GG NC_013198 - ortholog count (reference : comparison)	Lactobacillus rhamnosus GG NC_013198 - ortholuge status	Lactobacillus rhamnosus GG NC_013198 - ortholog NCBI RefSeq accession	Eubacterium rectale ATCC 33656 - ortholog count (reference : comparison)	Eubacterium rectale ATCC 33656 - ortholuge status	Eubacterium rectale ATCC 33656 - ortholog NCBI RefSeq accession	Bacteroides vulgatus ATCC 8482 - ortholog count (reference : comparison)	Bacteroides vulgatus ATCC 8482 - ortholuge status	Bacteroides vulgatus ATCC 8482 - ortholog NCBI RefSeq accession	Eubacterium eligens ATCC 27750 - ortholog count (reference : comparison)	Eubacterium eligens ATCC 27750 - ortholuge status	Eubacterium eligens ATCC 27750 - ortholog NCBI RefSeq accession
16129211	b1250	NP_415766.1	voltage-gated potassium channel	0	N/A		0	N/A		1 to 1	RBB	WP_005850728.1	1 to 1	RBB	WP_041688763.1
90111237	b1251	NP_415767.2	predicted enzyme	0	N/A		0	N/A		0	N/A		0	N/A	
16129213	b1252	NP_415768.1	membrane spanning protein in TonB-ExbB-ExbD transport complex	0	N/A		0	N/A		0	N/A		0	N/A	
16129214	b1253	NP_415769.1	Acyl-CoA esterase, role unknown	0	N/A		0	N/A		0	N/A		0	N/A	
16129215	b1254	NP_415770.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129216	b1255	NP_415771.1	inner membrane protein, UPF0259 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129217	b1256	NP_415772.1	outer membrane protein W	0	N/A		0	N/A		0	N/A		0	N/A	
16129218	b1257	NP_415773.1	predicted rubrerythrin/ferritin-like metal-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129219	b1258	NP_415774.1	predicted rubrerythrin/ferritin-like metal-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111238	b1259	NP_415775.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129221	b1260	NP_415776.1	tryptophan synthase, alpha subunit	1 to 1	RBB	WP_014568937.1	1 to 1	SSD	WP_012743730.1	1 to 1	SSD	WP_012056009.1	1 to 1	RBB	WP_012739533.1
16129222	b1261	NP_415777.1	tryptophan synthase, beta subunit	1 to 1	RBB	WP_014568938.1	1 to 1	SSD	WP_012743731.1	1 to 1	SSD	WP_005839791.1	1 to 1	RBB	WP_012739534.1
90111239	b1262	NP_415778.2	fused indole-3-glycerolphosphate synthetase/N-(5-phosphoribosyl)anthranilate isomerase	1 to 1	RBB	WP_014568940.1	1 to 1	SSD	WP_012743732.1	1 to 1	SSD	WP_005851346.1	1 to 1	RBB	WP_012739536.1
16129224	b1263	NP_415779.1	fused glutamine amidotransferase (component II) of anthranilate synthase/anthranilate phosphoribosyl transferase	1 to 1	RBB	WP_014568941.1	1 to 1	SSD	WP_012743733.1	1 to 1	SSD	WP_005839783.1	1 to 1	RBB	WP_012739509.1
16129225	b1264	NP_415780.1	component I of anthranilate synthase	0	N/A		1 to 1	SSD	WP_041254233.1	1 to 1	SSD	WP_005839788.1	0	N/A	
16129226	b1265	NP_415781.1	trp operon leader peptide	0	N/A		0	N/A		0	N/A		0	N/A	
16129227	b1266	NP_415782.1	conserved protein	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012738851.1
162135901	b1267	NP_415783.6	predicted RNA binding protein	0	N/A		0	N/A		1 to 1	RBB	WP_005848917.1	1 to 1	RBB	WP_012740162.1
16129229	b1268	NP_415784.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129230	b1269	NP_415785.1	23S rRNA pseudouridylate synthase	0	N/A		0	N/A		0	N/A		0	N/A	
16129231	b1270	NP_415786.1	cob(I)alamin adenolsyltransferase/cobinamide ATP-dependent adenolsyltransferase	0	N/A		1 to 1	RBB	WP_015517299.1	0	N/A		0	N/A	
16129232	b1271	NP_415787.1	predicted oxoacyl-(acyl carrier protein) reductase, EmrKY-TolC system	0	N/A		0	N/A		0	N/A		0	N/A	
16129233	b1272	NP_415788.1	predicted inner membrane peptidase; multicopy suppressor of htrA(degP)	0	N/A		0	N/A		0	N/A		0	N/A	
16129234	b1273	NP_415789.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129235	b1274	NP_415790.1	DNA topoisomerase I, omega subunit	1 to 1	RBB	WP_005688022.1	1 to 1	SSD	WP_012742655.1	1 to 1	RBB	WP_005838811.1	1 to 1	RBB	WP_012739047.1
16129236	b1275	NP_415791.1	DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding	1 to 2	RBB	WP_014569287.1	0	N/A		0	N/A		0	N/A	
16129237	b1276	NP_415792.1	aconitate hydratase 1	0	N/A		0	N/A		1 to 1	RBB	WP_016270900.1	0	N/A	
16129238	b1277	NP_415793.1	GTP cyclohydrolase II	0	N/A		1 to 1	RBB	WP_012743885.1	0	N/A		0	N/A	
16129239	b1278	NP_415794.1	phosphatidylglycerophosphatase B	0	N/A		0	N/A		0	N/A		0	N/A	
16129240	b1279	NP_415795.1	conserved inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129241	b1280	NP_415796.1	TPR-repeats-containing protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129242	b1281	NP_415797.1	orotidine-5'-phosphate decarboxylase	1 to 1	RBB	WP_005685851.1	0	N/A		0	N/A		0	N/A	
90111241	b1282	NP_415798.2	initiation factor function partial mimic, SUI1 family	0	N/A		0	N/A		1 to 1	RBB	WP_005839203.1	0	N/A	
16129244	b1283	NP_415799.1	lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
16129245	b1284	NP_415800.1	global regulator of transcription; DeoR family	0	N/A		0	N/A		0	N/A		0	N/A	
16129246	b1285	NP_415801.1	cyclic-di-GMP phosphodiesterase; csgD regulator; modulator of Rnase II stability	0	N/A		1 to 1	RBB	WP_012743202.1	0	N/A		1 to 1	RBB	WP_041688460.1
16129247	b1286	NP_415802.1	ribonuclease II	0	N/A		0	N/A		0	N/A		0	N/A	
90111242	b1287	NP_415803.2	predicted oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
16129249	b1288	NP_415804.1	enoyl-[acyl-carrier-protein] reductase, NADH-dependent	0	N/A		0	N/A		1 to 1	RBB	WP_005845903.1	0	N/A	
16129250	b1289	NP_415805.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129251	b1290	NP_415806.1	antimicrobial peptide transport ABC system ATP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129252	b1291	NP_415807.1	antimicrobial peptide transport ABC system ATP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129253	b1292	NP_415808.1	antimicrobial peptide transport ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A	
16129254	b1293	NP_415809.1	antimicrobial peptide transport ABC transporter permease	0	N/A		0	N/A		0	N/A		0	N/A	
16129255	b1294	NP_415810.1	antimicrobial peptide transport ABC transporter periplasmic binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129256	b1295	NP_415811.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111243	b1296	NP_415812.4	putrescine importer	0	N/A		1 to 5	RBB	WP_012741025.1	1 to 2	RBB	WP_008669383.1	0	N/A	
90111244	b1297	NP_415813.4	gamma-Glu-putrescine synthase	0	N/A		0	N/A		0	N/A		0	N/A	
90111245	b1298	NP_415814.4	gamma-Glu-GABA hydrolase	2 to 1	RBB	WP_005684255.1;WP_014569565.1	0	N/A		2 to 1	RBB	WP_011965138.1;WP_012055713.1	0	N/A	
16129260	b1299	NP_415815.1	DNA-binding transcriptional repressor for the puu divergon	1 to 1	RBB	WP_005684568.1	1 to 1	RBB	WP_012742999.1	1 to 1	RBB	WP_005841081.1	1 to 1	RBB	WP_041688270.1
16129261	b1300	NP_415816.1	gamma-Glu-gamma-aminobutyraldehyde dehydrogenase, NAD(P)H-dependent	1 to 6	RBB	WP_005690034.1	0	N/A		0	N/A		1 to 8	RBB	WP_041687921.1
16129262	b1301	NP_415817.1	gamma-Glu-putrescine oxidase, FAD/NAD(P)-binding	0	N/A		0	N/A		0	N/A		0	N/A	
16129263	b1302	NP_415818.1	GABA aminotransferase, PLP-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
90111246	b1303	NP_415819.4	DNA-binding transcriptional activator	0	N/A		1 to 10	RBB	WP_012742061.1	0	N/A		0	N/A	
16129265	b1304	NP_415820.1	regulatory protein for phage-shock-protein operon	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041688711.1
16129266	b1305	NP_415821.1	DNA-binding transcriptional regulator of psp operon	0	N/A		0	N/A		0	N/A		0	N/A	
16129267	b1306	NP_415822.1	DNA-binding transcriptional activator	0	N/A		0	N/A		1 to 1	RBB	WP_005844025.1	0	N/A	
16129268	b1307	NP_415823.1	peripheral inner membrane phage-shock protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129269	b1308	NP_415824.1	thiosulfate:cyanide sulfurtransferase (rhodanese)	0	N/A		1 to 1	RBB	WP_012742079.1	0	N/A		0	N/A	
90111247	b1309	NP_415825.4	predicted glucosyltransferase	0	N/A		1 to 1	RBB	WP_041253835.1	0	N/A		0	N/A	
16129271	b1310	NP_415826.1	predicted sugar transporter subunit: periplasmic-binding component of ABC superfamily	0	N/A		1 to 1	RBB	WP_012741208.1	0	N/A		0	N/A	
16129272	b1311	NP_415827.1	predicted sugar transporter subunit: membrane component of ABC superfamily	0	N/A		2 to 1	RBB	WP_041253791.1;WP_012744249.1	0	N/A		0	N/A	
16129273	b1312	NP_415828.1	predicted sugar transporter subunit: membrane component of ABC superfamily	1 to 1	RBB	WP_005684550.1	1 to 1	RBB	WP_012742048.1	0	N/A		1 to 2	RBB	WP_041688248.1
16129274	b1313	NP_415829.1	predicted oxidoreductase, Zn-dependent and NAD(P)-binding	0	N/A		0	N/A		0	N/A		0	N/A	
90111248	b1314	NP_415830.2	predicted enzyme	0	N/A		0	N/A		0	N/A		0	N/A	
16129276	b1315	NP_415831.1	predicted oxidoreductase, NADH-binding	0	N/A		1 to 1	SSD	WP_012743636.1	0	N/A		0	N/A	
16129277	b1316	NP_415832.1	predicted hydrolase	1 to 1	RBB	WP_014569378.1	0	N/A		0	N/A		0	N/A	
16129278	b1317	NP_415833.1	beta-phosphoglucomutase	1 to 1	RBB	WP_014569379.1	0	N/A		0	N/A		0	N/A	
16129280	b1319	NP_415835.1	outer membrane porin G	0	N/A		0	N/A		0	N/A		0	N/A	
16129281	b1320	NP_415836.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16129282	b1321	NP_415837.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		0	N/A		0	N/A		0	N/A	
16129283	b1322	NP_415838.1	inner membrane protein, UPF0283 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129284	b1323	NP_415839.1	DNA-binding transcriptional dual regulator, tyrosine-binding	0	N/A		1 to 10	RBB	WP_012742061.1	0	N/A		0	N/A	
16129285	b1324	NP_415840.1	lipid hydroperoxide peroxidase	1 to 1	RBB	WP_014569289.1	0	N/A		1 to 1	RBB	WP_005851502.1	0	N/A	
90111249	b1325	NP_415841.4	L-Ala-D/L-Glu epimerase	2 to 1	RBB	WP_014569082.1;WP_005684258.1	0	N/A		0	N/A		0	N/A	
226524711	b1326	NP_415842.2	murein peptide amidase A	0	N/A		0	N/A		0	N/A		0	N/A	
221800781	b1327	NP_415843.2	predicted hydrolase	0	N/A		0	N/A		1 to 1	RBB	WP_005839464.1	0	N/A	
16129289	b1328	NP_415844.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 3	RBB	WP_012742370.1	0	N/A		0	N/A	
90111250	b1329	NP_415845.2	murein tripeptide (L-ala-gamma-D-glutamyl-meso-DAP) transporter subunit	1 to 1	RBB	WP_014570194.1	1 to 3	RBB	WP_012741844.1	0	N/A		0	N/A	
16129291	b1330	NP_415846.1	MscS family inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129292	b1331	NP_415847.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A	
16129293	b1332	NP_415848.1	predicted inner membrane protein, DUF2534 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129294	b1333	NP_415849.1	stress-induced protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129295	b1334	NP_415850.1	DNA-binding transcriptional dual regulator, global regulator of anaerobic growth	0	N/A		0	N/A		0	N/A		0	N/A	
16129296	b1335	NP_415851.1	O-6-alkylguanine-DNA:cysteine-protein methyltransferase	1 to 2	RBB	WP_005687408.1	0	N/A		1 to 2	RBB	WP_012055607.1	0	N/A	
90111251	b1336	NP_415852.2	p-aminobenzoyl-glutamate transporter; membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129298	b1337	NP_415853.1	p-aminobenzoyl-glutamate hydrolase, B subunit	1 to 1	RBB	WP_014569109.1	0	N/A		0	N/A		0	N/A	
90111252	b1338	NP_415854.4	p-aminobenzoyl-glutamate hydrolase, A subunit	2 to 1	RBB	WP_014568948.1;WP_014570246.1	0	N/A		0	N/A		0	N/A	
16129300	b1339	NP_415855.1	predicted DNA-binding transcriptional regulator of abgABT operon	0	N/A		0	N/A		0	N/A		0	N/A	
16129301	b1340	NP_415856.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111253	b1341	NP_415857.2	diguanylate cyclase, csgD regulator	0	N/A		1 to 2	RBB	WP_012742396.1	0	N/A		0	N/A	
16129303	b1342	NP_415858.1	predicted Zn(II) transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129304	b1343	NP_415859.1	ATP-dependent RNA helicase, specific for 23S rRNA	0	N/A		0	N/A		0	N/A		0	N/A	
16129305	b1344	NP_415860.1	tRNA 2-thiocytidine biosynthesis protein	0	N/A		1 to 1	SSD	WP_012742553.1	1 to 1	SSD	WP_005839398.1	1 to 1	RBB	WP_041688802.1
16129306	b1345	NP_415861.1	Rac prophage; integrase	0	N/A		2 to 1	RBB	WP_012744228.1;WP_012744117.1	1 to 1	RBB	WP_011965434.1	0	N/A	
90111254	b1346	NP_415862.4	Rac prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129308	b1347	NP_415863.1	Rac prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129309	b1348	NP_415864.1	Rac prophage; restriction alleviation protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129310	b1349	NP_415865.1	Rac prophage; recombination and repair protein	1 to 1	RBB	WP_014569467.1	1 to 1	RBB	WP_041254612.1	0	N/A		0	N/A	
16129311	b1350	NP_415866.1	Rac prophage; exonuclease VIII, 5' -> 3' specific dsDNA exonuclease	0	N/A		0	N/A		0	N/A		0	N/A	
16129312	b1351	NP_415867.1	Rac prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111255	b1352	NP_415869.2	Rac prophage; inhibitor of ftsZ, killing protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111256	b1353	NP_415870.4	Rac prophage; phage superinfection exclusion protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111257	b1355	NP_415873.2	Rac prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129317	b1356	NP_415874.1	Rac prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16129318	b1357	NP_415875.1	Rac prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16129319	b1358	NP_415876.1	Rac prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129320	b1359	NP_415877.1	Rac prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129321	b1360	NP_415878.1	Rac prophage; predicted DNA replication protein	0	N/A		1 to 1	RBB	WP_012744301.1	0	N/A		0	N/A	
16129324	b1363	NP_415881.1	Rac prophage; potassium transporter subunit	0	N/A		1 to 2	RBB	WP_012743561.1	1 to 2	RBB	WP_005842856.1	1 to 2	RBB	WP_012739805.1
16129326	b1365	NP_415883.1	Rac prophage; conserved protein	0	N/A		4 to 1	RBB	WP_012741702.1;WP_012744406.1;WP_012744321.1	0	N/A		1 to 1	RBB	WP_041688864.1
16129331	b1370	NP_415888.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A	
90111261	b1372	NP_415890.2	Rac prophage; predicted tail fiber protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129334	b1373	NP_415891.1	Rac prophage; predicted tail fiber assembly protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129335	b1374	NP_415892.1	Rac prophage; predicted site-specific recombinase	1 to 3	RBB	WP_015764963.1	2 to 3	RBB	WP_041253887.1	1 to 3	RBB	WP_005844090.1	0	N/A	
16129336	b1375	NP_415893.1	Rac prophage; predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
345452718	b1375	NP_415893.2	cold shock protein, function unknown, Rac prophage	0	N/A		0	N/A		0	N/A		0	N/A	
90111262	b1376	NP_415894.4	stress-induced protein, ATP-binding protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129338	b1377	NP_415895.1	outer membrane pore protein N, non-specific	0	N/A		0	N/A		0	N/A		0	N/A	
16129339	b1378	NP_415896.1	fused predicted pyruvate-flavodoxin oxidoreductase: conserved protein/conserved protein/FeS binding protein	0	N/A		1 to 1	RBB	WP_012742325.1	1 to 1	RBB	WP_005842154.1	1 to 1	RBB	WP_012738985.1
16129340	b1379	NP_415897.1	heat-inducible lipoprotein involved in novobiocin resistance	0	N/A		0	N/A		0	N/A		0	N/A	
16129341	b1380	NP_415898.1	fermentative D-lactate dehydrogenase, NAD-dependent	1 to 1	RBB	WP_005687409.1	0	N/A		1 to 1	RBB	WP_005847434.1	1 to 1	RBB	WP_012738455.1
16129342	b1381	NP_415899.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129343	b1382	NP_415900.1	lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
90111263	b1383	NP_415901.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129345	b1384	NP_415902.1	DNA-binding transcriptional activator for tynA and feaB	0	N/A		0	N/A		0	N/A		0	N/A	
90111264	b1385	NP_415903.4	phenylacetaldehyde dehydrogenase	1 to 6	RBB	WP_005690034.1	0	N/A		0	N/A		1 to 8	RBB	WP_041687921.1
162135920	b1386	NP_415904.3	tyramine oxidase, copper-requiring	0	N/A		0	N/A		0	N/A		0	N/A	
16129348	b1387	NP_415905.1	fused oxepin-CoA hydrolase/3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A	
16129349	b1388	NP_415906.1	ring 1,2-phenylacetyl-CoA epoxidase subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129350	b1389	NP_415907.1	ring 1,2-phenylacetyl-CoA epoxidase possible subunit, not required for in vitro activity	0	N/A		0	N/A		0	N/A		0	N/A	
16129351	b1390	NP_415908.1	ring 1,2-phenylacetyl-CoA epoxidase subunit	0	N/A		0	N/A		0	N/A		0	N/A	
226524712	b1391	NP_415909.4	ring 1,2-phenylacetyl-CoA epoxidase subunit	0	N/A		0	N/A		1 to 1	SSD	WP_005840684.1	0	N/A	
16129353	b1392	NP_415910.1	ring 1,2-phenylacetyl-CoA epoxidase, NAD(P)H oxidoreductase component	0	N/A		0	N/A		0	N/A		0	N/A	
16129354	b1393	NP_415911.1	2,3-dehydroadipyl-CoA hydratase	0	N/A		1 to 1	RBB	WP_012741880.1	0	N/A		0	N/A	
16129355	b1394	NP_415912.1	1,2-epoxyphenylacetyl-CoA isomerase, oxepin-CoA-forming	0	N/A		0	N/A		0	N/A		0	N/A	
16129356	b1395	NP_415913.1	3-hydroxyadipyl-CoA dehydrogenase, NAD+-dependent	0	N/A		1 to 1	SSD	WP_012741636.1	0	N/A		1 to 3	RBB	WP_041688235.1
16129357	b1396	NP_415914.1	thioesterase, most active with ring-hydroxylated phenylacetyl-coenzyme A thioesters	0	N/A		0	N/A		1 to 1	SSD	WP_005840645.1	0	N/A	
16129358	b1397	NP_415915.1	3-oxoadipyl-CoA/3-oxo-5,6-dehydrosuberyl-CoA thiolase	0	N/A		0	N/A		0	N/A		0	N/A	
16129359	b1398	NP_415916.1	phenylacetyl-CoA ligase	0	N/A		0	N/A		1 to 1	SSD	WP_005846118.1	0	N/A	
16129360	b1399	NP_415917.1	DNA-binding transcriptional repressor of phenylacetic acid degradation paa operon, phenylacetyl-CoA inducer	0	N/A		0	N/A		0	N/A		0	N/A	
16129361	b1400	NP_415918.1	predicted hexapeptide repeat acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A	
16129363	b1402	NP_415920.1	IS2 transposase TnpB	0	N/A		0	N/A		0	N/A		0	N/A	
145698254	b1403	NP_415921.2	IS2 repressor TnpA	0	N/A		0	N/A		0	N/A		0	N/A	
16129365	b1404	NP_415922.1	IS30 transposase	4 to 3	RBB	WP_014568877.1	3 to 3	RBB	WP_022293574.1;WP_041253786.1	0	N/A		0	N/A	
16129367	b1406	NP_415924.1	predicted oxidoreductase, NAD(P)-binding	0	N/A		0	N/A		0	N/A		0	N/A	
90111266	b1407	NP_415925.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111267	b1408	NP_415926.4	inner membrane protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129370	b1409	NP_415927.1	predicted CDP-diglyceride synthase	0	N/A		0	N/A		0	N/A		0	N/A	
16129371	b1410	NP_415928.1	predicted hydrolase	0	N/A		0	N/A		0	N/A		0	N/A	
16129372	b1411	NP_415929.1	predicted phosphatase inner membrane protein	0	N/A		1 to 1	RBB	WP_041254632.1	0	N/A		0	N/A	
16129373	b1412	NP_415930.1	NADH-azoreductase, FMN-dependent	0	N/A		0	N/A		0	N/A		0	N/A	
145698255	b1413	NP_415931.4	predicted ATP-dependent helicase	0	N/A		0	N/A		0	N/A		0	N/A	
16129375	b1414	NP_415932.1	conserved SAM-binding protein, DUF218 superfamily	0	N/A		0	N/A		0	N/A		0	N/A	
16129376	b1415	NP_415933.1	aldehyde dehydrogenase A, NAD-linked	0	N/A		0	N/A		1 to 1	RBB	WP_011965334.1	1 to 8	RBB	WP_041687921.1
90111268	b1418	NP_415935.2	cytochrome b561	0	N/A		0	N/A		0	N/A		0	N/A	
16129378	b1419	NP_415936.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129379	b1420	NP_415937.1	regulatory peptide	0	N/A		0	N/A		0	N/A		0	N/A	
16129380	b1421	NP_415938.1	methyl-accepting chemotaxis protein III, ribose and galactose sensor receptor	0	N/A		3 to 4	RBB	WP_012741418.1;WP_041253819.1;WP_012741860.1	0	N/A		1 to 5	RBB	WP_012739866.1
90111269	b1422	NP_415939.2	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A	
16129382	b1423	NP_415940.1	predicted metalloenzyme	0	N/A		0	N/A		0	N/A		0	N/A	
145698256	b1424	NP_415941.5	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111271	b1426	NP_415943.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129386	b1427	NP_415944.1	ribosomal-protein-L7/L12-serine acetyltransferase	1 to 1	RBB	WP_005687904.1	1 to 1	RBB	WP_012742031.1	1 to 1	RBB	WP_005842129.1	0	N/A	
16129387	b1428	NP_415945.1	predicted enzyme	0	N/A		0	N/A		0	N/A		0	N/A	
16129388	b1429	NP_415946.1	potassium-tellurite ethidium and proflavin transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129389	b1430	NP_415947.1	tellurite resistance protein, SAM-dependent; predicted S-adenosyl-L-methionine-dependent methyltransferase	0	N/A		1 to 1	RBB	WP_012744175.1	0	N/A		0	N/A	
16129390	b1431	NP_415948.1	lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A	
288551665	b1432	NP_415949.2	IS609 transposase B	1 to 1	RBB	WP_005684448.1	1 to 1	RBB	WP_012741946.1	0	N/A		0	N/A	
90111272	b1433	NP_415950.4	inner membrane protein, predicted transporter, function unknown	0	N/A		0	N/A		0	N/A		0	N/A	
16129393	b1434	NP_415951.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	RBB	WP_015517604.1	1 to 1	RBB	WP_005843827.1	0	N/A	
90111273	b1435	NP_415952.2	predicted peptidase	0	N/A		1 to 1	RBB	WP_041254026.1	1 to 1	RBB	WP_011965421.1	1 to 1	RBB	WP_041688574.1
16129395	b1436	NP_415953.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
145698257	b1438	NP_415955.2	antitoxin for the HicAB toxin-antitoxin system; mutational suppressor of null rpoE lethality	0	N/A		1 to 1	RBB	WP_041253944.1	0	N/A		0	N/A	
16129398	b1439	NP_415956.1	fused predicted DNA-binding transcriptional regulator/predicted amino transferase	1 to 2	RBB	WP_005685158.1	1 to 2	RBB	WP_012743705.1	0	N/A		1 to 2	RBB	WP_041687870.1
16129399	b1440	NP_415957.1	polyhydroxybutyrate (PHB) synthase, ABC transporter periplasmic binding protein homolog	0	N/A		0	N/A		0	N/A		0	N/A	
16129400	b1441	NP_415958.1	predicted spermidine/putrescine transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129401	b1442	NP_415959.1	predicted spermidine/putrescine transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129402	b1443	NP_415960.1	predicted spermidine/putrescine transporter subunit	0	N/A		0	N/A		0	N/A		0	N/A	
16129403	b1444	NP_415961.1	gamma-aminobutyraldehyde dehydrogenase	1 to 6	RBB	WP_005690034.1	0	N/A		0	N/A		1 to 8	RBB	WP_041687921.1
90111274	b1445	NP_415962.2	conserved protein, DUF2566 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129405	b1446	NP_415963.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129406	b1447	NP_415964.1	inner membrane protein, DUF606 family	0	N/A		0	N/A		0	N/A		0	N/A	
16129407	b1448	NP_415965.1	predicted acyltransferase with acyl-CoA N-acyltransferase domain	0	N/A		0	N/A		1 to 1	RBB	WP_005849540.1	0	N/A	
226524714	b1449	NP_415966.6	predicted NADP-dependent, Zn-dependent oxidoreductase	0	N/A		0	N/A		0	N/A		0	N/A	
90111276	b1450	NP_415967.2	colanic acid and biofilm gene transcriptional regulator, MqsR-controlled	1 to 1	RBB	WP_005686034.1	0	N/A		0	N/A		0	N/A	
16129410	b1451	NP_415968.1	predicted iron outer membrane transporter	0	N/A		0	N/A		0	N/A		0	N/A	
16129411	b1452	NP_415969.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
90111277	b1453	NP_415970.4	L-asparagine transporter	0	N/A		1 to 5	RBB	WP_012741025.1	0	N/A		0	N/A	
16129413	b1454	NP_415971.1	glutathione S-transferase homolog	0	N/A		0	N/A		0	N/A		0	N/A	
16129414	b1455	NP_415972.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129416	b1457	NP_415974.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A	
16129419	b1460	NP_415977.1	conserved protein	0	N/A		0	N/A		1 to 3	RBB	WP_041174385.1	0	N/A	
16129420	b1461	NP_415978.1	4-oxalocrotonate tautomerase	0	N/A		0	N/A		0	N/A		0	N/A	
