Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog count (reference : comparison)	Mycobacterium avium subsp. paratuberculosis K-10 - ortholuge status	Mycobacterium avium subsp. paratuberculosis K-10 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus N315 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus N315 - ortholuge status	Staphylococcus aureus subsp. aureus N315 - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Mycobacterium abscessus ATCC 19977 - ortholog count (reference : comparison)	Mycobacterium abscessus ATCC 19977 - ortholuge status	Mycobacterium abscessus ATCC 19977 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Mycobacterium intracellulare ATCC 13950 - ortholog count (reference : comparison)	Mycobacterium intracellulare ATCC 13950 - ortholuge status	Mycobacterium intracellulare ATCC 13950 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Mycobacterium marinum M - ortholog count (reference : comparison)	Mycobacterium marinum M - ortholuge status	Mycobacterium marinum M - ortholog NCBI RefSeq accession	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog count (reference : comparison)	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholuge status	Mycobacterium smegmatis str. MC2 155 NC_008596 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Mycobacterium avium 104 - ortholog count (reference : comparison)	Mycobacterium avium 104 - ortholuge status	Mycobacterium avium 104 - ortholog NCBI RefSeq accession	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog count (reference : comparison)	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholuge status	Klebsiella pneumoniae subsp. pneumoniae 1084 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholuge status	Staphylococcus aureus subsp. aureus USA300_TCH1516 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholuge status	Staphylococcus aureus subsp. aureus NCTC 8325 - ortholog NCBI RefSeq accession	Acinetobacter baumannii AYE - ortholog count (reference : comparison)	Acinetobacter baumannii AYE - ortholuge status	Acinetobacter baumannii AYE - ortholog NCBI RefSeq accession	Enterococcus faecium Aus0004 - ortholog count (reference : comparison)	Enterococcus faecium Aus0004 - ortholuge status	Enterococcus faecium Aus0004 - ortholog NCBI RefSeq accession
397672967	RVBD_1132	WP_003405912.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_010949686.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001705275	0	N/A		0	N/A		1 to 1	SSD	WP_014379396.1	0	N/A		1 to 1	SSD	WP_011738522.1	1 to 1	SSD	YP_889448.1	0	N/A		1 to 1	SSD	WP_011724036.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672968	RVBD_1133c	WP_003405914.1	5- methyltetrahydropteroyltriglutamate/homocysteine S-methyltransferase	1 to 1	RBB	YP_005240228	1 to 1	SSD	WP_003875412.1	1 to 1	RBB	WP_000207623.1	1 to 1	RBB	NP_418273.1	1 to 1	RBB	NP_250617.1	1 to 1	RBB	YP_001705346	1 to 1	RBB	WP_003139809.1	1 to 1	SSD	NP_462850.1	1 to 1	SSD	WP_009957549.1	1 to 1	SSD	YP_001083779	1 to 1	SSD	WP_012395892.1	1 to 1	SSD	YP_890847.1	1 to 1	RBB	YP_002389309	1 to 1	SSD	WP_011724037.1	1 to 1	SSD	WP_002883416.1	1 to 1	RBB	YP_001574286	1 to 1	RBB	YP_498928.1	1 to 1	SSD	WP_000735356.1	0	N/A	
397672969	RVBD_1134	WP_003405917.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672971	RVBD_1135A	WP_003405922.1	acetyl-CoA C-acetyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672970	RVBD_1135c	WP_003405919.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041325473.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672972	RVBD_1136	WP_003405926.1	enoyl-CoA hydratase	0	N/A		1 to 1	RBB	WP_003875428.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_009957567.1	0	N/A		1 to 1	RBB	WP_012395880.1	0	N/A		0	N/A		1 to 1	RBB	WP_011724046.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672973	RVBD_1137c	YP_006514508	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672974	RVBD_1138c	WP_003405932.1	oxidoreductase	0	N/A		1 to 1	RBB	WP_003875429.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_014379404.1	0	N/A		1 to 1	RBB	WP_012395878.1	1 to 1	RBB	YP_885214.1	0	N/A		1 to 1	RBB	WP_011724047.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672976	RVBD_1139Ac	YP_006514511	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672975	RVBD_1139c	WP_003405935.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_010949677.1	1 to 1	RBB	WP_000603755.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_014379405.1	0	N/A		1 to 1	RBB	WP_012395877.1	1 to 1	RBB	YP_885213.1	0	N/A		1 to 1	RBB	WP_011724048.1	0	N/A		1 to 1	RBB	YP_001574138	1 to 1	RBB	YP_498779.1	0	N/A		0	N/A	
397672977	RVBD_1140	WP_003911379.1	membrane protein	0	N/A		1 to 1	SSD	WP_003878510.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_014379409.1	0	N/A		1 to 1	SSD	WP_012395874.1	1 to 1	RBB	YP_889434.1	0	N/A		1 to 1	SSD	WP_011724051.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672978	RVBD_1141c	WP_003405951.1	enoyl-CoA hydratase	0	N/A		0	N/A		0	N/A		2 to 1	RBB	NP_415912.1	0	N/A		2 to 1	RBB	YP_001705293	0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_001084372	2 to 1	RBB	WP_012395872.1	2 to 1	RBB	YP_889431.1	2 to 1	RBB	YP_002386837	0	N/A		1 to 2	RBB	WP_004140117.1	0	N/A		0	N/A		2 to 2	RBB	WP_001186958.1;WP_000386291.1	0	N/A	
397672979	RVBD_1142c	WP_003405957.1	enoyl-CoA hydratase	0	N/A		1 to 1	SSD	WP_003878509.1	0	N/A		2 to 1	RBB	NP_415912.1	0	N/A		2 to 1	RBB	YP_001705293	0	N/A		0	N/A		1 to 1	SSD	WP_014379411.1	2 to 1	RBB	YP_001084372	2 to 1	SSD	WP_012395872.1	2 to 1	RBB	YP_889431.1	2 to 1	RBB	YP_002386837	1 to 1	SSD	WP_009975462.1	1 to 2	RBB	WP_004140117.1	0	N/A		0	N/A		2 to 2	RBB	WP_001186958.1;WP_000386291.1	0	N/A	
397672980	RVBD_1143	WP_003898740.1	alpha-methylacyl-CoA racemase	3 to 1	RBB	YP_005235718	1 to 1	SSD	WP_003878508.1	0	N/A		0	N/A		2 to 1	RBB	NP_249879.1	0	N/A		2 to 1	RBB	WP_003140523.1	3 to 1	RBB	NP_459077.1	1 to 1	SSD	WP_036458380.1	2 to 1	SSD	YP_001085858	1 to 1	SSD	WP_012395871.1	1 to 1	SSD	YP_889430.1	0	N/A		1 to 1	SSD	WP_009975464.1	0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_000205332.1	0	N/A	
397672981	RVBD_1144	WP_003405961.1	3-hydroxyacyl-CoA dehydrogenase/3-hydroxy-2-methylbutyryl-CoA dehydrogenase	0	N/A		1 to 1	Non-SSD	WP_003878507.1	0	N/A		0	N/A		1 to 1	RBB	NP_251244.1	1 to 1	RBB	YP_001701121	1 to 1	RBB	WP_003090005.1	0	N/A		1 to 1	Non-SSD	WP_009954646.1	1 to 1	RBB	YP_001085179	1 to 1	SSD	WP_012395870.1	1 to 1	SSD	YP_889429.1	0	N/A		1 to 1	Non-SSD	WP_003878507.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_000701535.1	0	N/A	
397672982	RVBD_1144Ac	YP_006514517	hypothetical protein	0	N/A		1 to 1	Borderline-SSD	NP_961570.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_005336732	0	N/A		1 to 1	SSD	YP_001852567	1 to 1	RBB	YP_889426.1	0	N/A		1 to 1	Non-SSD	YP_880531.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672983	RVBD_1145	YP_006514518	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672984	RVBD_1146	YP_006514519	hypothetical protein	0	N/A		1 to 2	SSD	WP_031351188.1;WP_003878505.1	0	N/A		0	N/A		0	N/A		1 to 2	RBB	YP_001702029;YP_001703010	0	N/A		0	N/A		1 to 2	RBB	WP_014379413.1;WP_009957508.1	0	N/A		1 to 2	RBB	WP_012395869.1;WP_012396346.1	1 to 1	RBB	YP_889424.1	0	N/A		1 to 2	SSD	WP_011724052.1;WP_031347805.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672985	RVBD_1147	WP_003405982.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003878504.1	0	N/A		0	N/A		1 to 1	RBB	NP_249489.1	1 to 1	RBB	YP_001702033	1 to 1	RBB	WP_016254109.1	0	N/A		1 to 1	SSD	WP_014379414.1	0	N/A		1 to 1	SSD	WP_011739227.1	1 to 1	SSD	YP_889422.1	0	N/A		1 to 1	SSD	WP_009975471.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672986	RVBD_1147A	YP_006514521	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672987	RVBD_1148c	WP_003898743.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		4 to 1	RBB	YP_001701147	0	N/A		0	N/A		2 to 1	RBB	WP_009952406.1	0	N/A		0	N/A		3 to 2	RBB	YP_887000.1;YP_890785.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672988	RVBD_1151c	WP_003406044.1	NAD-dependent deacetylase	1 to 1	RBB	YP_005236979	1 to 1	SSD	WP_003878503.1	1 to 1	RBB	WP_001243244.1	1 to 1	RBB	NP_415638.2	1 to 1	SSD	NP_249816.1	1 to 1	SSD	YP_001704171	1 to 1	SSD	WP_003140568.1	1 to 1	RBB	NP_460191.1	1 to 1	SSD	WP_041787036.1	1 to 1	SSD	YP_001084560	1 to 1	SSD	WP_012395867.1	1 to 1	RBB	YP_889421.1	1 to 1	RBB	YP_002386610	1 to 1	SSD	WP_019731812.1	1 to 1	SSD	WP_004179333.1	1 to 1	RBB	YP_001576063	1 to 1	RBB	YP_500924.1	1 to 1	SSD	WP_000164251.1	1 to 1	RBB	WP_002297083.1
397672989	RVBD_1152	WP_003406047.1	transcriptional regulator	1 to 2	RBB	YP_005238522;YP_005238899	1 to 1	SSD	WP_003878502.1	1 to 1	RBB	WP_000691584.1	0	N/A		1 to 2	RBB	NP_250790.1;NP_254118.1	1 to 2	RBB	YP_001700950;YP_001704311	0	N/A		1 to 2	RBB	NP_461371.1;NP_461729.1	1 to 1	SSD	WP_008254464.1	0	N/A		1 to 1	SSD	WP_012395866.1	1 to 1	SSD	YP_889420.1	0	N/A		1 to 1	SSD	WP_009975474.1	3 to 1	RBB	WP_014907944.1;WP_004149442.1;WP_014906828.1	1 to 1	RBB	YP_001575818	1 to 1	RBB	YP_500645.1	1 to 2	RBB	WP_001257162.1;WP_001985633.1	0	N/A	
397672990	RVBD_1153c	WP_003898744.1	methyltransferase	0	N/A		1 to 1	RBB	WP_003874807.1	0	N/A		0	N/A		1 to 1	RBB	NP_250551.1	1 to 2	RBB	YP_001701420;YP_001702034	1 to 1	RBB	WP_003132742.1	0	N/A		1 to 3	RBB	WP_009952386.1;WP_009955512.1;WP_014381487.1	0	N/A		1 to 1	SSD	WP_012395865.1	1 to 1	SSD	YP_889419.1	0	N/A		1 to 2	RBB	WP_011725186.1;WP_011725838.1	0	N/A		1 to 1	RBB	YP_001575893	1 to 1	RBB	YP_500728.1	0	N/A		0	N/A	
397672991	RVBD_1154c	WP_031682434.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003875443.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001702035	0	N/A		0	N/A		1 to 1	SSD	WP_036458337.1	0	N/A		1 to 1	SSD	WP_012395864.1	1 to 1	SSD	YP_889418.1	0	N/A		1 to 1	SSD	WP_003875443.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672992	RVBD_1155	WP_003898745.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003875444.1	0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_001703330	0	N/A		0	N/A		1 to 1	SSD	WP_008254475.1	0	N/A		1 to 1	SSD	WP_012395863.1	1 to 1	RBB	YP_889416.1	0	N/A		1 to 1	SSD	WP_003875444.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672993	RVBD_1155A	YP_006514528	hypothetical protein	0	N/A		1 to 1	SSD	WP_003875445.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	YP_001702038	0	N/A		0	N/A		1 to 1	SSD	WP_009954636.1	0	N/A		1 to 1	Non-SSD	WP_011739232.1	1 to 1	RBB	YP_889415.1	0	N/A		1 to 1	SSD	WP_011724054.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672994	RVBD_1156	WP_003406064.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003875446.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001702044	0	N/A		0	N/A		1 to 1	SSD	WP_014379417.1	0	N/A		1 to 1	SSD	WP_012395862.1	1 to 1	SSD	YP_889402.1	0	N/A		1 to 1	SSD	WP_003875446.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672995	RVBD_1156A	YP_006514530	hypothetical protein	0	N/A		1 to 1	SSD	NP_961561.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_005336742	0	N/A		1 to 1	SSD	YP_001852556	1 to 1	Borderline-SSD	YP_889400.1	0	N/A		1 to 1	SSD	YP_880540.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672996	RVBD_1157c	WP_003406066.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_010949674.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_014379418.1	0	N/A		1 to 1	SSD	WP_012395861.1	1 to 1	SSD	YP_889399.1	0	N/A		1 to 1	SSD	WP_011724055.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672997	RVBD_1158c	WP_003406075.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_003875450.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012395860.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672998	RVBD_1159	WP_003900282.1	"alpha-1,2-mannosyltransferase"	0	N/A		1 to 1	SSD	WP_003878499.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001702046	0	N/A		0	N/A		1 to 1	Borderline-SSD	WP_009952357.1	0	N/A		1 to 1	SSD	WP_012395859.1	1 to 1	SSD	YP_889396.1	0	N/A		1 to 1	Borderline-SSD	WP_024637215.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672999	RVBD_1159A	WP_003406082.1	4a-hydroxytetrahydrobiopterin dehydratase	0	N/A		1 to 1	Non-SSD	WP_003875452.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001702049	0	N/A		0	N/A		1 to 1	Non-SSD	WP_009952356.1	0	N/A		1 to 1	Borderline-SSD	WP_041324891.1	1 to 1	SSD	YP_889395.1	0	N/A		1 to 1	Non-SSD	WP_011724058.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673000	RVBD_1160	WP_003406084.1	mutator mutT protein	0	N/A		1 to 1	SSD	WP_003878498.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001702050	0	N/A		0	N/A		1 to 1	SSD	WP_009952355.1	0	N/A		1 to 1	SSD	WP_012395857.1	1 to 1	SSD	YP_889394.1	0	N/A		1 to 1	SSD	WP_009975494.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673001	RVBD_1161	WP_003898748.1	nitrate reductase subunit alpha	1 to 2	RBB	YP_005237472;YP_005237691	1 to 1	SSD	WP_010949671.1	1 to 1	RBB	WP_000514408.1	1 to 2	RBB	NP_415742.1;NP_415985.1	1 to 1	RBB	NP_252564.1	0	N/A		1 to 1	RBB	WP_003092960.1	1 to 2	RBB	NP_460536.1;NP_460720.1	1 to 1	SSD	WP_009952353.1	0	N/A		1 to 1	RBB	WP_041325553.1	1 to 1	Borderline-SSD	YP_889386.1	1 to 2	RBB	YP_002386693;YP_002386908	1 to 1	SSD	WP_011724062.1	2 to 1	SSD	WP_014907521.1;WP_014907382.1	1 to 1	RBB	YP_001576248	1 to 1	RBB	YP_501143.1	0	N/A		0	N/A	
397673002	RVBD_1162	WP_003406090.1	nitrate reductase subunit beta	1 to 2	RBB	YP_005237473;YP_005237690	1 to 1	SSD	WP_003875456.1	1 to 1	RBB	WP_000692648.1	1 to 2	RBB	NP_415743.1;NP_415984.1	1 to 1	RBB	NP_252563.1	0	N/A		1 to 1	RBB	WP_003092958.1	1 to 2	RBB	NP_460537.1;NP_460719.1	1 to 1	SSD	WP_014379423.1	0	N/A		1 to 1	Non-SSD	WP_012396710.1	1 to 1	Borderline-SSD	YP_889385.1	1 to 2	RBB	YP_002386694;YP_002386907	1 to 1	SSD	WP_011724063.1	2 to 1	RBB	WP_004148517.1;WP_002910193.1	1 to 1	RBB	YP_001576247	1 to 1	RBB	YP_501142.1	0	N/A		0	N/A	
397673003	RVBD_1163	WP_003911426.1	nitrate reductase molybdenum cofactor assembly chaperone	1 to 2	RBB	YP_005237474;YP_005237689	1 to 1	SSD	WP_019305597.1	1 to 1	RBB	WP_000606768.1	1 to 1	RBB	NP_415744.1	0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_460538.1;NP_460718.1	1 to 1	SSD	WP_014379424.1	0	N/A		0	N/A		1 to 1	SSD	YP_889384.1	1 to 1	RBB	YP_002386695	1 to 1	SSD	WP_009975497.1	1 to 1	RBB	WP_004180106.1	1 to 1	RBB	YP_001576246	1 to 1	RBB	YP_501141.1	0	N/A		0	N/A	
397673004	RVBD_1164	WP_003406095.1	respiratory nitrate reductase subunit gamma	1 to 1	RBB	YP_005237475	1 to 1	Borderline-SSD	WP_003875458.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_460539.1	1 to 1	Non-SSD	WP_008254506.1	0	N/A		0	N/A		1 to 1	RBB	YP_889383.1	0	N/A		1 to 1	Non-SSD	WP_003875458.1	2 to 1	RBB	WP_002910189.1;WP_004180107.1	0	N/A		0	N/A		0	N/A		0	N/A	
397673005	RVBD_1165	WP_003406099.1	GTP-binding protein TypA/BipA	1 to 1	RBB	YP_005240275	1 to 1	Non-SSD	WP_003878495.1	1 to 1	RBB	WP_000182654.1	1 to 1	RBB	YP_026274.1	1 to 1	RBB	NP_253804.1	1 to 1	SSD	YP_001702052	1 to 1	RBB	WP_003096009.1	1 to 1	RBB	NP_462889.1	1 to 1	Non-SSD	WP_014379425.1	1 to 1	RBB	YP_001085843	1 to 1	Borderline-SSD	WP_012395856.1	1 to 1	SSD	YP_889378.1	1 to 1	RBB	YP_002389345	1 to 1	Non-SSD	WP_009975500.1	1 to 1	RBB	WP_002882755.1	1 to 1	RBB	YP_001574946	1 to 1	RBB	YP_499605.1	1 to 1	RBB	WP_001280092.1	1 to 1	RBB	WP_002288735.1
397673006	RVBD_1166	WP_003406102.1	lipoprotein LpqW	0	N/A		1 to 1	SSD	WP_010949668.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001702057	0	N/A		0	N/A		1 to 1	SSD	WP_041784832.1	0	N/A		1 to 1	SSD	WP_036451057.1	1 to 1	SSD	YP_889376.1	0	N/A		1 to 1	SSD	WP_011724064.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673007	RVBD_1167c	WP_003406104.1	transcriptional regulator	0	N/A		1 to 1	RBB	WP_003875461.1	0	N/A		0	N/A		0	N/A		1 to 1	Non-SSD	YP_001702758	0	N/A		0	N/A		1 to 1	SSD	WP_014379427.1	0	N/A		1 to 1	SSD	WP_012395853.1	1 to 1	RBB	YP_887444.1	0	N/A		1 to 1	RBB	WP_009975502.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673008	RVBD_1168c	WP_003898751.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673009	RVBD_1169c	WP_003898752.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673010	RVBD_1170	WP_003406154.1	1D-myo-inositol 2-acetamido-2-deoxy-alpha-D-glucopyranoside deacetylase	0	N/A		1 to 1	SSD	WP_003875462.1	0	N/A		0	N/A		0	N/A		1 to 1	Borderline-SSD	YP_001702058	0	N/A		0	N/A		1 to 1	SSD	WP_009952347.1	0	N/A		1 to 1	SSD	WP_012395852.1	1 to 1	SSD	YP_889375.1	0	N/A		1 to 1	SSD	WP_009975503.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673011	RVBD_1170A	YP_006514546	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673012	RVBD_1171	WP_003406163.1	hypothetical protein	0	N/A		1 to 1	SSD	WP_003875463.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001702059	0	N/A		0	N/A		1 to 1	RBB	WP_008254516.1	0	N/A		1 to 1	SSD	WP_036426345.1	1 to 1	SSD	YP_889374.1	0	N/A		1 to 1	SSD	WP_003875463.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673013	RVBD_1172c	WP_003898753.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001703413	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012395850.1	1 to 1	RBB	YP_889373.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673014	RVBD_1173	WP_003406167.1	FO synthase	0	N/A		1 to 1	SSD	WP_010949665.1	0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001702061	0	N/A		0	N/A		1 to 1	SSD	WP_014379429.1	0	N/A		1 to 1	SSD	WP_012395849.1	1 to 1	SSD	YP_889372.1	0	N/A		1 to 1	SSD	WP_011724066.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673015	RVBD_1174c	WP_003406169.1	T-cell antigen	0	N/A		1 to 1	RBB	WP_003875466.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001705424	0	N/A		0	N/A		1 to 1	SSD	WP_008254522.1	0	N/A		1 to 1	RBB	WP_012395847.1	1 to 1	SSD	YP_889060.1	0	N/A		1 to 1	RBB	WP_003875466.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673016	RVBD_1175c	WP_003911416.1	"2,4-dienoyl-CoA reductase"	1 to 1	SSD	YP_005239396	0	N/A		1 to 2	RBB	WP_000286459.1;WP_000838029.1	1 to 1	RBB	NP_417552.1	1 to 1	RBB	NP_251782.1	1 to 1	Borderline-SSD	YP_001702067	1 to 2	RBB	WP_003091351.1;WP_004365411.1	1 to 1	RBB	NP_462133.1	0	N/A		1 to 1	RBB	YP_001084103	1 to 1	RBB	WP_012395846.1	1 to 1	SSD	YP_889370.1	1 to 1	RBB	YP_002388563	0	N/A		1 to 1	RBB	WP_004185776.1	1 to 2	RBB	YP_001574251;YP_001574815	1 to 2	RBB	YP_498892.1;YP_499446.1	1 to 1	RBB	WP_000205086.1	1 to 1	RBB	WP_002294672.1
