Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Streptococcus pneumoniae D39 - ortholog count (reference : comparison)	Streptococcus pneumoniae D39 - ortholuge status	Streptococcus pneumoniae D39 - ortholog NCBI RefSeq accession	Staphylococcus aureus subsp. aureus str. Newman - ortholog count (reference : comparison)	Staphylococcus aureus subsp. aureus str. Newman - ortholuge status	Staphylococcus aureus subsp. aureus str. Newman - ortholog NCBI RefSeq accession	Bacillus subtilis subsp. subtilis str. 168 - ortholog count (reference : comparison)	Bacillus subtilis subsp. subtilis str. 168 - ortholuge status	Bacillus subtilis subsp. subtilis str. 168 - ortholog NCBI RefSeq accession
16128840	b0872	NP_415393.1	HCP oxidoreductase, NADH-dependent	0	N/A		0	N/A		0	N/A	
90111180	b0873	NP_415394.4	hybrid-cluster [4Fe-2S-2O] protein in anaerobic terminal reductases	0	N/A		0	N/A		0	N/A	
90111181	b0874	NP_415395.2	predicted transporter	0	N/A		0	N/A		0	N/A	
16128843	b0875	NP_415396.1	aquaporin Z	1 to 1	RBB	YP_817022.1	0	N/A		0	N/A	
16128844	b0876	NP_415397.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		0	N/A		0	N/A	
16128845	b0877	NP_415398.1	conserved protein	0	N/A		0	N/A		0	N/A	
90111182	b0878	NP_415399.4	macrolide transporter subunit, membrane fusion protein (MFP) component	0	N/A		0	N/A		0	N/A	
16128847	b0879	NP_415400.1	fused macrolide transporter subunits of ABC superfamily: ATP-binding component/membrane component	1 to 1	RBB	YP_816181.1	1 to 2	RBB	WP_000154162.1	1 to 2	RBB	NP_389319.1;NP_391208.2
16128848	b0880	NP_415401.1	inhibitor of DNA replication, cold shock protein homolog	0	N/A		0	N/A		0	N/A	
16128849	b0881	NP_415402.1	regulatory protein for ClpA substrate specificity	0	N/A		0	N/A		0	N/A	
16128850	b0882	NP_415403.1	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity	1 to 1	RBB	YP_817407.1	0	N/A		0	N/A	
16128851	b0884	NP_415404.1	translation initiation factor IF-1	1 to 1	Borderline-SSD	YP_815734.1	1 to 1	RBB	WP_001118443.1	1 to 1	SSD	NP_388020.1
16128852	b0885	NP_415405.1	leucyl/phenylalanyl-tRNA-protein transferase	0	N/A		0	N/A		0	N/A	
16128853	b0886	NP_415406.1	fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component	0	N/A		1 to 1	RBB	WP_000857602.1	1 to 1	RBB	NP_391752.1
16128854	b0887	NP_415407.1	fused glutathione, cysteine exporter subunits of ABC superfamily: membrane component/ATP-binding component	0	N/A		1 to 1	RBB	WP_000737143.1	1 to 1	RBB	NP_391753.1
16128855	b0888	NP_415408.1	thioredoxin reductase, FAD/NAD(P)-binding	1 to 1	RBB	YP_816753.1	1 to 1	RBB	WP_000134963.1	1 to 1	Borderline-SSD	NP_391359.1
16128856	b0889	NP_415409.1	DNA-binding transcriptional dual regulator, leucine-binding	0	N/A		0	N/A		1 to 1	RBB	NP_390549.1
16128857	b0890	NP_415410.1	DNA translocase at septal ring sorting daughter chromsomes	1 to 1	RBB	YP_816259.1	2 to 1	RBB	WP_000035767.1;WP_000118293.1	1 to 2	SSD	NP_389562.2;NP_390859.2
145698236	b0891	NP_415411.2	chaperone for lipoproteins	0	N/A		0	N/A		0	N/A	
16128859	b0892	NP_415412.1	recombination protein involved in processing recombnation intermediates at replication forks	1 to 1	Borderline-SSD	YP_817033.1	1 to 1	RBB	WP_000102735.1	1 to 1	SSD	NP_390631.1
16128860	b0893	NP_415413.1	seryl-tRNA synthetase, also charges selenocysteinyl-tRNA with serine	1 to 1	SSD	YP_815885.1	1 to 1	SSD	WP_000884334.1	1 to 1	SSD	NP_387894.1
90111183	b0894	NP_415414.4	dimethyl sulfoxide reductase, anaerobic, subunit A	0	N/A		0	N/A		5 to 1	RBB	NP_389739.2
16128862	b0895	NP_415415.1	dimethyl sulfoxide reductase, anaerobic, subunit B	0	N/A		0	N/A		0	N/A	
16128863	b0896	NP_415416.1	dimethyl sulfoxide reductase, anaerobic, subunit C	0	N/A		0	N/A		0	N/A	
16128864	b0897	NP_415417.1	predicted hydrolase, isochorismatase family	0	N/A		0	N/A		0	N/A	
16128865	b0898	NP_415418.1	predicted MFS-type transporter	0	N/A		0	N/A		1 to 1	RBB	NP_388672.1
90111184	b0899	NP_415419.2	predicted transporter	0	N/A		0	N/A		0	N/A	
16128867	b0900	NP_415420.1	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A	
16128868	b0901	NP_415421.1	conserved protein	0	N/A		1 to 1	RBB	WP_001549990.1	0	N/A	
16128869	b0902	NP_415422.1	pyruvate formate lyase activating enzyme 1	1 to 1	RBB	YP_817196.1	1 to 1	RBB	WP_000911657.1	0	N/A	
16128870	b0903	NP_415423.1	pyruvate formate lyase I	1 to 2	RBB	YP_815928.1	1 to 2	RBB	WP_000894660.1	0	N/A	
16128871	b0904	NP_415424.1	formate channel	0	N/A		2 to 2	RBB	WP_000659770.1;WP_000572040.1	2 to 1	RBB	NP_390598.1
90111185	b0905	NP_415425.4	conserved protein	0	N/A		0	N/A		0	N/A	
16128873	b0906	NP_415426.1	inner membrane protein, UPF0702 family	1 to 1	RBB	YP_817075.1	0	N/A		1 to 3	RBB	NP_388434.1;NP_388435.1;NP_389189.1
16128874	b0907	NP_415427.1	3-phosphoserine/phosphohydroxythreonine aminotransferase	0	N/A		0	N/A		1 to 1	SSD	NP_388883.1
16128875	b0908	NP_415428.1	5-enolpyruvylshikimate-3-phosphate synthetase	1 to 1	SSD	YP_816672.1	1 to 1	SSD	WP_000245895.1	1 to 1	Borderline-SSD	NP_390141.1
90111186	b0909	NP_415429.2	predicted peptidase with chaperone function	0	N/A		0	N/A		0	N/A	
16128877	b0910	NP_415430.1	cytidylate kinase	1 to 1	SSD	YP_816885.1	1 to 1	RBB	WP_000644391.1	1 to 1	SSD	NP_390170.1
16128878	b0911	NP_415431.1	30S ribosomal subunit protein S1	1 to 1	RBB	YP_816245.1	1 to 1	RBB	WP_000133954.1	1 to 1	RBB	NP_390169.1
16128879	b0912	NP_415432.1	integration host factor (IHF), DNA-binding protein, beta subunit	0	N/A		0	N/A		0	N/A	
90111187	b0913	NP_415433.4	inner membrane protein, ComEC family of competence proteins	1 to 1	RBB	YP_816326.1	1 to 1	SSD	WP_001566051.1	1 to 1	RBB	NP_390435.1
16128881	b0914	NP_415434.1	fused lipid transporter subunits of ABC superfamily: membrane component/ATP-binding component	2 to 1	SSD	YP_816658.1;YP_817289.1	1 to 1	SSD	WP_000597238.1	1 to 5	RBB	NP_388703.1;NP_388749.1;NP_389315.1;NP_389316.1;NP_391604.1
16128882	b0915	NP_415435.1	lipid A 4'kinase	0	N/A		0	N/A		0	N/A	
16128883	b0916	NP_415436.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128884	b0917	NP_415437.1	conserved protein, UPF0434 family	0	N/A		0	N/A		0	N/A	
16128885	b0918	NP_415438.1	3-deoxy-manno-octulosonate cytidylyltransferase	0	N/A		0	N/A		0	N/A	
16128886	b0919	NP_415439.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128887	b0920	NP_415440.1	conserved protein, DUF218 superfamily	0	N/A		0	N/A		0	N/A	
16128888	b0921	NP_415441.1	predicted S-adenosyl-L-methionine-dependent methyltransferase	0	N/A		0	N/A		0	N/A	
16128889	b0922	NP_415442.1	chromosome condensin MukBEF, kleisin-like subunit, binds calcium	0	N/A		0	N/A		0	N/A	
226524705	b0923	NP_415443.2	chromosome condensin MukBEF, MukE subunit	0	N/A		0	N/A		0	N/A	
16128891	b0924	NP_415444.1	chromosome condensin MukBEF, ATPase and DNA-binding subunit	0	N/A		0	N/A		0	N/A	
16128892	b0925	NP_415445.1	murein L,D-transpeptidase	0	N/A		0	N/A		0	N/A	
16128893	b0926	NP_415446.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128894	b0927	NP_415447.1	predicted metal-binding enzyme	1 to 1	Borderline-SSD	YP_816915.1	1 to 1	SSD	WP_001223008.1	1 to 1	RBB	NP_390359.1
16128895	b0928	NP_415448.1	aspartate aminotransferase, PLP-dependent	0	N/A		1 to 2	RBB	WP_001068542.1	0	N/A	
16128896	b0929	NP_415449.1	outer membrane porin 1a (Ia;b;F)	0	N/A		0	N/A		0	N/A	
16128897	b0930	NP_415450.1	asparaginyl tRNA synthetase	1 to 1	RBB	YP_816831.1	1 to 1	SSD	WP_000858789.1	1 to 1	Non-SSD	NP_390117.1
16128898	b0931	NP_415451.1	nicotinate phosphoribosyltransferase	1 to 1	Non-SSD	YP_816718.1	0	N/A		1 to 1	RBB	NP_391053.1
16128899	b0932	NP_415452.1	aminopeptidase N	1 to 1	RBB	YP_816194.1	0	N/A		0	N/A	
16128900	b0933	NP_415453.1	alkanesulfonate transporter subunit	0	N/A		1 to 1	RBB	WP_000590849.1	0	N/A	
90111188	b0934	NP_415454.4	putative alkanesulfonate transporter subunit	1 to 2	RBB	YP_817411.1	1 to 2	RBB	WP_000197958.1	1 to 1	RBB	NP_388765.1
16128902	b0935	NP_415455.1	alkanesulfonate monooxygenase, FMNH(2)-dependent	0	N/A		0	N/A		1 to 1	RBB	NP_388766.2
90111189	b0936	NP_415456.4	putative aliphatic sulfonate binding protein	0	N/A		0	N/A		1 to 1	RBB	NP_388764.1
16128904	b0937	NP_415457.1	NAD(P)H-dependent FMN reductase	0	N/A		1 to 1	RBB	WP_001028431.1	0	N/A	
90111190	b0938	NP_415458.2	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16128906	b0939	NP_415459.1	predicted periplasmic pilin chaperone	0	N/A		0	N/A		0	N/A	
16128907	b0940	NP_415460.1	predicted outer membrane usher protein	0	N/A		0	N/A		0	N/A	
16128908	b0941	NP_415461.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
16128909	b0942	NP_415462.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
90111191	b0943	NP_415463.2	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A	
90111192	b0944	NP_415464.4	predicted periplasmic pilini chaperone	0	N/A		0	N/A		0	N/A	
16128912	b0945	NP_415465.1	dihydro-orotate oxidase, FMN-linked	0	N/A		1 to 1	RBB	WP_000277415.1	0	N/A	
90111193	b0946	NP_415466.4	predicted protein	0	N/A		0	N/A		0	N/A	
16128914	b0947	NP_415467.1	predicted 2Fe-2S cluster-containing protein; 6-N-hydroxylaminopurine resistance protein	0	N/A		0	N/A		0	N/A	
16128915	b0948	NP_415468.1	23S rRNA mG2445 methyltransferase, SAM-dependent	1 to 1	RBB	YP_815854.1	1 to 1	RBB	WP_000487150.1	1 to 1	RBB	NP_390099.1
16128916	b0949	NP_415469.1	fused predicted transporter subunits of ABC superfamily: ATP-binding components	0	N/A		0	N/A		1 to 1	RBB	NP_388618.1
16128917	b0950	NP_415470.1	paraquat-inducible membrane protein A	0	N/A		0	N/A		0	N/A	
16128918	b0951	NP_415471.1	paraquat-inducible protein B	0	N/A		0	N/A		0	N/A	
145698237	b0952	NP_415472.2	conserved protein	0	N/A		0	N/A		0	N/A	
16128920	b0953	NP_415473.1	ribosome modulation factor	0	N/A		0	N/A		0	N/A	
16128921	b0954	NP_415474.1	beta-hydroxydecanoyl thioester dehydrase	0	N/A		0	N/A		0	N/A	
16128922	b0955	NP_415475.1	predicted peptidase	0	N/A		0	N/A		0	N/A	
16128923	b0956	NP_415476.1	Ter macrodomain organizer matS-binding protein	0	N/A		0	N/A		0	N/A	
16128924	b0957	NP_415477.1	outer membrane protein A (3a;II*;G;d)	0	N/A		0	N/A		0	N/A	
16128925	b0958	NP_415478.1	SOS cell division inhibitor	0	N/A		0	N/A		0	N/A	
16128926	b0959	NP_415479.1	required for expression of CRP-S-dependent promoters	0	N/A		0	N/A		0	N/A	
90111194	b0960	NP_415480.2	inner membrane protein	0	N/A		1 to 2	RBB	WP_000586392.1	0	N/A	
16128928	b0961	NP_415481.1	inner membrane protein, DUF307 family	0	N/A		0	N/A		0	N/A	
16128929	b0962	NP_415482.1	DNA helicase IV	0	N/A		0	N/A		0	N/A	
90111195	b0963	NP_415483.2	methylglyoxal synthase	0	N/A		0	N/A		1 to 1	RBB	NP_390129.1
16128931	b0964	NP_415484.1	conserved protein	0	N/A		0	N/A		0	N/A	
90111196	b0965	NP_415485.4	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain	1 to 1	RBB	YP_815463.1	0	N/A		1 to 1	SSD	NP_389690.1
145698238	b0966	NP_415486.4	heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein	0	N/A		0	N/A		0	N/A	
145698239	b0967	NP_415487.4	23S rRNA m(5)C1962 methyltransferase, SAM-dependent	1 to 1	RBB	YP_816679.1	1 to 1	RBB	WP_000685079.1	1 to 1	RBB	NP_391715.1
16128935	b0968	NP_415488.1	weak acylphosphatase	1 to 1	Non-SSD	YP_817194.1	1 to 1	RBB	WP_001215907.1	1 to 1	SSD	NP_388645.1
90111197	b0969	NP_415489.4	sulfurtransferase required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	0	N/A		0	N/A		0	N/A	
16128937	b0970	NP_415490.1	HflBKC-binding inner membrane protein, UPF0005 family	0	N/A		0	N/A		0	N/A	
16128938	b0972	NP_415491.1	hydrogenase 1, small subunit	0	N/A		0	N/A		0	N/A	
16128939	b0973	NP_415492.1	hydrogenase 1, large subunit	0	N/A		0	N/A		0	N/A	
16128940	b0974	NP_415493.1	hydrogenase 1, b-type cytochrome subunit	0	N/A		0	N/A		0	N/A	
16128941	b0975	NP_415494.1	protein involved in processing of HyaA and HyaB proteins	0	N/A		0	N/A		0	N/A	
16128942	b0976	NP_415495.1	protein involved in processing of HyaA and HyaB proteins	0	N/A		0	N/A		0	N/A	
16128943	b0977	NP_415496.1	protein involved in nickel incorporation into hydrogenase-1 proteins	0	N/A		0	N/A		0	N/A	
16128944	b0978	NP_415497.1	cytochrome bd-II oxidase, subunit I	0	N/A		1 to 2	RBB	WP_000381849.1	2 to 1	RBB	NP_391755.1
16128945	b0979	NP_415498.1	cytochrome bd-II oxidase, subunit II	0	N/A		0	N/A		2 to 1	RBB	NP_391754.1
16128946	b0980	NP_415500.1	phosphoanhydride phosphorylase	0	N/A		0	N/A		0	N/A	
16128947	b0981	NP_415501.1	cryptic autophosphorylating protein tyrosine kinase Etk	1 to 2	RBB	YP_815833.1	2 to 2	RBB	WP_000037332.1;WP_000185864.1	2 to 2	RBB	NP_391316.1;NP_391506.1
90111198	b0982	NP_415502.4	phosphotyrosine-protein phosphatase	1 to 2	RBB	YP_817244.1	1 to 2	RBB	WP_000228666.1	1 to 1	RBB	NP_388669.1
16128949	b0983	NP_415503.1	lipoprotein required for formation of the O-antigen capsule, predicted exopolysaccharide export protein	0	N/A		0	N/A		0	N/A	
16128950	b0984	NP_415504.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128951	b0985	NP_415505.1	conserved protein	0	N/A		0	N/A		0	N/A	
16128952	b0986	NP_415506.1	predicted outer membrane lipoprotein	0	N/A		0	N/A		0	N/A	
90111199	b0987	NP_415507.2	predicted protein	0	N/A		0	N/A		0	N/A	
16128954	b0988	NP_415508.1	IS1 transposase B	0	N/A		0	N/A		0	N/A	
16128955	b0989	NP_415509.1	stress protein, member of the CspA-family	0	N/A		0	N/A		0	N/A	
16128956	b0990	NP_415510.1	cold shock protein homolog, cold-inducible	0	N/A		2 to 5	RBB	WP_001059079.1;WP_001059082.1	4 to 2	RBB	NP_388393.1;NP_390076.1
16128957	b0991	NP_415511.1	cold shock gene	0	N/A		0	N/A		0	N/A	
16128958	b0992	NP_415512.1	predicted 4Fe-4S membrane protein	0	N/A		0	N/A		0	N/A	
90111200	b0993	NP_415513.2	hybrid sensory histidine kinase in two-component regulatory system with TorR	0	N/A		0	N/A		0	N/A	
16128960	b0994	NP_415514.1	periplasmic sensory protein associated with the TorRS two-component regulatory system	0	N/A		0	N/A		0	N/A	
16128961	b0995	NP_415515.1	DNA-binding response regulator in two-component regulatory system with TorS	0	N/A		0	N/A		0	N/A	
16128962	b0996	NP_415516.1	trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit	0	N/A		0	N/A		0	N/A	
16128963	b0997	NP_415517.1	trimethylamine N-oxide (TMAO) reductase I, catalytic subunit	0	N/A		0	N/A		0	N/A	
16128964	b0998	NP_415518.1	chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I	0	N/A		0	N/A		0	N/A	
16128965	b0999	NP_415519.1	modulator of CbpA co-chaperone	0	N/A		0	N/A		0	N/A	
16128966	b1000	NP_415520.1	curved DNA-binding protein, DnaJ homologue that functions as a co-chaperone of DnaK	0	N/A		0	N/A		0	N/A	
16128967	b1001	NP_415521.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128968	b1002	NP_415522.1	glucose-1-phosphatase/inositol phosphatase	0	N/A		0	N/A		0	N/A	
16128969	b1003	NP_415523.1	predicted protein	0	N/A		0	N/A		0	N/A	
16128970	b1004	NP_415524.1	NAD(P)H:quinone oxidoreductase	0	N/A		0	N/A		1 to 1	SSD	NP_388783.1
90111201	b1006	NP_415526.4	pyrimidine permease	0	N/A		0	N/A		0	N/A	
90111202	b1007	NP_415527.4	flavin:NADH reductase	0	N/A		0	N/A		0	N/A	
16128974	b1008	NP_415528.1	malonic semialdehyde reductase	1 to 1	RBB	YP_816042.1	0	N/A		0	N/A	
16128975	b1009	NP_415529.1	putative aminoacrylate hydrolase	0	N/A		0	N/A		0	N/A	
16128976	b1010	NP_415530.1	putative aminoacrylate peracid reductase	0	N/A		0	N/A		0	N/A	
90111203	b1011	NP_415531.2	ureidoacrylate amidohydrolase	0	N/A		0	N/A		0	N/A	
49176071	b1012	NP_415532.3	pyrimidine oxygenase, FMN-dependent	0	N/A		0	N/A		1 to 2	RBB	NP_390809.1;NP_391831.1
16128979	b1013	NP_415533.1	DNA-binding transcriptional repressor for rut operon	0	N/A		0	N/A		0	N/A	
16128980	b1014	NP_415534.1	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	0	N/A		1 to 1	RBB	WP_000259692.1	1 to 2	RBB	NP_388203.2;NP_391658.1
16128981	b1015	NP_415535.1	proline:sodium symporter	0	N/A		1 to 1	RBB	WP_000957010.1	1 to 2	RBB	NP_388204.2;NP_388548.1
16128982	b1018	NP_415537.1	inactive ferrous ion transporter EfeUOB	0	N/A		1 to 1	RBB	WP_000737196.1	1 to 1	RBB	NP_391706.1
16128983	b1019	NP_415538.1	deferrrochelatase, periplasmic	1 to 1	RBB	YP_816624.1	1 to 1	RBB	WP_000186217.1	1 to 1	RBB	NP_391705.1
16128984	b1020	NP_415539.1	conserved protein with nucleoside triphosphate hydrolase domain	0	N/A		0	N/A		0	N/A	
16128985	b1021	NP_415540.1	required for biofilm adhesin polysaccharide PGA synthesis	0	N/A		0	N/A		0	N/A	
16128986	b1022	NP_415541.1	predicted glycosyl transferase	0	N/A		1 to 1	RBB	WP_001159430.1	1 to 1	RBB	NP_388311.1
16128987	b1023	NP_415542.1	biofilm adhesin polysaccharide PGA export lipoprotein with a polysaccharide deacetylase activity needed for export	0	N/A		0	N/A		0	N/A	
16128988	b1024	NP_415543.1	biofilm adhesin polysaccharide PGA export, predicted OM protein	0	N/A		0	N/A		0	N/A	
16128989	b1025	NP_415544.1	diguanylate cyclase	0	N/A		0	N/A		0	N/A	
16128990	b1026	NP_415545.1	IS3 transposase B	1 to 6	RBB	YP_816351.1	0	N/A		0	N/A	
226524706	b1027	NP_415546.2	IS3 transposase A	0	N/A		0	N/A		0	N/A	
16128993	b1029	NP_415548.1	predicted inner membrane protein	0	N/A		0	N/A		0	N/A	
90111205	b1033	NP_415551.2	glyoxylate/hydroxypyruvate reductase A	0	N/A		0	N/A		0	N/A	
16128997	b1034	NP_415552.1	predicted zinc-binding hydrolase	0	N/A		0	N/A		0	N/A	
16128998	b1035	NP_415553.1	conserved protein, REMP family	0	N/A		0	N/A		0	N/A	
90111206	b1036	NP_415554.4	inner membrane protein, DUF1097 family	0	N/A		0	N/A		0	N/A	
16129000	b1037	NP_415555.1	Curli production assembly/transport outer membrane lipoprotein	0	N/A		0	N/A		0	N/A	
16129001	b1038	NP_415556.1	outer membrane protein involved in curlin assembly/transport	0	N/A		0	N/A		0	N/A	
16129002	b1039	NP_415557.1	curli production assembly/transport componen	0	N/A		0	N/A		0	N/A	
16129003	b1040	NP_415558.1	DNA-binding transcriptional activator for csgBA	0	N/A		0	N/A		0	N/A	
16129004	b1041	NP_415559.1	curlin nucleator protein, minor subunit in curli complex	0	N/A		0	N/A		0	N/A	
16129005	b1042	NP_415560.1	cryptic curlin major subunit	0	N/A		0	N/A		0	N/A	
16129006	b1043	NP_415561.1	curli assembly protein	0	N/A		0	N/A		0	N/A	
16129007	b1044	NP_415562.1	predicted protein	0	N/A		0	N/A		0	N/A	
16129008	b1045	NP_415563.1	RNase III inhibitor during cold shock, UPF0189 family	0	N/A		1 to 1	RBB	WP_000449061.1	0	N/A	
90111207	b1046	NP_415564.2	predicted hydrolase	0	N/A		0	N/A		0	N/A	
16129010	b1047	NP_415565.1	membrane protein required for succinylation of osmoregulated periplasmic glucans (OPGs)	0	N/A		0	N/A		0	N/A	
16129011	b1048	NP_415566.1	osmoregulated periplasmic glucan (OPG) biosynthesis periplasmic protein	0	N/A		0	N/A		0	N/A	
16129012	b1049	NP_415567.1	membrane glycosyltransferase	0	N/A		0	N/A		0	N/A	
16129013	b1050	NP_415568.1	lipoprotein, DUF1375 family	0	N/A		0	N/A		0	N/A	
90111208	b1051	NP_415569.4	multicopy suppressor of secY and secA	0	N/A		0	N/A		0	N/A	
16129016	b1053	NP_415571.1	predicted drug efflux system	1 to 1	RBB	YP_816342.1	1 to 1	RBB	WP_000610051.1	1 to 1	RBB	NP_391026.2
16129017	b1054	NP_415572.1	lauryl-acyl carrier protein (ACP)-dependent acyltransferase	0	N/A		0	N/A		0	N/A	
16129018	b1055	NP_415573.1	predicted rhodanese-related sulfurtransferase	1 to 1	RBB	YP_815571.1	1 to 1	RBB	WP_001109273.1	1 to 1	SSD	NP_388115.1
16129019	b1056	NP_415574.1	secreted protein	0	N/A		1 to 1	RBB	WP_000181129.1	0	N/A	
16129020	b1057	NP_415575.1	predicted cytochrome b561	0	N/A		0	N/A		0	N/A	
16129021	b1058	NP_415576.1	predicted protein	0	N/A		0	N/A		0	N/A	
16129022	b1059	NP_415577.1	N-methyltryptophan oxidase, FAD-binding	0	N/A		0	N/A		0	N/A	
49176074	b1060	NP_415578.3	biofilm regulator	0	N/A		0	N/A		0	N/A	
16129024	b1061	NP_415579.1	DNA damage-inducible protein I	0	N/A		0	N/A		0	N/A	
16129025	b1062	NP_415580.1	dihydro-orotase	0	N/A		0	N/A		0	N/A	
16129026	b1063	NP_415581.1	lipoprotein, DUF1439 family	0	N/A		0	N/A		0	N/A	
16129027	b1064	NP_415582.1	glutaredoxin 2 (Grx2)	0	N/A		0	N/A		0	N/A	
90111209	b1065	NP_415583.4	multidrug resistance efflux transporter conferring overexpression resistance to norfloxacin and enoxacin	0	N/A		0	N/A		0	N/A	
16129029	b1066	NP_415584.1	ribosomal-protein-S5-alanine N-acetyltransferase	1 to 1	RBB	YP_816716.1	0	N/A		1 to 1	RBB	NP_389071.1
16129030	b1067	NP_415585.1	conserved protein, UPF0502 family	0	N/A		0	N/A		0	N/A	
16129031	b1068	NP_415586.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		0	N/A	
16129032	b1069	NP_415587.1	probable peptidoglycan lipid II flippase required for murein synthesis	0	N/A		0	N/A		1 to 1	RBB	NP_390883.1
16129033	b1070	NP_415588.1	export chaperone for FlgK and FlgL	0	N/A		0	N/A		0	N/A	
16129034	b1071	NP_415589.1	anti-sigma factor for FliA (sigma 28)	0	N/A		0	N/A		0	N/A	
16129035	b1072	NP_415590.1	assembly protein for flagellar basal-body periplasmic P ring	0	N/A		0	N/A		0	N/A	
16129036	b1073	NP_415591.1	flagellar component of cell-proximal portion of basal-body rod	0	N/A		0	N/A		1 to 1	RBB	NP_389500.1
16129037	b1074	NP_415592.1	flagellar component of cell-proximal portion of basal-body rod	0	N/A		0	N/A		1 to 1	SSD	NP_389501.1
16129038	b1075	NP_415593.1	flagellar hook assembly protein	0	N/A		0	N/A		1 to 1	SSD	NP_389510.1
16129039	b1076	NP_415594.1	flagellar hook protein	0	N/A		0	N/A		0	N/A	
16129040	b1077	NP_415595.1	flagellar component of cell-proximal portion of basal-body rod	0	N/A		0	N/A		0	N/A	
16129041	b1078	NP_415596.1	flagellar component of cell-distal portion of basal-body rod	0	N/A		0	N/A		1 to 1	SSD	NP_389511.2
16129042	b1079	NP_415597.1	flagellar protein of basal-body outer-membrane L ring	0	N/A		0	N/A		0	N/A	
49176076	b1080	NP_415598.3	predicted flagellar basal body protein	0	N/A		0	N/A		0	N/A	
16129044	b1081	NP_415599.1	muramidase	0	N/A		1 to 1	RBB	WP_001125611.1	1 to 1	RBB	NP_390990.1
16129045	b1082	NP_415600.1	flagellar hook-filament junction protein 1	0	N/A		0	N/A		1 to 1	SSD	NP_391421.1
16129046	b1083	NP_415601.1	flagellar hook-filament junction protein	0	N/A		0	N/A		1 to 1	RBB	NP_391420.1
16129047	b1084	NP_415602.1	fused ribonucleaseE: endoribonuclease/RNA-binding protein/RNA degradosome binding protein	0	N/A		0	N/A		0	N/A	
90111210	b1085	NP_415603.2	predicted protein	0	N/A		0	N/A		0	N/A	
16129049	b1086	NP_415604.1	23S rRNA pseudouridine synthase; specific to U955, U2504, and U2580	0	N/A		0	N/A		0	N/A	
90111211	b1087	NP_415605.2	Maf-like protein	0	N/A		0	N/A		0	N/A	
16129051	b1088	NP_415606.1	conserved protein, DUF177 family	0	N/A		0	N/A		0	N/A	
16129052	b1089	NP_415607.1	50S ribosomal subunit protein L32	1 to 1	RBB	YP_817351.1	0	N/A		0	N/A	
90111212	b1090	NP_415608.2	probable phosphate acyltransferase	1 to 1	RBB	YP_815473.1	1 to 1	RBB	WP_000239744.1	1 to 1	RBB	NP_389471.1
16129054	b1091	NP_415609.1	3-oxoacyl-[acyl-carrier-protein] synthase III	1 to 1	SSD	YP_815890.1	1 to 1	RBB	WP_001100525.1	1 to 1	SSD	NP_389015.1
16129055	b1092	NP_415610.1	malonyl-CoA-[acyl-carrier-protein] transacylase	1 to 1	RBB	YP_815893.1	1 to 1	RBB	WP_000047348.1	1 to 1	SSD	NP_389472.1
16129056	b1093	NP_415611.1	3-oxoacyl-[acyl-carrier-protein] reductase	1 to 1	SSD	YP_815894.1	1 to 1	RBB	WP_000167269.1	1 to 1	SSD	NP_389473.1
16129057	b1094	NP_415612.1	acyl carrier protein (ACP)	0	N/A		1 to 1	RBB	WP_000426914.1	1 to 1	SSD	NP_389474.1
16129058	b1095	NP_415613.1	3-oxoacyl-[acyl-carrier-protein] synthase II	1 to 1	SSD	YP_815895.1	1 to 1	RBB	WP_000081240.1	1 to 1	SSD	NP_389016.1
16129059	b1096	NP_415614.1	4-amino-4-deoxychorismate lyase component of para-aminobenzoate synthase multienzyme complex	0	N/A		0	N/A		1 to 1	RBB	NP_387957.1
16129060	b1097	NP_415615.1	predicted aminodeoxychorismate lyase	1 to 1	RBB	YP_816808.1	0	N/A		1 to 1	RBB	NP_390615.1
