Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession
397672257	RVBD_0463	WP_003402304.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672258	RVBD_0464c	WP_003402306.1	alkylhydroperoxidase AhpD family core domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672259	RVBD_0465c	WP_003898467.1	transcriptional regulator	0	N/A		0	N/A		2 to 1	RBB	NP_745012.1	2 to 1	RBB	WP_013972468.1	2 to 1	RBB	WP_003155522.1	1 to 1	RBB	WP_003093358.1	1 to 1	RBB	WP_003093358.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003093358.1	1 to 1	RBB	WP_012732555.1
397672260	RVBD_0466	WP_003402311.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672261	RVBD_0467	WP_003402316.1	isocitrate lyase	0	N/A		1 to 2	RBB	WP_014853248.1	1 to 1	RBB	NP_746235.1	1 to 1	RBB	WP_013973380.1	2 to 1	RBB	WP_003153232.1	2 to 1	RBB	WP_003090447.1	2 to 1	RBB	WP_003090447.1	1 to 1	RBB	WP_012018723.1	2 to 1	RBB	NP_273478.1	2 to 1	RBB	YP_208574.1	2 to 1	RBB	WP_003090447.1	1 to 1	SSD	WP_012732554.1
397672262	RVBD_0468	WP_003402318.1	3-hydroxybutyryl-CoA dehydrogenase	0	N/A		0	N/A		1 to 1	RBB	NP_745885.1	1 to 1	RBB	WP_013973109.1	1 to 1	RBB	WP_012074729.1	1 to 2	RBB	WP_003117498.1;WP_003160006.1	1 to 2	Borderline-SSD	WP_003138050.1;WP_003140132.1	0	N/A		0	N/A		0	N/A		1 to 2	Borderline-SSD	WP_014603706.1;WP_003092188.1	1 to 1	SSD	WP_041629437.1
397672263	RVBD_0469	WP_003900153.1	cyclopropane-fatty-acyl-phospholipid synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672265	RVBD_0470A	WP_003898470.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672264	RVBD_0470c	WP_003402323.1	cyclopropane mycolic acid synthase 3	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672266	RVBD_0471c	WP_003402327.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672267	RVBD_0472c	WP_003402330.1	TetR family transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672268	RVBD_0473	WP_003402332.1	hypothetical protein	0	N/A		1 to 1	RBB	WP_043942522.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041629637.1
397672269	RVBD_0474	WP_003402335.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		1 to 2	RBB	WP_013972148.1;WP_013972152.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012018880.1	1 to 1	RBB	NP_274042.1	0	N/A		0	N/A		0	N/A	
397672270	RVBD_0475	WP_003402339.1	heparin-binding hemagglutinin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672271	RVBD_0476	WP_003898474.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672272	RVBD_0477	WP_003402344.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012076093.1	1 to 1	RBB	WP_003105847.1	1 to 1	RBB	WP_003112111.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003112111.1	0	N/A	
397672273	RVBD_0478	WP_003402347.1	deoxyribose-phosphate aldolase	1 to 1	RBB	WP_014847737.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672274	RVBD_0479c	WP_003898475.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672275	RVBD_0480c	WP_003402350.1	hypothetical protein	1 to 1	SSD	WP_014847317.1	2 to 1	RBB	WP_043942509.1;WP_014853443.1	1 to 2	RBB	NP_743100.1;NP_746574.1	1 to 2	RBB	WP_013970571.1;WP_013971069.1	1 to 1	RBB	WP_003156636.1	1 to 1	RBB	WP_003112739.1	1 to 1	RBB	WP_003141315.1	1 to 1	RBB	WP_041772808.1	1 to 1	RBB	NP_273489.1	1 to 1	SSD	YP_208564.1	1 to 1	RBB	WP_003094382.1	1 to 1	SSD	WP_012730962.1
397672276	RVBD_0481c	WP_003402351.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672277	RVBD_0482	WP_003402354.1	UDP-N-acetylenolpyruvoylglucosamine reductase	1 to 1	Borderline-SSD	WP_014847295.1	1 to 1	RBB	WP_014853394.1	1 to 1	RBB	NP_744059.1	1 to 1	RBB	WP_044046919.1	1 to 1	SSD	WP_012075166.1	1 to 1	SSD	WP_003118084.1	1 to 1	SSD	WP_003119807.1	1 to 1	RBB	WP_012018153.1	1 to 1	RBB	NP_273853.1	1 to 1	RBB	YP_207550.1	1 to 1	SSD	WP_003091153.1	1 to 1	SSD	WP_012732530.1
397672278	RVBD_0483	WP_003912586.1	lipoprotein LprQ	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672279	RVBD_0484c	WP_003900154.1	oxidoreductase	1 to 1	SSD	WP_041696459.1	1 to 1	RBB	WP_014854614.1	1 to 2	RBB	NP_742654.1;NP_746967.1	1 to 2	RBB	WP_013970647.1;WP_013974408.1	1 to 1	SSD	WP_003150750.1	1 to 1	Borderline-SSD	WP_031627599.1	1 to 1	Borderline-SSD	WP_031627599.1	1 to 1	RBB	WP_017676237.1	1 to 1	RBB	NP_273964.1	1 to 1	RBB	YP_208158.1	1 to 1	Borderline-SSD	WP_003095557.1	1 to 1	SSD	WP_041629031.1
397672280	RVBD_0485	WP_003402361.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672281	RVBD_0486	WP_031647082.1	D-inositol-3-phosphate glycosyltransferase	1 to 1	RBB	WP_014847705.1	0	N/A		1 to 1	RBB	NP_747046.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_041629631.1
397672282	RVBD_0487	WP_003916672.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012732527.1
397672283	RVBD_0488	WP_003402377.1	L-lysine exporter	0	N/A		1 to 2	RBB	WP_014853753.1	2 to 1	RBB	NP_743077.1	2 to 1	RBB	WP_003258234.1	2 to 1	RBB	WP_003153861.1	2 to 1	RBB	WP_003094003.1	2 to 1	RBB	WP_003094003.1	2 to 1	RBB	WP_003246290.1	0	N/A		0	N/A		2 to 1	RBB	WP_003094003.1	0	N/A	
397672284	RVBD_0489	WP_003402379.1	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	1 to 1	RBB	WP_014845777.1	0	N/A		0	N/A		3 to 1	RBB	WP_013971383.1	0	N/A		3 to 1	RBB	WP_003133498.1	0	N/A		0	N/A		1 to 1	SSD	NP_274610.1	1 to 1	Borderline-SSD	YP_208329.1	3 to 1	RBB	WP_003086784.1	1 to 1	SSD	WP_012732526.1
397672285	RVBD_0490	WP_003913928.1	sensor-like histidine kinase senX3	1 to 1	RBB	WP_014845780.1	0	N/A		0	N/A		1 to 1	RBB	WP_044046864.1	1 to 1	SSD	WP_041025438.1	2 to 1	RBB	WP_017148679.1	2 to 1	SSD	WP_003136283.1	1 to 3	RBB	WP_012018427.1;WP_012019991.1;WP_012020088.1	0	N/A		0	N/A		2 to 1	SSD	WP_003121316.1	1 to 1	SSD	WP_012732525.1
397672286	RVBD_0491	WP_003402393.1	sensory transduction protein regX3	1 to 1	SSD	WP_014845781.1	0	N/A		1 to 1	RBB	NP_743341.1	1 to 1	RBB	WP_013970528.1	1 to 1	RBB	WP_012074043.1	1 to 1	RBB	WP_003113268.1	1 to 1	RBB	WP_004365157.1	1 to 1	RBB	WP_003242584.1	9 to 1	RBB	NP_273639.1	9 to 1	RBB	YP_207344.1	1 to 1	RBB	WP_003084734.1	1 to 1	SSD	WP_012732524.1
397672288	RVBD_0492A	WP_003402400.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672287	RVBD_0492c	WP_003908534.1	oxidoreductase	0	N/A		1 to 1	RBB	WP_014851186.1	1 to 1	RBB	NP_747223.1	1 to 1	RBB	WP_013974642.1	1 to 1	RBB	WP_003154458.1	1 to 1	RBB	WP_003102870.1	1 to 1	RBB	WP_003102870.1	1 to 1	RBB	WP_041772991.1	0	N/A		0	N/A		1 to 1	RBB	WP_003128925.1	0	N/A	
397672289	RVBD_0493c	WP_003911182.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672290	RVBD_0494	WP_003898483.1	GntR family transcriptional regulator	1 to 1	RBB	WP_041697951.1	2 to 1	RBB	WP_043942658.1;WP_014854339.1	2 to 1	RBB	NP_745875.1	1 to 1	RBB	WP_013973247.1	1 to 2	RBB	WP_003154433.1;WP_012077500.1	1 to 2	RBB	WP_003095221.1;WP_003115387.1	1 to 2	RBB	WP_003095221.1;WP_003142026.1	1 to 1	RBB	WP_011920511.1	2 to 1	RBB	NP_274714.1	2 to 1	RBB	YP_208420.1	1 to 2	RBB	WP_003095221.1;WP_003096643.1	0	N/A	
397672291	RVBD_0495c	WP_023637344.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012732523.1
561108329	RVBD_0496	WP_003402419.1	exopolyphosphatase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041628928.1
397672293	RVBD_0497	WP_003402426.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672294	RVBD_0498	WP_003402432.1	hypothetical protein	1 to 1	RBB	WP_041697067.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672295	RVBD_0499	WP_003402433.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672296	RVBD_0500	WP_003900159.1	pyrroline-5-carboxylate reductase	1 to 1	SSD	WP_014845561.1	1 to 1	RBB	WP_014851214.1	1 to 2	RBB	NP_745908.1;NP_747196.1	1 to 1	RBB	WP_013974618.1	1 to 1	SSD	WP_012073993.1	1 to 1	SSD	WP_003084546.1	1 to 1	SSD	WP_003084546.1	1 to 1	RBB	WP_012019967.1	1 to 1	SSD	NP_273120.1	1 to 1	SSD	YP_208931.1	1 to 1	SSD	WP_003084546.1	1 to 1	SSD	WP_041628926.1
397672297	RVBD_0500A	WP_003402437.1	excisionase family DNA binding domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_010378957.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012732517.1
397672298	RVBD_0500B	WP_003402602.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672299	RVBD_0501	WP_003402607.1	UDP-glucose 4-epimerase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_011920420.1	0	N/A		0	N/A		0	N/A		0	N/A	
397672300	RVBD_0502	WP_003898486.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672301	RVBD_0503c	WP_003402621.1	cyclopropane mycolic acid synthase 2	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672302	RVBD_0504c	WP_003402626.1	hypothetical protein	1 to 3	RBB	WP_014847297.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672303	RVBD_0505c	WP_003913584.1	HAD hydrolase, family IB	1 to 3	RBB	WP_041697493.1	1 to 2	RBB	WP_014854362.1	2 to 2	RBB	NP_743878.1;NP_747248.1	0	N/A		1 to 1	RBB	WP_012076690.1	1 to 1	RBB	WP_003082318.1	1 to 1	RBB	WP_003101837.1	2 to 2	RBB	WP_012017936.1;WP_012020013.1	2 to 1	RBB	NP_274108.1	2 to 1	RBB	YP_207959.1	1 to 1	RBB	WP_003086534.1	0	N/A	
397672304	RVBD_0506	WP_003900160.1	membrane protein mmpS2	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672305	RVBD_0507	WP_031682169.1	transmembrane transporter mmpL2	1 to 9	RBB	WP_041697351.1	0	N/A		5 to 1	RBB	NP_744169.1	6 to 1	RBB	WP_024086538.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		9 to 1	RBB	WP_041628986.1
397672306	RVBD_0508	WP_003402695.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_273795.1	1 to 1	RBB	YP_207489.1	0	N/A		1 to 1	RBB	WP_041628925.1
397672307	RVBD_0509	WP_003402699.1	glutamyl-tRNA reductase	1 to 1	SSD	WP_041697547.1	1 to 1	SSD	WP_014853802.1	1 to 1	RBB	NP_742893.1	1 to 1	RBB	WP_013970908.1	1 to 1	RBB	WP_012077387.1	1 to 1	RBB	WP_003095001.1	1 to 1	RBB	WP_003095001.1	1 to 1	RBB	WP_011921123.1	1 to 1	SSD	NP_273620.1	1 to 1	SSD	YP_208460.1	1 to 1	RBB	WP_003095001.1	1 to 1	SSD	WP_041629628.1
397672308	RVBD_0510	WP_003402702.1	porphobilinogen deaminase	2 to 1	SSD	WP_041697550.1;WP_041697546.1	1 to 1	SSD	WP_014851400.1	1 to 1	RBB	NP_742355.1	1 to 1	RBB	WP_013970383.1	1 to 1	RBB	WP_012077869.1	1 to 1	RBB	WP_003096396.1	1 to 1	RBB	WP_003141963.1	1 to 1	RBB	WP_011920568.1	1 to 1	SSD	NP_273584.1	1 to 1	SSD	YP_207316.1	1 to 1	RBB	WP_003096396.1	1 to 1	SSD	WP_012732513.1
397672309	RVBD_0511	WP_003900163.1	uroporphyrinogen III methyltransferase/synthase	1 to 1	RBB	WP_041697071.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012732512.1
397672310	RVBD_0512	WP_003914591.1	delta-aminolevulinic acid dehydratase	1 to 1	SSD	WP_014846808.1	1 to 1	SSD	WP_014851415.1	1 to 1	RBB	NP_745057.1	1 to 1	RBB	WP_013972900.1	1 to 1	RBB	WP_012077856.1	1 to 1	RBB	WP_003118043.1	1 to 1	RBB	WP_003096352.1	1 to 1	RBB	WP_011920583.1	1 to 1	SSD	NP_273843.1	1 to 1	SSD	YP_207541.1	1 to 1	RBB	WP_003096352.1	1 to 1	SSD	WP_041629627.1
397672311	RVBD_0513	WP_003402713.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672312	RVBD_0514	WP_003402715.1	transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672313	RVBD_0515	WP_003898492.1	hypothetical protein	1 to 4	RBB	WP_014845343.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672314	RVBD_0516c	WP_003402807.1	anti-anti-sigma factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672315	RVBD_0517	WP_003916685.1	membrane acyltransferase	0	N/A		0	N/A		1 to 1	RBB	NP_743937.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672316	RVBD_0518	WP_003402818.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672317	RVBD_0519c	WP_003402824.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672318	RVBD_0520	WP_003402827.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672319	RVBD_0521	WP_003898493.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672320	RVBD_0522	WP_003900165.1	GABA permease	1 to 1	RBB	WP_041697138.1	0	N/A		1 to 5	RBB	NP_742451.1;NP_744688.1;NP_745055.1;NP_746226.1;NP_746862.1	1 to 6	RBB	WP_013970487.1;WP_013972050.1;WP_013972215.1;WP_013972902.1;WP_013973373.1;WP_003258117.1	1 to 1	RBB	WP_011979170.1	1 to 1	RBB	WP_003117210.1	1 to 1	RBB	WP_003137015.1	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003083784.1	1 to 1	RBB	WP_012731282.1
397672321	RVBD_0523c	WP_003402842.1	deazaflavin-dependent nitroreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672322	RVBD_0524	WP_003402844.1	glutamate-1-semialdehyde 2,1-aminomutase	1 to 1	SSD	WP_014846807.1	1 to 1	SSD	WP_014851316.1	1 to 1	RBB	NP_746889.1	1 to 1	RBB	WP_013974339.1	1 to 1	RBB	WP_012074441.1	1 to 1	RBB	WP_003093150.1	1 to 1	RBB	WP_003132522.1	1 to 1	RBB	WP_012019703.1	1 to 1	SSD	NP_274860.1	1 to 1	SSD	YP_207220.1	1 to 1	RBB	WP_003093150.1	1 to 1	SSD	WP_041629624.1
397672323	RVBD_0525	WP_003402845.1	phosphoglycerate mutase	1 to 1	RBB	WP_014845563.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012732506.1
397672324	RVBD_0526	WP_003911234.1	thioredoxin	0	N/A		1 to 1	RBB	WP_043942535.1	1 to 1	RBB	NP_743803.1	0	N/A		1 to 1	RBB	WP_012076389.1	1 to 1	RBB	WP_003117795.1	1 to 1	RBB	WP_003083138.1	1 to 2	RBB	WP_012018998.1;WP_012019671.1	1 to 1	RBB	NP_273072.1	1 to 1	RBB	YP_208948.1	1 to 1	RBB	WP_003083138.1	1 to 1	SSD	WP_041629623.1
397672325	RVBD_0527	WP_003402847.1	cytochrome c-type biogenesis protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041628922.1
397672326	RVBD_0528	WP_003900949.1	cytochrome c biogenesis protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012732503.1
397672327	RVBD_0529	WP_003402849.1	cytochrome c-type biogenesis protein CcsB	1 to 1	SSD	WP_014846955.1	1 to 1	RBB	WP_014852088.1	1 to 1	RBB	NP_746437.1	1 to 2	RBB	WP_013973560.1;WP_013973858.1	1 to 1	RBB	WP_012076390.1	1 to 1	RBB	WP_003114291.1	1 to 1	RBB	WP_003107324.1	1 to 1	RBB	WP_012018999.1	1 to 1	RBB	NP_274800.1	1 to 1	RBB	YP_207276.1	1 to 1	RBB	WP_003087146.1	1 to 1	SSD	WP_012732502.1
397672328	RVBD_0530	WP_003898495.1	hypothetical protein	1 to 1	RBB	WP_041696846.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672329	RVBD_0531	WP_003402853.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672330	RVBD_0532	WP_011961613.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672331	RVBD_0533c	WP_003402861.1	3-oxoacyl-ACP synthase	1 to 1	SSD	WP_014846520.1	1 to 1	RBB	WP_014853530.1	1 to 1	RBB	NP_746493.1	1 to 1	RBB	WP_044047134.1	1 to 1	Borderline-SSD	WP_003148817.1	1 to 1	SSD	WP_003091712.1	1 to 1	SSD	WP_003091712.1	1 to 1	Borderline-SSD	WP_041773055.1	1 to 1	RBB	NP_274910.1	1 to 1	RBB	YP_209174.1	1 to 1	SSD	WP_003091712.1	0	N/A	
397672332	RVBD_0534c	WP_003402865.1	1,4-dihydroxy-2-naphthoate octaprenyltransferase	1 to 1	SSD	WP_041696654.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_041629620.1
397672333	RVBD_0535	WP_003402867.1	methylthioadenosine phosphorylase	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_012075151.1	1 to 1	RBB	WP_003118091.1	1 to 1	RBB	WP_003091193.1	1 to 1	RBB	WP_012018130.1	0	N/A		0	N/A		1 to 1	RBB	WP_003091193.1	0	N/A	
397672334	RVBD_0536	WP_003402868.1	UDP-glucose 4-epimerase	2 to 1	RBB	WP_014847914.1;WP_014847445.1	0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_003093339.1	0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	WP_003093339.1	0	N/A	
397672335	RVBD_0537c	WP_003402870.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672336	RVBD_0538	WP_003911223.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
561108331	RVBD_0539	WP_003898499.1	glycosyl transferase family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672338	RVBD_0540	WP_003402886.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672339	RVBD_0541c	WP_003402890.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397672340	RVBD_0542c	WP_031647088.1	O-succinylbenzoic acid--CoA ligase	1 to 1	RBB	WP_014847391.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_012732495.1
