Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Pseudomonas stutzeri DSM 10701 - ortholog count (reference : comparison)	Pseudomonas stutzeri DSM 10701 - ortholuge status	Pseudomonas stutzeri DSM 10701 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa DK2 - ortholog count (reference : comparison)	Pseudomonas aeruginosa DK2 - ortholuge status	Pseudomonas aeruginosa DK2 - ortholog NCBI RefSeq accession	Propionibacterium propionicum F0230a - ortholog count (reference : comparison)	Propionibacterium propionicum F0230a - ortholuge status	Propionibacterium propionicum F0230a - ortholog NCBI RefSeq accession	Pseudomonas putida S16 - ortholog count (reference : comparison)	Pseudomonas putida S16 - ortholuge status	Pseudomonas putida S16 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa NCGM2.S1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa NCGM2.S1 - ortholuge status	Pseudomonas aeruginosa NCGM2.S1 - ortholog NCBI RefSeq accession	Corynebacterium kroppenstedtii DSM 44385 - ortholog count (reference : comparison)	Corynebacterium kroppenstedtii DSM 44385 - ortholuge status	Corynebacterium kroppenstedtii DSM 44385 - ortholog NCBI RefSeq accession	Pseudomonas mendocina ymp - ortholog count (reference : comparison)	Pseudomonas mendocina ymp - ortholuge status	Pseudomonas mendocina ymp - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PA7 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PA7 - ortholuge status	Pseudomonas aeruginosa PA7 - ortholog NCBI RefSeq accession	Neisseria meningitidis MC58 - ortholog count (reference : comparison)	Neisseria meningitidis MC58 - ortholuge status	Neisseria meningitidis MC58 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Pseudomonas putida KT2440 - ortholog count (reference : comparison)	Pseudomonas putida KT2440 - ortholuge status	Pseudomonas putida KT2440 - ortholog NCBI RefSeq accession	Neisseria gonorrhoeae FA 1090 - ortholog count (reference : comparison)	Neisseria gonorrhoeae FA 1090 - ortholuge status	Neisseria gonorrhoeae FA 1090 - ortholog NCBI RefSeq accession
16128893	b0926	NP_415446.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128894	b0927	NP_415447.1	predicted metal-binding enzyme	0	N/A		1 to 1	RBB	WP_003085806.1	1 to 1	RBB	WP_014846662.1	1 to 1	RBB	WP_013970945.1	1 to 1	RBB	WP_003085806.1	1 to 1	RBB	WP_012731658.1	1 to 1	RBB	WP_012019601.1	1 to 1	RBB	WP_023443039.1	1 to 1	SSD	NP_275039.1	1 to 1	RBB	WP_003140862.1	1 to 1	RBB	NP_742933.1	1 to 1	SSD	YP_209053.1
16128895	b0928	NP_415448.1	aspartate aminotransferase, PLP-dependent	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_273585.1	0	N/A		0	N/A		1 to 1	RBB	YP_208506.1
16128896	b0929	NP_415449.1	outer membrane porin 1a (Ia;b;F)	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128897	b0930	NP_415450.1	asparaginyl tRNA synthetase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128898	b0931	NP_415451.1	nicotinate phosphoribosyltransferase	1 to 1	SSD	WP_014853749.1	2 to 1	RBB	WP_014834151.1;WP_003102657.1	0	N/A		2 to 1	RBB	WP_013973046.1;WP_013974413.1	2 to 1	RBB	WP_003095586.1;WP_003094025.1	0	N/A		1 to 1	SSD	WP_012017995.1	2 to 1	RBB	WP_003156305.1;WP_003156797.1	1 to 1	SSD	NP_274513.1	2 to 1	RBB	WP_003099996.1;WP_003102657.1	1 to 1	RBB	NP_746973.1	1 to 1	RBB	YP_208063.1
16128899	b0932	NP_415452.1	aminopeptidase N	1 to 1	SSD	WP_014853325.1	1 to 1	SSD	WP_003116455.1	1 to 1	RBB	WP_041696497.1	1 to 1	SSD	WP_013971628.1	1 to 1	SSD	WP_003091326.1	1 to 1	RBB	WP_012732005.1	1 to 1	SSD	WP_012019105.1	1 to 1	SSD	WP_012075084.1	1 to 1	SSD	NP_274428.1	1 to 1	SSD	WP_003138532.1	1 to 1	SSD	NP_744167.1	1 to 1	RBB	YP_207327.1
16128900	b0933	NP_415453.1	alkanesulfonate transporter subunit	1 to 1	RBB	WP_014854649.1	1 to 1	RBB	WP_003117544.1	0	N/A		1 to 1	RBB	WP_013970450.1	1 to 1	RBB	WP_003119579.1	0	N/A		1 to 1	RBB	WP_012020094.1	1 to 1	RBB	WP_003102311.1	0	N/A		1 to 1	RBB	WP_003117544.1	1 to 1	RBB	NP_742408.1	0	N/A	
90111188	b0934	NP_415454.4	putative alkanesulfonate transporter subunit	1 to 1	RBB	WP_014854648.1	1 to 1	RBB	WP_003117543.1	0	N/A		1 to 1	RBB	WP_013970449.1	1 to 1	RBB	WP_003091909.1	0	N/A		1 to 1	RBB	WP_012020095.1	1 to 1	RBB	WP_012074827.1	0	N/A		1 to 1	RBB	WP_003091909.1	1 to 1	RBB	NP_742407.1	0	N/A	
16128902	b0935	NP_415455.1	alkanesulfonate monooxygenase, FMNH(2)-dependent	1 to 1	RBB	WP_014854647.1	1 to 1	RBB	WP_003091910.1	1 to 2	RBB	WP_014847125.1	1 to 1	RBB	WP_013970448.1	1 to 1	RBB	WP_003091910.1	0	N/A		1 to 1	RBB	WP_012020096.1	1 to 1	RBB	WP_003091910.1	0	N/A		1 to 1	RBB	WP_003091910.1	1 to 1	RBB	NP_742406.1	0	N/A	
90111189	b0936	NP_415456.4	putative aliphatic sulfonate binding protein	1 to 1	RBB	WP_014854646.1	2 to 1	RBB	WP_003097598.1;WP_003117542.1	0	N/A		1 to 1	RBB	WP_023660886.1	2 to 1	RBB	WP_003090371.1;WP_003091913.1	0	N/A		2 to 1	RBB	WP_041772996.1;WP_012020097.1	1 to 1	RBB	WP_012074826.1	0	N/A		2 to 1	RBB	WP_003111308.1;WP_003138962.1	1 to 1	RBB	NP_742405.1	0	N/A	
16128904	b0937	NP_415457.1	NAD(P)H-dependent FMN reductase	1 to 1	RBB	WP_014854645.1	1 to 1	RBB	WP_003091915.1	0	N/A		1 to 1	RBB	WP_024087992.1	1 to 1	RBB	WP_003091915.1	1 to 1	RBB	WP_012732048.1	1 to 1	RBB	WP_012020098.1	1 to 1	RBB	WP_003157446.1	0	N/A		1 to 1	RBB	WP_003091915.1	1 to 1	RBB	NP_742404.1	0	N/A	
90111190	b0938	NP_415458.2	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128906	b0939	NP_415459.1	predicted periplasmic pilin chaperone	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128907	b0940	NP_415460.1	predicted outer membrane usher protein	0	N/A		1 to 4	RBB	WP_003123214.1	0	N/A		1 to 6	RBB	WP_044047225.1	1 to 4	RBB	WP_003086235.1	0	N/A		0	N/A		1 to 4	RBB	WP_012076805.1	0	N/A		1 to 4	RBB	WP_003134047.1	1 to 4	RBB	NP_744044.1	0	N/A	
16128908	b0941	NP_415461.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128909	b0942	NP_415462.1	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		1 to 5	RBB	WP_013971549.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111191	b0943	NP_415463.2	predicted fimbrial-like adhesin protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111192	b0944	NP_415464.4	predicted periplasmic pilini chaperone	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128912	b0945	NP_415465.1	dihydro-orotate oxidase, FMN-linked	1 to 1	SSD	WP_014852567.1	1 to 1	SSD	WP_003116466.1	1 to 1	RBB	WP_041697483.1	1 to 1	SSD	WP_013971675.1	1 to 1	SSD	WP_003091275.1	1 to 1	RBB	WP_041629291.1	1 to 1	SSD	WP_012019159.1	1 to 1	SSD	WP_003152051.1	1 to 1	SSD	NP_273278.1	1 to 1	SSD	WP_003138558.1	1 to 1	SSD	NP_744245.1	1 to 1	SSD	YP_208794.1
90111193	b0946	NP_415466.4	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128914	b0947	NP_415467.1	predicted 2Fe-2S cluster-containing protein; 6-N-hydroxylaminopurine resistance protein	1 to 1	RBB	WP_043942571.1	1 to 1	RBB	WP_003113973.1	1 to 1	RBB	WP_041697797.1	1 to 1	RBB	WP_013971706.1	1 to 1	RBB	WP_003091227.1	0	N/A		1 to 1	RBB	WP_012018118.1	1 to 1	RBB	WP_003153157.1	0	N/A		1 to 1	RBB	WP_003113973.1	1 to 1	RBB	NP_744278.1	0	N/A	
16128915	b0948	NP_415468.1	23S rRNA mG2445 methyltransferase, SAM-dependent	1 to 1	SSD	WP_014852569.1	0	N/A		0	N/A		1 to 1	SSD	WP_013971676.1	1 to 1	SSD	WP_003091273.1	0	N/A		1 to 1	SSD	WP_012019158.1	1 to 1	SSD	WP_012075110.1	1 to 1	RBB	NP_274385.1	1 to 1	SSD	YP_790124.1	1 to 1	SSD	NP_744246.2	1 to 1	RBB	YP_207790.1
16128916	b0949	NP_415469.1	fused predicted transporter subunits of ABC superfamily: ATP-binding components	1 to 1	SSD	WP_014852548.1	1 to 1	SSD	WP_003118098.1	0	N/A		1 to 1	SSD	WP_024086579.1	1 to 1	SSD	WP_003091215.1	0	N/A		1 to 1	SSD	WP_012018121.1	1 to 1	SSD	WP_012075141.1	1 to 1	SSD	NP_274085.1	1 to 1	SSD	WP_003138580.1	1 to 1	SSD	NP_744280.1	1 to 1	SSD	YP_207983.1
16128917	b0950	NP_415470.1	paraquat-inducible membrane protein A	1 to 2	RBB	WP_014851817.1	1 to 1	RBB	WP_003107436.1	0	N/A		2 to 1	RBB	WP_015268842.1;WP_013972088.1	2 to 1	RBB	WP_003107436.1;WP_003089139.1	0	N/A		1 to 1	RBB	WP_011921092.1	1 to 1	RBB	WP_012077451.1	1 to 1	RBB	NP_274675.1	2 to 1	RBB	WP_003089139.1;WP_003107436.1	0	N/A		1 to 1	SSD	YP_208382.1
16128918	b0951	NP_415471.1	paraquat-inducible protein B	1 to 1	RBB	WP_014851816.1	0	N/A		0	N/A		1 to 1	RBB	WP_013972089.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_274676.1	0	N/A		1 to 1	RBB	NP_744721.1	1 to 1	SSD	YP_208383.1
145698237	b0952	NP_415472.2	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_274677.1	0	N/A		0	N/A		1 to 1	RBB	YP_208384.1
16128920	b0953	NP_415473.1	ribosome modulation factor	1 to 1	RBB	WP_014852568.1	1 to 1	RBB	WP_003103238.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003244273.1	1 to 1	RBB	WP_003103238.1	0	N/A		1 to 1	RBB	WP_003103238.1	0	N/A		0	N/A	
16128921	b0954	NP_415474.1	beta-hydroxydecanoyl thioester dehydrase	1 to 1	RBB	WP_014853195.1	1 to 1	RBB	WP_003087475.1	0	N/A		1 to 1	RBB	WP_003251509.1	1 to 1	RBB	WP_003087475.1	0	N/A		1 to 1	RBB	WP_012018767.1	1 to 1	RBB	WP_003087475.1	0	N/A		1 to 1	RBB	WP_003087475.1	1 to 1	RBB	NP_746291.1	0	N/A	
16128922	b0955	NP_415475.1	predicted peptidase	1 to 1	RBB	WP_014854157.1	1 to 1	SSD	WP_003105114.1	0	N/A		1 to 1	SSD	WP_013970817.1	1 to 1	SSD	WP_003094777.1	0	N/A		1 to 1	RBB	WP_003241526.1	1 to 1	SSD	WP_012077322.1	0	N/A		1 to 1	SSD	WP_003141561.1	1 to 1	SSD	NP_742841.1	0	N/A	
16128923	b0956	NP_415476.1	Ter macrodomain organizer matS-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128924	b0957	NP_415477.1	outer membrane protein A (3a;II*;G;d)	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013972758.1	0	N/A		0	N/A		1 to 1	RBB	WP_041773053.1	0	N/A		1 to 1	RBB	NP_273431.1	0	N/A		1 to 1	RBB	NP_745234.1	1 to 1	RBB	YP_208618.1
16128925	b0958	NP_415478.1	SOS cell division inhibitor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128926	b0959	NP_415479.1	required for expression of CRP-S-dependent promoters	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_013974260.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_746794.1	0	N/A	
90111194	b0960	NP_415480.2	inner membrane protein	1 to 1	RBB	WP_014851277.1	1 to 1	RBB	WP_003084700.1	0	N/A		1 to 1	RBB	WP_013974492.1	1 to 1	RBB	WP_003084700.1	1 to 1	RBB	WP_012730931.1	1 to 1	RBB	WP_011920708.1	1 to 1	RBB	WP_012074036.1	1 to 1	RBB	NP_273115.1	1 to 1	RBB	WP_003084700.1	1 to 1	RBB	NP_747057.1	1 to 1	RBB	YP_208936.1
16128928	b0961	NP_415481.1	inner membrane protein, DUF307 family	0	N/A		0	N/A		1 to 1	RBB	WP_014847169.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128929	b0962	NP_415482.1	DNA helicase IV	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111195	b0963	NP_415483.2	methylglyoxal synthase	1 to 1	RBB	WP_014853295.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003241748.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128931	b0964	NP_415484.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111196	b0965	NP_415485.4	predicted CoA-binding protein with NAD(P)-binding Rossmann-fold domain	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698238	b0966	NP_415486.4	heat shock protein involved in degradation of mutant DnaA; hemimethylated oriC DNA-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
145698239	b0967	NP_415487.4	23S rRNA m(5)C1962 methyltransferase, SAM-dependent	1 to 1	SSD	WP_014851178.1	1 to 1	RBB	WP_003102882.1	0	N/A		1 to 1	RBB	WP_013974648.1	1 to 1	RBB	WP_003084438.1	0	N/A		1 to 1	SSD	WP_012020002.1	1 to 1	RBB	WP_012073965.1	0	N/A		1 to 1	RBB	WP_003084438.1	1 to 1	RBB	NP_747228.1	0	N/A	
16128935	b0968	NP_415488.1	weak acylphosphatase	0	N/A		1 to 1	RBB	WP_003102385.1	0	N/A		0	N/A		1 to 1	RBB	WP_003102385.1	1 to 1	RBB	WP_012731826.1	0	N/A		1 to 1	RBB	WP_003155968.1	0	N/A		1 to 1	RBB	WP_003140780.1	0	N/A		0	N/A	
90111197	b0969	NP_415489.4	sulfurtransferase required for 2-thiolation step of mnm(5)-s(2)U34-tRNA synthesis	1 to 1	RBB	WP_014853223.1	1 to 1	RBB	WP_003090393.1	0	N/A		1 to 1	RBB	WP_013973279.1	1 to 1	RBB	WP_003090393.1	0	N/A		1 to 1	RBB	WP_003240638.1	1 to 1	RBB	WP_003153616.1	0	N/A		1 to 1	RBB	WP_003090393.1	1 to 1	RBB	NP_746126.1	0	N/A	
16128937	b0970	NP_415490.1	HflBKC-binding inner membrane protein, UPF0005 family	1 to 1	SSD	WP_014853219.1	1 to 1	SSD	WP_003116721.1	0	N/A		1 to 1	SSD	WP_003251184.1	1 to 1	SSD	WP_003090386.1	0	N/A		1 to 1	SSD	WP_003240629.1	1 to 1	SSD	WP_003153609.1	1 to 1	RBB	NP_275012.1	1 to 1	SSD	WP_003090386.1	1 to 1	SSD	NP_746120.1	1 to 1	RBB	YP_209097.1
16128938	b0972	NP_415491.1	hydrogenase 1, small subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128939	b0973	NP_415492.1	hydrogenase 1, large subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128940	b0974	NP_415493.1	hydrogenase 1, b-type cytochrome subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128941	b0975	NP_415494.1	protein involved in processing of HyaA and HyaB proteins	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128942	b0976	NP_415495.1	protein involved in processing of HyaA and HyaB proteins	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128943	b0977	NP_415496.1	protein involved in nickel incorporation into hydrogenase-1 proteins	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128944	b0978	NP_415497.1	cytochrome bd-II oxidase, subunit I	1 to 2	RBB	WP_014853212.1	1 to 2	RBB	WP_003103027.1	1 to 2	RBB	WP_014845415.1	1 to 2	RBB	WP_038410146.1	1 to 2	RBB	WP_003093054.1	0	N/A		1 to 2	RBB	WP_003242675.1	1 to 1	RBB	WP_012075877.1	0	N/A		1 to 2	RBB	WP_003093054.1	1 to 2	RBB	NP_746760.1	0	N/A	
16128945	b0979	NP_415498.1	cytochrome bd-II oxidase, subunit II	1 to 2	RBB	WP_014853211.1	1 to 2	RBB	WP_003093053.1	1 to 2	RBB	WP_014845414.1	1 to 2	RBB	WP_013974219.1	1 to 2	RBB	WP_003093053.1	0	N/A		1 to 2	RBB	WP_003242678.1	1 to 2	RBB	WP_003093053.1	0	N/A		1 to 2	RBB	WP_003093053.1	1 to 2	RBB	NP_746759.1	0	N/A	
16128946	b0980	NP_415500.1	phosphoanhydride phosphorylase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128947	b0981	NP_415501.1	cryptic autophosphorylating protein tyrosine kinase Etk	1 to 2	RBB	WP_014852541.1	1 to 2	RBB	WP_003097243.1	1 to 2	RBB	WP_014847969.1	1 to 2	RBB	WP_013972714.1	1 to 2	RBB	WP_003097243.1	1 to 2	RBB	WP_012730754.1	1 to 2	RBB	WP_003241395.1	1 to 2	RBB	WP_003151614.1	0	N/A		1 to 2	RBB	WP_003097243.1	1 to 2	RBB	NP_745272.1	2 to 1	RBB	YP_208821.1
90111198	b0982	NP_415502.4	phosphotyrosine-protein phosphatase	1 to 2	RBB	WP_014852542.1	1 to 2	RBB	WP_003091154.1	1 to 2	RBB	WP_014845452.1	1 to 2	RBB	WP_013971567.1	1 to 2	RBB	WP_003091154.1	0	N/A		1 to 2	RBB	WP_012018152.1	1 to 2	RBB	WP_012075165.1	1 to 2	RBB	NP_274288.1	1 to 2	RBB	WP_003138590.1	1 to 2	Non-SSD	NP_744058.1	2 to 1	RBB	YP_207687.1
16128949	b0983	NP_415503.1	lipoprotein required for formation of the O-antigen capsule, predicted exopolysaccharide export protein	1 to 2	RBB	WP_014852536.1	1 to 2	SSD	WP_003089227.1	0	N/A		1 to 2	RBB	WP_015270418.1	1 to 2	SSD	WP_003089227.1	0	N/A		1 to 2	RBB	WP_012020066.1	1 to 2	SSD	WP_003089227.1	1 to 2	RBB	NP_273135.1	0	N/A		1 to 2	RBB	NP_745270.1	0	N/A	
16128950	b0984	NP_415504.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128951	b0985	NP_415505.1	conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128952	b0986	NP_415506.1	predicted outer membrane lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
90111199	b0987	NP_415507.2	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128954	b0988	NP_415508.1	IS1 transposase B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128955	b0989	NP_415509.1	stress protein, member of the CspA-family	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128956	b0990	NP_415510.1	cold shock protein homolog, cold-inducible	0	N/A		1 to 3	RBB	WP_003084710.1	1 to 6	RBB	WP_014846550.1	2 to 5	RBB	WP_003250656.1;WP_003254922.1	2 to 3	RBB	WP_003086101.1;WP_003084710.1	1 to 6	RBB	WP_012732584.1	2 to 5	RBB	WP_003246255.1;WP_003245585.1	1 to 3	RBB	WP_003084710.1	0	N/A		2 to 3	RBB	WP_003086101.1;WP_003084710.1	2 to 4	RBB	NP_743260.1;NP_744611.1	0	N/A	
16128957	b0991	NP_415511.1	cold shock gene	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128958	b0992	NP_415512.1	predicted 4Fe-4S membrane protein	1 to 1	RBB	WP_014851512.1	1 to 1	RBB	WP_004351166.1	0	N/A		0	N/A		1 to 1	RBB	WP_014603953.1	0	N/A		1 to 1	RBB	WP_012019218.1	1 to 1	RBB	WP_012074863.1	0	N/A		1 to 1	RBB	WP_003138229.1	0	N/A		0	N/A	
90111200	b0993	NP_415513.2	hybrid sensory histidine kinase in two-component regulatory system with TorR	0	N/A		0	N/A		1 to 1	RBB	WP_014847247.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128960	b0994	NP_415514.1	periplasmic sensory protein associated with the TorRS two-component regulatory system	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128961	b0995	NP_415515.1	DNA-binding response regulator in two-component regulatory system with TorS	0	N/A		1 to 2	RBB	WP_003148278.1	0	N/A		0	N/A		1 to 2	RBB	WP_003148278.1	0	N/A		0	N/A		1 to 2	RBB	WP_041025534.1	0	N/A		1 to 2	RBB	WP_015503756.1	0	N/A		0	N/A	
16128962	b0996	NP_415516.1	trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128963	b0997	NP_415517.1	trimethylamine N-oxide (TMAO) reductase I, catalytic subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128964	b0998	NP_415518.1	chaperone involved in maturation of TorA subunit of trimethylamine N-oxide reductase system I	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128965	b0999	NP_415519.1	modulator of CbpA co-chaperone	0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_023660836.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_746952.1	0	N/A	
16128966	b1000	NP_415520.1	curved DNA-binding protein, DnaJ homologue that functions as a co-chaperone of DnaK	0	N/A		0	N/A		0	N/A		1 to 1	SSD	WP_013974397.1	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	NP_746953.1	0	N/A	
16128967	b1001	NP_415521.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128968	b1002	NP_415522.1	glucose-1-phosphatase/inositol phosphatase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128969	b1003	NP_415523.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128970	b1004	NP_415524.1	NAD(P)H:quinone oxidoreductase	1 to 1	RBB	WP_014853509.1	1 to 1	RBB	WP_003102394.1	0	N/A		1 to 1	RBB	WP_013971350.1	1 to 1	RBB	WP_003086074.1	0	N/A		1 to 1	Non-SSD	WP_012019148.1	1 to 1	RBB	WP_012076902.1	0	N/A		1 to 1	RBB	WP_003102394.1	1 to 1	Non-SSD	NP_743801.1	1 to 1	RBB	YP_207299.1
90111201	b1006	NP_415526.4	pyrimidine permease	1 to 2	RBB	WP_014853796.1	0	N/A		1 to 1	RBB	WP_014845663.1	0	N/A		0	N/A		1 to 1	RBB	WP_041628834.1	0	N/A		0	N/A		1 to 2	RBB	NP_274334.1	0	N/A		0	N/A		2 to 1	RBB	YP_207732.1
90111202	b1007	NP_415527.4	flavin:NADH reductase	0	N/A		1 to 1	RBB	WP_003104531.1	0	N/A		3 to 1	RBB	WP_003259250.1;WP_013972329.1;WP_003258675.1	1 to 1	RBB	WP_003093392.1	0	N/A		2 to 1	RBB	WP_003118351.1;WP_003118363.1	1 to 1	RBB	WP_003157013.1	1 to 1	SSD	NP_274839.1	1 to 1	RBB	WP_003093392.1	3 to 1	RBB	NP_745783.1;NP_745779.1;NP_744841.1	1 to 1	Non-SSD	YP_207236.1
