Mycobacterium tuberculosis H37Rv - GI (Reference)	Mycobacterium tuberculosis H37Rv - Locus Tag (Reference)	Mycobacterium tuberculosis H37Rv - NCBI RefSeq Accession (Reference)	Mycobacterium tuberculosis H37Rv - Description (Reference)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Escherichia coli str. K-12 substr. MG1655 - ortholog count (reference : comparison)	Escherichia coli str. K-12 substr. MG1655 - ortholuge status	Escherichia coli str. K-12 substr. MG1655 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession
397673020	RVBD_1179c	WP_003406189.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673021	RVBD_1181	WP_003406192.1	polyketide beta-ketoacyl synthase pks4	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673022	RVBD_1182	WP_023637377.1	polyketide synthase associated protein papA3	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673023	RVBD_1183	WP_003898761.1	transmembrane transporter mmpL10	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673024	RVBD_1184c	WP_003406195.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673025	RVBD_1185c	WP_003406196.1	fatty acid CoA ligase FadD21	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		10 to 1	RBB	YP_001083201	0	N/A	
397673026	RVBD_1186c	WP_031682435.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673027	RVBD_1187	WP_003900286.1	1-pyrroline-5-carboxylate dehydrogenase	0	N/A		1 to 1	RBB	NP_415534.1	1 to 1	RBB	NP_249473.1	1 to 1	RBB	WP_003140924.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386516
397673028	RVBD_1188	WP_003900287.1	proline dehydrogenase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673029	RVBD_1189	WP_003406207.1	sigma-70 family RNA polymerase sigma factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673030	RVBD_1190	WP_003406212.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673031	RVBD_1191	WP_003406215.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	NP_253767.1	1 to 1	RBB	WP_003095918.1	0	N/A		0	N/A		0	N/A	
397673032	RVBD_1192	WP_003898763.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673033	RVBD_1193	WP_003406218.1	fatty acid CoA ligase FadD36	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673034	RVBD_1194c	WP_003406219.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673035	RVBD_1195	WP_003406222.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673036	RVBD_1196	WP_003898765.1	PPE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673037	RVBD_1197	WP_003421604.1	ESAT-6-like protein esxK	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673038	RVBD_1198	WP_003898766.1	ESAT-6-like protein esxL	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673039	RVBD_1199c	WP_003904572.1	transposase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673040	RVBD_1200	WP_003406233.1	MFS transporter, metabolite:H+ symporter (MHS) family protein	1 to 1	RBB	YP_005239828	1 to 1	RBB	NP_417980.1	1 to 1	RBB	NP_252438.1	1 to 1	RBB	WP_011666580.1	1 to 1	RBB	NP_462510.1	1 to 1	RBB	YP_001083197	1 to 1	RBB	YP_002388986
397673041	RVBD_1201c	WP_003406234.1	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase	0	N/A		0	N/A		1 to 1	RBB	NP_252356.1	1 to 1	RBB	WP_003092431.1	0	N/A		0	N/A		0	N/A	
397673042	RVBD_1202	WP_003406235.1	succinyl-diaminopimelate desuccinylase	1 to 1	RBB	YP_005238574	1 to 2	RBB	NP_416967.1;NP_417348.1	1 to 1	RBB	NP_249853.1	1 to 1	RBB	WP_003140540.1	1 to 1	RBB	NP_461418.1	1 to 1	RBB	YP_001085818	1 to 2	RBB	YP_002387908;YP_002388334
397673043	RVBD_1203c	WP_003406236.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673044	RVBD_1204c	WP_003406237.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673045	RVBD_1205	WP_003898770.1	hypothetical protein	0	N/A		0	N/A		1 to 1	RBB	NP_253610.1	1 to 1	RBB	WP_003141699.1	0	N/A		1 to 2	RBB	YP_001083272;YP_001086096	0	N/A	
397673046	RVBD_1206	WP_003406240.1	fatty-acyl-CoA synthase	0	N/A		0	N/A		1 to 1	RBB	NP_251583.1	1 to 1	RBB	WP_003138713.1	0	N/A		1 to 1	RBB	YP_001083461	0	N/A	
397673047	RVBD_1207	WP_003406241.1	dihydropteroate synthase 2 folP2	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673048	RVBD_1208	WP_003406242.1	glucosyl-3-phosphoglycerate synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673049	RVBD_1209	WP_003406243.1	DivIVA domain-containing protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673050	RVBD_1210	WP_003406244.1	DNA-3-methyladenine glycosylase I	1 to 1	RBB	YP_005239871	1 to 1	RBB	NP_418005.1	1 to 1	SSD	NP_248700.1	1 to 1	SSD	WP_003097280.1	1 to 1	RBB	NP_462543.1	1 to 1	RBB	YP_001086426	1 to 1	RBB	YP_002389022
397673051	RVBD_1211	WP_003900293.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673052	RVBD_1212c	WP_003898773.1	corynebacterium family glycogen synthase	0	N/A		0	N/A		2 to 1	RBB	NP_250082.1	0	N/A		0	N/A		1 to 1	RBB	YP_001083487	3 to 1	RBB	YP_002387504
397673053	RVBD_1213	WP_003406249.1	glucose-1-phosphate adenylyltransferase	1 to 1	RBB	YP_005239741	1 to 1	RBB	NP_417888.1	0	N/A		0	N/A		1 to 1	RBB	NP_462437.1	0	N/A		1 to 1	RBB	YP_002388894
397673054	RVBD_1214c	WP_003406250.1	PE family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673055	RVBD_1215c	WP_003898774.1	hydrolase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673056	RVBD_1216c	WP_003406252.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673057	RVBD_1217c	WP_003898775.1	antibiotic transporter permease	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673058	RVBD_1218c	WP_003906541.1	antibiotic transporter ATP-binding protein	0	N/A		0	N/A		1 to 1	RBB	NP_252084.1	1 to 1	RBB	WP_003138226.1	0	N/A		0	N/A		0	N/A	
397673059	RVBD_1219c	WP_003406254.1	transcriptional regulator	1 to 1	RBB	YP_005236543	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_459797.1	0	N/A		0	N/A	
397673060	RVBD_1220c	WP_003911448.1	methyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673061	RVBD_1221	WP_003406257.1	sigma-70 family RNA polymerase sigma factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		2 to 1	RBB	YP_001085617	0	N/A	
397673062	RVBD_1222	WP_003406258.1	ECF subfamily RNA polymerase sigma-70 factor	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673063	RVBD_1223	WP_003911452.1	serine protease htrA	2 to 3	RBB	YP_005235880;YP_005239532;YP_005239533	1 to 3	RBB	NP_414703.1;NP_417701.1;NP_417702.1	1 to 2	RBB	NP_249457.1;NP_253136.1	1 to 2	RBB	WP_003140933.1;WP_003094320.1	2 to 3	RBB	NP_459214.1;NP_462258.1;NP_462259.1	2 to 1	SSD	YP_001085544	2 to 3	RBB	YP_002385655;YP_002388711;YP_002388712
397673064	RVBD_1224	WP_003898780.1	twin arginine-targeting protein translocase TatB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673065	RVBD_1225c	WP_031646969.1	HAD hydrolase, family IIA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673066	RVBD_1226c	WP_003898781.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673067	RVBD_1227c	WP_003905510.1	transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673068	RVBD_1228	WP_003406266.1	lipoprotein LpqX	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673069	RVBD_1229c	WP_003911456.1	ATP-binding protein	1 to 1	SSD	YP_005238196	1 to 1	RBB	NP_416616.4	1 to 1	RBB	NP_252171.1	1 to 1	RBB	WP_003092020.1	1 to 1	Borderline-SSD	NP_461098.1	1 to 1	SSD	YP_001083822	1 to 1	RBB	YP_002387591
397673070	RVBD_1230c	WP_003916796.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673071	RVBD_1231c	WP_003406283.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001083179	0	N/A	
397673072	RVBD_1232c	WP_009935769.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673073	RVBD_1233c	WP_003406288.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673074	RVBD_1234	WP_003406290.1	transmembrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673075	RVBD_1235	WP_003911458.1	multiple sugar transporter substrate-binding protein	1 to 1	RBB	YP_005240520	1 to 1	RBB	NP_418458.1	0	N/A		0	N/A		1 to 1	RBB	NP_463094.2	0	N/A		1 to 2	RBB	YP_002387348;YP_002389504
397673076	RVBD_1236	WP_003406295.1	multiple sugar transporter permease	0	N/A		0	N/A		3 to 1	RBB	NP_251879.1	3 to 1	RBB	WP_003091471.1	0	N/A		0	N/A		0	N/A	
397673077	RVBD_1237	WP_003898784.1	multiple sugar transporter permease	1 to 1	RBB	YP_005240516	1 to 1	RBB	NP_415828.1	0	N/A		0	N/A		1 to 1	RBB	NP_463092.1	0	N/A		1 to 1	RBB	YP_002386783
397673078	RVBD_1238	WP_003406299.1	multiple sugar transporter ATP-binding protein	3 to 2	RBB	YP_005239764;YP_005240521	2 to 2	RBB	NP_417907.2;NP_418459.1	1 to 1	SSD	NP_251877.1	1 to 1	RBB	WP_003114840.1	3 to 2	RBB	NP_462455.1;NP_463095.1	1 to 1	RBB	YP_001083123	1 to 4	RBB	YP_002386789;YP_002387352;YP_002388912;YP_002389505
397673079	RVBD_1239c	WP_003916789.1	magnesium and cobalt transporter CorA	1 to 1	Borderline-SSD	YP_005240213	1 to 1	RBB	NP_418260.1	1 to 1	RBB	NP_253955.1	1 to 1	RBB	WP_003096411.1	1 to 1	SSD	NP_462837.1	1 to 1	RBB	YP_001083424	1 to 2	RBB	YP_002389292;YP_002389295
397673080	RVBD_1240	WP_003406301.1	malate dehydrogenase	1 to 1	RBB	YP_005239544	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_462269.1	1 to 1	RBB	YP_001086024	0	N/A	
397673081	RVBD_1241	WP_003406302.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673082	RVBD_1242	WP_003406304.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673083	RVBD_1243c	WP_003910308.1	PE-PGRS family protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673084	RVBD_1244	WP_003900301.1	glycine betaine/proline transporter substrate-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673085	RVBD_1245c	WP_003898788.1	oxidoreductase	0	N/A		0	N/A		2 to 1	RBB	NP_250228.1	2 to 1	RBB	WP_003087246.1	0	N/A		2 to 1	RBB	YP_001086363	0	N/A	
397673086	RVBD_1246c	WP_003898789.1	toxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673087	RVBD_1247c	WP_003406322.1	antitoxin	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673088	RVBD_1248c	WP_003898790.1	2-oxoglutarate decarboxylase	1 to 1	RBB	YP_005236455	1 to 1	RBB	NP_415254.1	1 to 1	RBB	NP_250276.1	1 to 1	RBB	WP_003087413.1	1 to 1	RBB	NP_459721.1	1 to 1	RBB	YP_001085730	1 to 1	RBB	YP_002386165
397673089	RVBD_1249c	WP_003406325.1	membrane protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673090	RVBD_1250	WP_003898791.1	drug:H+ antiporter-2 (14 Spanner) (DHA2) family drug resistance MFS transporter	1 to 1	RBB	YP_005238915	1 to 3	RBB	NP_416868.1;NP_417171.1;NP_418210.1	0	N/A		0	N/A		1 to 1	RBB	NP_461741.1	2 to 1	RBB	YP_001083943	1 to 3	RBB	YP_002387822;YP_002388146;YP_002389239
397673091	RVBD_1251c	WP_003406332.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673092	RVBD_1252c	WP_003406334.1	lipoprotein LprE	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673093	RVBD_1253	WP_003898793.1	ATP-dependent RNA helicase DeaD	1 to 1	SSD	YP_005239457	1 to 1	RBB	NP_417631.2	1 to 1	RBB	NP_251530.1	1 to 1	RBB	WP_003114758.1	1 to 1	RBB	NP_462193.2	1 to 1	RBB	YP_001086103	1 to 1	RBB	YP_002388647
397673094	RVBD_1254	WP_003406347.1	acyltransferase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673095	RVBD_1255c	WP_003406350.1	transcriptional regulator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673096	RVBD_1256c	WP_003406352.1	cytochrome P450 130 cyp130	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673097	RVBD_1257c	WP_003406358.1	glycolate oxidase subunit GlcD	4 to 1	RBB	YP_005237233	1 to 1	RBB	NP_417453.1	1 to 1	RBB	NP_254042.1	1 to 1	RBB	WP_003136273.1	4 to 1	RBB	NP_460330.1	0	N/A		1 to 1	RBB	YP_002388460
397673098	RVBD_1258c	WP_003406359.1	H+ Antiporter protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673099	RVBD_1259	WP_003911466.1	uracil-DNA glycosylase, family 4	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673100	RVBD_1260	WP_003406361.1	oxidoreductase	0	N/A		0	N/A		2 to 2	RBB	NP_251277.1;NP_252018.1	2 to 2	RBB	WP_003091709.1;WP_003119987.1	0	N/A		1 to 1	RBB	YP_001083409	0	N/A	
397673101	RVBD_1261c	WP_003406364.1	deazaflavin-dependent nitroreductase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673102	RVBD_1262c	WP_003898798.1	hypothetical protein	1 to 1	SSD	YP_005239335	0	N/A		1 to 1	RBB	NP_251985.1	1 to 1	RBB	WP_003105490.1	1 to 1	Borderline-SSD	NP_462082.1	1 to 1	SSD	YP_001084707	0	N/A	
397673103	RVBD_1263	WP_003406369.1	amidase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673104	RVBD_1264	WP_003406372.1	pH-sensitive adenylate cyclase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673105	RVBD_1265	WP_009938916.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673106	RVBD_1266c	WP_003898799.1	serine/threonine protein kinase	0	N/A		0	N/A		4 to 1	RBB	NP_248764.1	4 to 1	RBB	WP_003136961.1	0	N/A		0	N/A		0	N/A	
397673107	RVBD_1267c	WP_003406553.1	transcriptional regulator embR	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673108	RVBD_1268c	WP_003898800.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673109	RVBD_1269c	WP_003406558.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673110	RVBD_1270c	WP_003406562.1	lipoprotein LprA	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673111	RVBD_1271c	WP_003406566.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673112	RVBD_1272c	WP_003406569.1	ATP-binding cassette, subfamily B	1 to 1	RBB	YP_005236703	1 to 1	RBB	NP_415434.1	1 to 2	SSD	NP_249804.1;NP_253684.1	1 to 2	SSD	WP_003086478.1;WP_003095749.1	1 to 1	RBB	NP_459959.1	1 to 1	SSD	YP_001084584	1 to 1	RBB	YP_002386414
397673113	RVBD_1273c	WP_003406574.1	ATP-binding cassette, subfamily B	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673114	RVBD_1274	WP_003901123.1	lipoprotein LprB	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673115	RVBD_1275	WP_003900308.1	lipoprotein LprC	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673116	RVBD_1276c	WP_003898805.1	phosphohistidine phosphatase	1 to 1	RBB	YP_005238471	1 to 1	RBB	NP_416842.1	0	N/A		0	N/A		1 to 1	RBB	NP_461329.1	0	N/A		1 to 1	RBB	YP_002387808
397673117	RVBD_1277	WP_003911418.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673118	RVBD_1278	WP_003898806.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673119	RVBD_1279	WP_003406598.1	dehydrogenase FAD flavoprotein gmc oxidoreductase	0	N/A		1 to 1	RBB	NP_414845.1	1 to 3	RBB	NP_252399.1;NP_252789.1;NP_254059.1	1 to 3	RBB	WP_003137578.1;WP_003137963.1;WP_003142051.1	0	N/A		1 to 1	RBB	YP_001083958	1 to 1	RBB	YP_002385786
397673120	RVBD_1280c	WP_003900310.1	peptide/nickel transporter substrate-binding protein	0	N/A		0	N/A		1 to 1	RBB	NP_253187.1	1 to 1	RBB	WP_003141332.1	0	N/A		0	N/A		1 to 2	RBB	YP_002388940;YP_002389012
397673121	RVBD_1281c	WP_003406602.1	oligopeptide/dipeptide ABC transporter ATP-binding protein	1 to 1	SSD	YP_005236584	1 to 1	RBB	NP_415350.2	0	N/A		0	N/A		1 to 1	SSD	NP_459825.1	0	N/A		1 to 1	RBB	YP_002386328
397673122	RVBD_1282c	WP_003406607.1	peptide/nickel transporter permease	1 to 2	RBB	YP_005236587;YP_005237670	0	N/A		0	N/A		0	N/A		1 to 2	RBB	NP_459828.1;NP_460703.1	0	N/A		0	N/A	
397673123	RVBD_1283c	WP_003406613.1	peptide/nickel transporter permease	1 to 1	RBB	YP_005236586	1 to 1	RBB	NP_415352.1	0	N/A		0	N/A		1 to 1	RBB	NP_459827.1	0	N/A		1 to 1	RBB	YP_002386330
397673124	RVBD_1284	WP_003406616.1	carbonic anhydrase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673125	RVBD_1285	WP_003911471.1	sulfate adenylyltransferase subunit 2	1 to 1	RBB	YP_005239048	1 to 1	RBB	NP_417232.1	1 to 1	RBB	NP_253133.1	1 to 1	RBB	WP_003094311.1	1 to 1	RBB	NP_461856.1	1 to 1	RBB	YP_001084034	1 to 1	RBB	YP_002388212
397673126	RVBD_1286	WP_003406621.1	bifunctional enzyme CysN/CysC	1 to 1	SSD	YP_005239047	1 to 1	RBB	NP_417231.1	1 to 1	RBB	NP_253132.1	1 to 1	RBB	WP_003110029.1	1 to 1	RBB	NP_461855.1	1 to 1	RBB	YP_001084035	1 to 1	RBB	YP_002388211
397673127	RVBD_1287	WP_003406624.1	Rrf2 family protein	1 to 1	RBB	YP_005238647	1 to 1	RBB	NP_417026.1	1 to 1	RBB	NP_252504.1	1 to 1	RBB	WP_003092836.1	1 to 1	RBB	NP_461479.1	1 to 1	RBB	YP_001084663	1 to 1	RBB	YP_002387969
397673128	RVBD_1288	WP_003406625.1	hypothetical protein	0	N/A		1 to 1	RBB	NP_418175.3	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001083860	1 to 1	RBB	YP_002389200
397673129	RVBD_1289	WP_003406626.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673131	RVBD_1290A	WP_003406628.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673130	RVBD_1290c	WP_003406627.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673132	RVBD_1291c	WP_003406629.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673133	RVBD_1292	WP_003406630.1	arginyl-tRNA synthetase	1 to 1	SSD	YP_005237875	1 to 1	RBB	NP_416390.1	1 to 1	Non-SSD	NP_253738.1	1 to 1	Non-SSD	WP_003135774.1	1 to 1	SSD	NP_460866.1	0	N/A		1 to 1	RBB	YP_002387377
397673134	RVBD_1293	WP_003406632.1	diaminopimelate decarboxylase	1 to 1	RBB	YP_005238442	1 to 1	RBB	NP_417315.1	1 to 1	SSD	NP_253964.1	1 to 1	SSD	WP_003096431.1	1 to 1	RBB	NP_461302.1	1 to 1	SSD	YP_001085651	1 to 1	RBB	YP_002388300
397673135	RVBD_1294	WP_003406648.1	homoserine dehydrogenase	0	N/A		0	N/A		1 to 1	SSD	NP_252425.1	1 to 1	SSD	WP_003100657.1	0	N/A		1 to 1	SSD	YP_001083316	0	N/A	
397673136	RVBD_1295	WP_003406652.1	threonine synthase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	SSD	YP_001083315	0	N/A	
397673137	RVBD_1295A	YP_006514672	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673138	RVBD_1296	WP_003406654.1	homoserine kinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673139	RVBD_1297	WP_003898814.1	transcription termination factor Rho	1 to 1	RBB	YP_005240179	1 to 1	RBB	NP_418230.1	1 to 1	SSD	NP_253926.1	1 to 1	SSD	WP_003096334.1	1 to 1	RBB	NP_462807.1	0	N/A		1 to 1	RBB	YP_002389259
397673140	RVBD_1298	WP_003406668.1	50S ribosomal protein L31	1 to 1	RBB	YP_005240377	1 to 1	RBB	NP_418371.1	1 to 1	SSD	NP_253736.1	1 to 1	SSD	WP_003095846.1	1 to 1	RBB	NP_462977.1	1 to 1	RBB	YP_001085443	1 to 1	RBB	YP_002389412
397673141	RVBD_1299	WP_003406670.1	peptide chain release factor 1	1 to 1	RBB	YP_005237705	1 to 1	RBB	NP_415729.1	1 to 1	SSD	NP_253354.1	1 to 1	SSD	WP_003099290.1	1 to 1	RBB	NP_460732.1	1 to 1	RBB	YP_001085183	1 to 1	RBB	YP_002386678
397673142	RVBD_1300	WP_003916325.1	HemK family methyltransferase	1 to 2	RBB	YP_005237704;YP_005238469	1 to 2	RBB	NP_415730.1;NP_416833.4	1 to 1	SSD	NP_253353.1	1 to 1	SSD	WP_003114694.1	1 to 2	RBB	NP_460731.1;NP_461327.1	1 to 1	RBB	YP_001085182	1 to 2	RBB	YP_002386679;YP_002387798
397673143	RVBD_1301	WP_003898815.1	Sua5/YciO/YrdC/YwlC family protein	1 to 1	Borderline-SSD	YP_005239592	1 to 2	RBB	NP_415783.6;NP_417741.1	1 to 1	SSD	NP_248712.1	1 to 1	SSD	WP_003097300.1	1 to 1	Borderline-SSD	NP_462306.1	1 to 1	Borderline-SSD	YP_001083250	1 to 1	RBB	YP_002388753
397673144	RVBD_1302	WP_031646975.1	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	1 to 1	RBB	YP_005240180	1 to 1	RBB	NP_418231.1	1 to 1	RBB	NP_251835.1	1 to 1	RBB	WP_003138482.1	1 to 1	RBB	NP_462808.1	0	N/A		1 to 1	RBB	YP_002389261
397673145	RVBD_1303	WP_003406680.1	hypothetical protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
397673146	RVBD_1304	WP_003406681.1	ATP synthase subunit A	1 to 1	RBB	YP_005240139	1 to 1	RBB	NP_418194.1	1 to 1	SSD	NP_254247.1	1 to 1	SSD	WP_003100237.1	1 to 1	RBB	NP_462770.1	1 to 1	RBB	YP_001083233	1 to 1	RBB	YP_002389223
397673147	RVBD_1305	WP_003406686.1	ATP synthase subunit C	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
