Escherichia coli str. K-12 substr. MG1655 - GI (Reference)	Escherichia coli str. K-12 substr. MG1655 - Locus Tag (Reference)	Escherichia coli str. K-12 substr. MG1655 - NCBI RefSeq Accession (Reference)	Escherichia coli str. K-12 substr. MG1655 - Description (Reference)	Mycobacterium tuberculosis H37Rv - ortholog count (reference : comparison)	Mycobacterium tuberculosis H37Rv - ortholuge status	Mycobacterium tuberculosis H37Rv - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. 14028S - ortholog NCBI RefSeq accession	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog count (reference : comparison)	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholuge status	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa PAO1 - ortholog count (reference : comparison)	Pseudomonas aeruginosa PAO1 - ortholuge status	Pseudomonas aeruginosa PAO1 - ortholog NCBI RefSeq accession	Acinetobacter baumannii ATCC 17978 - ortholog count (reference : comparison)	Acinetobacter baumannii ATCC 17978 - ortholuge status	Acinetobacter baumannii ATCC 17978 - ortholog NCBI RefSeq accession	Escherichia coli IAI1 - ortholog count (reference : comparison)	Escherichia coli IAI1 - ortholuge status	Escherichia coli IAI1 - ortholog NCBI RefSeq accession	Pseudomonas aeruginosa UCBPP-PA14 - ortholog count (reference : comparison)	Pseudomonas aeruginosa UCBPP-PA14 - ortholuge status	Pseudomonas aeruginosa UCBPP-PA14 - ortholog NCBI RefSeq accession
16128450	b0466	NP_414999.1	predicted protein	0	N/A		1 to 1	Non-SSD	YP_005236178	1 to 1	Non-SSD	NP_459475.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385945	0	N/A	
16128451	b0467	NP_415000.1	primosomal replication protein N''	0	N/A		1 to 1	SSD	YP_005236179	1 to 1	SSD	NP_459476.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385946	0	N/A	
16128452	b0468	NP_415001.1	inner membrane protein, DUF454 family	0	N/A		1 to 1	Borderline-SSD	YP_005236180	1 to 1	Borderline-SSD	NP_459477.1	1 to 1	RBB	NP_250130.1	1 to 1	RBB	YP_001085815	1 to 1	RBB	YP_002385947	1 to 1	RBB	WP_003087079.1
16128453	b0469	NP_415002.1	adenine phosphoribosyltransferase	1 to 1	RBB	WP_009936220.1	1 to 1	SSD	YP_005236181	1 to 1	SSD	NP_459478.1	1 to 1	RBB	NP_250234.1	1 to 1	RBB	YP_001086034	1 to 1	RBB	YP_002385948	1 to 1	SSD	WP_003087259.1
16128454	b0470	NP_415003.1	DNA polymerase III/DNA elongation factor III, tau and gamma subunits	1 to 1	RBB	WP_003420417.1	1 to 1	SSD	YP_005236182	1 to 1	SSD	NP_459479.1	1 to 1	SSD	NP_250223.1	1 to 1	SSD	YP_001085085	1 to 1	RBB	YP_002385949	1 to 1	SSD	WP_011666715.1
16128455	b0471	NP_415004.1	conserved protein	0	N/A		1 to 1	SSD	YP_005236183	1 to 1	SSD	NP_459480.1	1 to 1	SSD	NP_250224.1	1 to 1	Borderline-SSD	YP_001084713	1 to 1	RBB	YP_002385950	1 to 1	SSD	WP_003087236.1
16128456	b0472	NP_415005.1	gap repair protein	1 to 1	RBB	WP_003420407.1	1 to 1	Borderline-SSD	YP_005236184	1 to 1	Borderline-SSD	NP_459481.1	1 to 1	SSD	NP_250225.1	1 to 1	SSD	YP_001084714	1 to 1	RBB	YP_002385951	1 to 1	RBB	WP_003111077.1
16128457	b0473	NP_415006.1	molecular chaperone HSP90 family	1 to 1	RBB	WP_003411855.1	1 to 1	SSD	YP_005236185	1 to 1	SSD	NP_459482.2	1 to 1	SSD	NP_250287.1	0	N/A		1 to 1	RBB	YP_002385952	1 to 1	SSD	WP_003087446.1
16128458	b0474	NP_415007.1	adenylate kinase	1 to 1	RBB	WP_003403726.1	1 to 1	SSD	YP_005236187	1 to 1	SSD	NP_459483.1	1 to 1	SSD	NP_252376.1	1 to 1	SSD	YP_001084057	1 to 1	RBB	YP_002385953	1 to 1	Borderline-SSD	WP_003092485.1
16128459	b0475	NP_415008.1	ferrochelatase	0	N/A		1 to 1	SSD	YP_005236189	1 to 1	SSD	NP_459484.1	1 to 1	SSD	NP_253344.1	1 to 1	SSD	YP_001083443	1 to 1	RBB	YP_002385954	1 to 1	SSD	WP_003141619.1
16128460	b0476	NP_415009.1	acetyl esterase	4 to 1	RBB	WP_003415015.1;WP_003900831.1;WP_003407279.1;WP_003407276.1	1 to 1	RBB	YP_005236190	1 to 1	RBB	NP_459485.1	1 to 1	SSD	NP_254071.1	2 to 1	RBB	YP_001083886;YP_001085961	1 to 1	RBB	YP_002385955	1 to 1	RBB	WP_003115631.1
16128461	b0477	NP_415010.1	inosine/guanosine kinase	0	N/A		1 to 1	SSD	YP_005236191	1 to 1	SSD	NP_459486.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385956	0	N/A	
16128462	b0478	NP_415011.1	predicted transporter with NAD(P)-binding Rossmann-fold domain	1 to 1	RBB	WP_003416933.1	1 to 1	SSD	YP_005236192	1 to 1	SSD	NP_459487.1	1 to 1	SSD	NP_254205.1	1 to 1	RBB	YP_001083503	1 to 1	RBB	YP_002385957	1 to 1	SSD	WP_003099695.1
16128463	b0479	NP_415012.1	predicted fosmidomycin efflux system	0	N/A		1 to 1	SSD	YP_005236194	1 to 1	SSD	NP_459488.1	0	N/A		1 to 1	RBB	YP_001083998	1 to 1	RBB	YP_002385958	0	N/A	
16128464	b0480	NP_415013.1	bifunctional UDP-sugar hydrolase/5'-nucleotidase	0	N/A		1 to 1	Borderline-SSD	YP_005236195	1 to 1	Borderline-SSD	NP_459489.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385959	0	N/A	
16128465	b0481	NP_415014.1	conserved protein	1 to 1	RBB	WP_003416902.1	1 to 1	Borderline-SSD	YP_005236196	1 to 1	Borderline-SSD	NP_459490.1	1 to 1	RBB	NP_252270.1	1 to 1	RBB	YP_001084675	1 to 1	RBB	YP_002385960	1 to 1	RBB	WP_003092163.1
16128466	b0482	NP_415015.1	GumN family protein	0	N/A		1 to 1	Non-SSD	YP_005236197	1 to 1	Non-SSD	NP_459491.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385961	0	N/A	
90111140	b0483	NP_415016.4	predicted DNA-binding transcriptional regulator	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_253363.1	0	N/A		1 to 1	RBB	YP_002385962	1 to 1	RBB	WP_003133769.1
16128468	b0484	NP_415017.1	copper transporter	3 to 1	RBB	WP_009935939.1;WP_003912985.1;WP_003899808.1	1 to 1	SSD	YP_005236199	1 to 1	SSD	NP_459493.1	1 to 1	RBB	NP_252609.1	2 to 1	SSD	YP_001085946;YP_001084249	1 to 1	RBB	YP_002385963	1 to 1	SSD	WP_003110791.1
16128469	b0485	NP_415018.1	glutaminase	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001083996	1 to 1	RBB	YP_002385964	0	N/A	
16128470	b0486	NP_415019.1	predicted transporter	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385965	0	N/A	
16128471	b0487	NP_415020.1	DNA-binding transcriptional activator of copper-responsive regulon genes	1 to 2	RBB	WP_003900026.1	1 to 1	SSD	YP_005236200	1 to 1	SSD	NP_459494.1	1 to 1	RBB	NP_253466.1	1 to 1	RBB	YP_001084250	1 to 1	RBB	YP_002385966	1 to 1	Borderline-SSD	WP_003095248.1
145698226	b0488	NP_415021.2	inner membrane protein that stimulates the ftsH htpX mutant suppressor activity of QmcA	0	N/A		1 to 1	SSD	YP_005236201	1 to 1	SSD	NP_459495.1	1 to 1	RBB	NP_253898.1	0	N/A		1 to 1	RBB	YP_002385967	1 to 1	RBB	WP_003109994.1
16128473	b0489	NP_415022.1	multicopy suppressor of ftsH htpX double mutant; membrane-anchored predicted protease with C-terminal cytoplasmic PHB domain	1 to 1	RBB	WP_003407571.1	1 to 1	SSD	YP_005236202	1 to 1	SSD	NP_459496.1	1 to 1	Non-SSD	NP_249143.1	1 to 1	SSD	YP_001085773	1 to 1	RBB	YP_002385968	1 to 1	RBB	WP_003084693.1
16128474	b0490	NP_415023.1	predicted transporter subunit: ATP-binding component of ABC superfamily	0	N/A		1 to 1	SSD	YP_005236203	1 to 1	SSD	NP_459497.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385969	0	N/A	
90111141	b0491	NP_415024.4	inner membrane protein, UPF0014 family	1 to 1	RBB	WP_003415160.1	1 to 1	SSD	YP_005236204	1 to 1	SSD	NP_459498.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385970	0	N/A	
90111142	b0492	NP_415025.4	DnaK co-chaperone, thioredoxin-like protein	1 to 1	RBB	WP_003406887.1	1 to 1	SSD	YP_005236205	1 to 1	SSD	NP_459499.1	1 to 1	RBB	NP_252750.1	0	N/A		1 to 1	RBB	YP_002385971	1 to 1	RBB	WP_003137633.1
16128477	b0493	NP_415026.1	predicted oxidoreductase with NAD(P)-binding Rossmann-fold domain	0	N/A		1 to 1	SSD	YP_005236206	1 to 1	SSD	NP_459500.1	1 to 1	RBB	NP_252020.1	0	N/A		1 to 1	RBB	YP_002385972	1 to 1	RBB	WP_003106196.1
16128478	b0494	NP_415027.1	multifunctional acyl-CoA thioesterase I and protease I and lysophospholipase L1	0	N/A		1 to 1	SSD	YP_005236207	1 to 1	SSD	NP_459501.1	1 to 1	RBB	NP_251546.1	1 to 1	Borderline-SSD	YP_001084019	1 to 1	RBB	YP_002385973	1 to 1	SSD	WP_003119867.1
16128479	b0495	NP_415028.1	predicted transporter subunit: ATP-binding component of ABC superfamily	1 to 3	RBB	WP_003900248.1	1 to 1	SSD	YP_005236208	1 to 1	SSD	NP_459502.1	1 to 1	RBB	NP_251547.1	0	N/A		1 to 1	RBB	YP_002385974	1 to 1	SSD	WP_003090949.1
16128480	b0496	NP_415029.1	predicted ABC transporter permease	0	N/A		1 to 1	SSD	YP_005236209	1 to 1	SSD	NP_459503.1	1 to 1	RBB	NP_251548.1	1 to 1	SSD	YP_001084021	1 to 1	RBB	YP_002385975	1 to 1	SSD	WP_016254233.1
16128481	b0497	NP_415030.1	rhsD element protein	0	N/A		1 to 4	RBB	YP_005235962	1 to 4	RBB	NP_459289.1	1 to 4	RBB	NP_251374.1	0	N/A		1 to 1	RBB	YP_002385976	1 to 4	RBB	WP_003138894.1
16128482	b0498	NP_415031.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002385977	0	N/A	
16128487	b0503	NP_415036.1	tRNA 2-selenouridine synthase, selenophosphate-dependent	0	N/A		1 to 1	SSD	YP_005236216	1 to 1	SSD	NP_459508.1	1 to 1	RBB	NP_250334.1	0	N/A		1 to 1	RBB	YP_002385981	1 to 1	SSD	WP_003087548.1
16128488	b0504	NP_415037.1	DNA-binding transcriptional activator of the allD operon	0	N/A		1 to 1	RBB	YP_005236217	1 to 1	RBB	NP_459509.1	1 to 4	RBB	NP_251915.1	0	N/A		1 to 1	RBB	YP_002385982	1 to 3	RBB	WP_003091534.1
16128489	b0505	NP_415038.1	ureidoglycolate hydrolase	0	N/A		1 to 1	RBB	YP_005236218	1 to 1	RBB	NP_459510.1	1 to 1	RBB	NP_250205.1	1 to 1	RBB	YP_001086349	1 to 1	RBB	YP_002385983	1 to 1	RBB	WP_003083329.1
16128490	b0506	NP_415039.1	DNA-binding transcriptional repressor for all (allantoin) and gcl (glyoxylate) operons; glyoxylate-induced	1 to 5	RBB	WP_003408460.1	1 to 1	RBB	YP_005236219	1 to 1	RBB	NP_459511.1	1 to 3	RBB	NP_252198.1	2 to 3	RBB	YP_001084385;YP_001084904	1 to 1	RBB	YP_002385984	0	N/A	
16128491	b0507	NP_415040.1	glyoxylate carboligase	0	N/A		1 to 1	RBB	YP_005236220	1 to 1	RBB	NP_459512.1	1 to 1	RBB	NP_250193.1	0	N/A		1 to 1	RBB	YP_002385985	1 to 1	RBB	WP_003087182.1
16128492	b0508	NP_415041.1	hydroxypyruvate isomerase	0	N/A		1 to 1	RBB	YP_005236221	1 to 1	RBB	NP_459513.1	1 to 1	RBB	NP_250192.1	1 to 2	RBB	YP_001083626	1 to 1	RBB	YP_002385986	1 to 1	RBB	WP_003087181.1
16128493	b0509	NP_415042.1	tartronate semialdehyde reductase, NADH-dependent	1 to 4	RBB	WP_003403844.1	1 to 1	RBB	YP_005236222	1 to 1	RBB	NP_459514.1	1 to 1	RBB	NP_250191.1	1 to 2	SSD	YP_001084819	1 to 1	RBB	YP_002385987	1 to 1	SSD	WP_003087180.1
90111144	b0511	NP_415044.4	predicted allantoin transporter	0	N/A		1 to 1	SSD	YP_005236225	1 to 1	SSD	NP_459517.1	1 to 1	RBB	NP_249167.1	1 to 1	Non-SSD	YP_001084477	1 to 1	RBB	YP_002385988	1 to 1	RBB	WP_031632850.1
16128496	b0512	NP_415045.1	allantoinase	1 to 2	RBB	WP_003407204.1	1 to 1	RBB	YP_005236226	1 to 1	RBB	NP_459518.1	0	N/A		1 to 1	RBB	YP_001084223	1 to 1	RBB	YP_002385989	0	N/A	
90111145	b0513	NP_415046.4	predicted uracil/xanthine transporter	0	N/A		1 to 1	RBB	YP_005236227	1 to 1	RBB	NP_459519.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385990	0	N/A	
16128498	b0514	NP_415047.1	glycerate kinase II	1 to 2	RBB	WP_003899216.1	1 to 1	RBB	YP_005236228	1 to 1	RBB	NP_459520.1	1 to 2	RBB	NP_249743.1	1 to 2	RBB	YP_001085660	1 to 1	RBB	YP_002385991	1 to 2	RBB	WP_003140617.1
16128499	b0515	NP_415048.1	conserved protein	0	N/A		1 to 1	RBB	YP_005236229	1 to 1	RBB	NP_459521.1	1 to 1	RBB	NP_249831.1	0	N/A		1 to 1	RBB	YP_002385992	1 to 1	RBB	WP_003086528.1
16128500	b0516	NP_415049.1	allantoate amidohydrolase	0	N/A		1 to 1	SSD	YP_005236230	1 to 1	SSD	NP_459522.1	1 to 1	RBB	NP_249135.1	0	N/A		1 to 1	RBB	YP_002385993	1 to 1	RBB	WP_003084676.1
16128501	b0517	NP_415050.1	ureidoglycolate dehydrogenase	0	N/A		1 to 1	RBB	YP_005236231	1 to 1	RBB	NP_459523.1	1 to 3	RBB	NP_249943.1	0	N/A		1 to 1	RBB	YP_002385994	1 to 3	RBB	WP_003082545.1
16128502	b0518	NP_415051.1	multicopy suppressor of dominant negative ftsH mutations; predicted acyl-CoA synthetase with NAD(P)-binding Rossmann-fold domain	0	N/A		1 to 1	RBB	YP_005236232	1 to 1	RBB	NP_459524.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385995	0	N/A	
16128504	b0520	NP_415053.1	conserved protein	0	N/A		1 to 1	RBB	YP_005236234	1 to 1	RBB	NP_459526.1	0	N/A		0	N/A		1 to 1	RBB	YP_002385997	0	N/A	
16128505	b0521	NP_415054.1	predicted carbamate kinase	0	N/A		1 to 1	RBB	YP_005236235	1 to 1	RBB	NP_459527.1	1 to 1	RBB	NP_253860.1	0	N/A		1 to 1	RBB	YP_002385998	1 to 1	RBB	WP_003096199.1
16128506	b0522	NP_415055.1	N5-carboxyaminoimidazole ribonucleotide synthase	1 to 1	RBB	WP_003417126.1	1 to 1	Borderline-SSD	YP_005236236	1 to 1	Borderline-SSD	NP_459528.1	1 to 1	Borderline-SSD	NP_254112.1	1 to 1	SSD	YP_001085968	1 to 1	RBB	YP_002385999	1 to 1	SSD	WP_003142082.1
16128507	b0523	NP_415056.1	N5-carboxyaminoimidazole ribonucleotide mutase	1 to 1	RBB	WP_003899997.1	1 to 1	SSD	YP_005236237	1 to 1	SSD	NP_459529.1	1 to 1	Borderline-SSD	NP_254113.1	1 to 1	SSD	YP_001085969	1 to 1	RBB	YP_002386000	1 to 1	SSD	WP_003106314.1
16128508	b0524	NP_415057.1	UDP-2,3-diacylglucosamine pyrophosphatase	0	N/A		1 to 1	Borderline-SSD	YP_005236238	1 to 1	Borderline-SSD	NP_459530.1	1 to 1	SSD	NP_250483.1	1 to 1	SSD	YP_001085139	1 to 1	RBB	YP_002386001	1 to 1	RBB	WP_003113585.1
16128509	b0525	NP_415058.1	peptidyl-prolyl cis-trans isomerase B (rotamase B)	1 to 1	RBB	WP_003400321.1	1 to 1	SSD	YP_005236239	1 to 1	SSD	NP_459531.1	1 to 1	SSD	NP_250484.1	0	N/A		1 to 1	RBB	YP_002386002	1 to 1	SSD	WP_003087890.1
16128510	b0526	NP_415059.1	cysteinyl-tRNA synthetase	1 to 1	RBB	WP_003900108.1	1 to 1	Borderline-SSD	YP_005236240	1 to 1	Borderline-SSD	NP_459532.1	1 to 1	SSD	NP_250486.1	1 to 1	SSD	YP_001084265	1 to 1	RBB	YP_002386003	1 to 1	SSD	WP_003139944.1
16128511	b0527	NP_415060.1	inner membrane protein, DUF457 family	0	N/A		1 to 1	RBB	YP_005236243	1 to 1	RBB	NP_459535.1	1 to 1	RBB	NP_253649.1	0	N/A		1 to 1	RBB	YP_002386004	1 to 1	RBB	WP_003095684.1
90111146	b0528	NP_415061.2	Ribosome-associated protein; predicted RNA-binding protein	0	N/A		1 to 1	Borderline-SSD	YP_005236244	1 to 1	Borderline-SSD	NP_459536.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386005	0	N/A	
16128513	b0529	NP_415062.1	bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	1 to 1	RBB	WP_003417751.1	1 to 1	SSD	YP_005236245	1 to 1	SSD	NP_459537.1	1 to 1	SSD	NP_250487.1	1 to 1	SSD	YP_001085692	1 to 1	RBB	YP_002386006	1 to 1	SSD	WP_003087898.1
90111147	b0530	NP_415063.4	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005236248	1 to 1	RBB	NP_459538.3	0	N/A		0	N/A		1 to 1	RBB	YP_002386007	0	N/A	
16128515	b0531	NP_415064.1	pilin chaperone, periplasmic	0	N/A		1 to 1	RBB	YP_005236250	1 to 1	RBB	NP_459540.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386008	0	N/A	
16128516	b0532	NP_415065.1	predicted outer membrane export usher protein	0	N/A		1 to 1	RBB	YP_005236251	1 to 1	RBB	NP_459541.1	1 to 4	RBB	NP_249685.1	0	N/A		1 to 1	RBB	YP_002386009	1 to 4	RBB	WP_003134047.1
145698227	b0533	NP_415066.2	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005236252	1 to 1	RBB	NP_459542.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386010	0	N/A	
16128518	b0534	NP_415067.1	predicted fimbrial-like adhesin protein	0	N/A		1 to 1	RBB	YP_005236253	1 to 1	RBB	NP_459543.1	1 to 1	RBB	NP_253971.1	0	N/A		1 to 1	RBB	YP_002386011	1 to 1	RBB	WP_003096438.1
16128519	b0535	NP_415068.1	predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	RBB	YP_005236254	1 to 1	RBB	NP_459544.1	2 to 1	RBB	NP_252637.1;NP_248724.1	0	N/A		1 to 1	RBB	YP_002386012	2 to 1	RBB	WP_003111192.1;WP_003093094.1
16128520	b0537	NP_415069.1	DLP12 prophage; predicted integrase	0	N/A		1 to 1	SSD	YP_005236259	1 to 1	RBB	NP_459548.1	1 to 1	RBB	NP_249419.1	1 to 1	RBB	YP_001084609	0	N/A		0	N/A	
226524703	b0540	NP_415072.2	IS3 transposase A	0	N/A		1 to 5	RBB	YP_005238851	1 to 5	RBB	NP_461695.1	0	N/A		0	N/A		1 to 5	RBB	YP_002387469	0	N/A	
16128524	b0541	NP_415073.1	IS3 transposase B	16 to 6	RBB	WP_003899492.1	1 to 5	Non-SSD	YP_005238852	1 to 5	Non-SSD	NP_461696.1	2 to 6	RBB	NP_249669.1;NP_250628.1	1 to 6	RBB	YP_001083709	1 to 5	RBB	YP_002387468	2 to 6	RBB	WP_023443521.1;WP_003137178.1
16128526	b0543	NP_415075.1	DLP12 prophage; multidrug resistance protein	1 to 1	RBB	WP_003415995.1	1 to 1	RBB	YP_005237565	1 to 1	RBB	NP_460612.1	1 to 1	RBB	NP_253677.1	1 to 1	RBB	YP_001085323	0	N/A		1 to 1	Borderline-SSD	WP_003095735.1
16128527	b0544	NP_415076.1	DLP12 prophage; predicted recombinase	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	WP_003138396.1
16128528	b0545	NP_415077.1	DLP12 prophage; secreted protein, UPF0098 family	1 to 2	RBB	WP_003411119.1	1 to 1	Borderline-SSD	YP_005236815	1 to 1	Borderline-SSD	NP_460055.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128529	b0546	NP_415078.1	DLP12 prophage; predicted DNA-binding transcriptional regulator	0	N/A		1 to 1	Non-SSD	YP_005236816	1 to 1	Non-SSD	NP_460056.1	0	N/A		1 to 1	RBB	YP_001086246	0	N/A		0	N/A	
16128530	b0547	NP_415079.1	DLP12 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386233	0	N/A	
16128531	b0548	NP_415080.1	DLP12 prophage; conserved protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386234	0	N/A	
16128532	b0549	NP_415081.1	DLP12 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386235	0	N/A	
16128533	b0550	NP_415082.1	DLP12 prophage; endonuclease RUS	0	N/A		1 to 1	RBB	YP_005238012	0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386236	0	N/A	
16128534	b0551	NP_415083.1	DLP12 prophage; predicted antitermination protein	0	N/A		1 to 1	RBB	YP_005238303	1 to 1	RBB	NP_461182.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386237	0	N/A	
16128535	b0552	NP_415084.1	IS5 transposase and trans-activator	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128537	b0554	NP_415086.1	DLP12 prophage; predicted phage lysis protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386239	0	N/A	
16128538	b0555	NP_415087.1	DLP12 prophage; predicted lysozyme	0	N/A		2 to 1	RBB	YP_005238721;YP_005236758	2 to 1	RBB	NP_460003.1;NP_461548.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386240	0	N/A	
16128539	b0556	NP_415088.1	DLP12 prophage; predicted murein endopeptidase	0	N/A		2 to 1	RBB	YP_005238004;YP_005236759	2 to 1	RBB	NP_460004.1;NP_459885.1	0	N/A		0	N/A		1 to 1	RBB	YP_002386241	0	N/A	
16128540	b0557	NP_415089.1	DLP12 prophage; predicted lipoprotein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386242	0	N/A	
90111149	b0558	NP_415090.2	DLP12 prophage; predicted protein	0	N/A		1 to 3	RBB	YP_005237806	1 to 3	RBB	NP_460812.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128542	b0559	NP_415091.1	DLP12 prophage; predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		0	N/A	
16128543	b0560	NP_415092.1	DLP12 prophage; DNA packaging protein	0	N/A		2 to 1	RBB	YP_005237037;YP_005238718	1 to 1	RBB	NP_461545.1	0	N/A		0	N/A		2 to 1	RBB	YP_002387021;YP_002386243	0	N/A	
16128547	b0564	NP_415096.1	DNA-binding global transcriptional activator; DLP12 prophage	2 to 5	RBB	WP_003416068.1;WP_003407264.1	1 to 2	RBB	YP_005238984	1 to 2	RBB	NP_461796.1	0	N/A		5 to 1	RBB	YP_001084562;YP_001085785;YP_001084785;YP_001085419;YP_001085859	0	N/A		4 to 3	RBB	WP_003139609.1;WP_003098298.1;WP_004364972.1;WP_003138428.1
16128548	b0565	NP_415097.1	DLP12 prophage; outer membrane protease VII (outer membrane protein 3b)	0	N/A		1 to 1	Non-SSD	YP_005238480	1 to 1	Non-SSD	NP_461336.1	0	N/A		0	N/A		0	N/A		0	N/A	
16128549	b0566	NP_415098.1	DNA-binding transcriptional activator of porin biosynthesis	2 to 5	RBB	WP_003416068.1;WP_003407264.1	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386014	0	N/A	
16128550	b0567	NP_415099.1	predicted protein	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386015	0	N/A	
16128551	b0568	NP_415100.1	bacteriophage N4 receptor, outer membrane subunit	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_253356.1	0	N/A		1 to 1	RBB	YP_002386016	1 to 1	RBB	WP_004355240.1
16128552	b0569	NP_415101.1	bacteriophage N4 receptor, inner membrane subunit	0	N/A		0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_002386017	0	N/A	
16128553	b0570	NP_415102.1	sensory histidine kinase in two-component regulatory system with CusR, senses copper ions	0	N/A		1 to 1	RBB	YP_005236264	1 to 1	RBB	NP_459553.1	1 to 1	RBB	NP_251500.1	1 to 1	SSD	YP_001085945	1 to 1	RBB	YP_002386024	1 to 1	RBB	WP_003138769.1
16128554	b0571	NP_415103.1	DNA-binding response regulator in two-component regulatory system with CusS	5 to 1	RBB	WP_003916757.1;WP_009935658.1;WP_003915456.1;WP_003405328.1;WP_003420552.1	0	N/A		0	N/A		1 to 1	SSD	NP_251499.1	1 to 2	SSD	YP_001085944	1 to 1	RBB	YP_002386025	1 to 1	RBB	WP_003108949.1
16128555	b0572	NP_415104.1	copper/silver efflux system, outer membrane component	0	N/A		1 to 1	Borderline-SSD	YP_005236024	1 to 1	Borderline-SSD	NP_459345.2	2 to 1	RBB	NP_253287.1;NP_249118.1	1 to 1	SSD	YP_001085752	1 to 1	RBB	YP_002386026	2 to 1	RBB	WP_003116284.1;WP_003084633.1
16128556	b0573	NP_415105.1	periplasmic copper- and silver-binding protein	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001085938	1 to 1	RBB	YP_002386027	0	N/A	
16128557	b0574	NP_415106.1	copper/silver efflux system, membrane fusion protein	0	N/A		0	N/A		0	N/A		0	N/A		1 to 1	RBB	YP_001085940	1 to 1	RBB	YP_002386028	0	N/A	
16128558	b0575	NP_415107.1	copper/silver efflux system, membrane component	0	N/A		0	N/A		0	N/A		1 to 1	RBB	NP_251210.1	1 to 1	RBB	YP_001085939	1 to 1	RBB	YP_002386029	1 to 1	RBB	WP_003138997.1
16128559	b0576	NP_415108.1	phenylalanine transporter	0	N/A		1 to 1	SSD	YP_005236271	1 to 1	SSD	NP_459560.1	0	N/A		1 to 2	RBB	YP_001086404	1 to 1	RBB	YP_002386030	0	N/A	
16128560	b0577	NP_415109.1	mechanosensitive channel protein, miniconductance	0	N/A		1 to 1	SSD	YP_005236272	1 to 1	SSD	NP_459561.1	1 to 1	RBB	NP_252158.1	1 to 1	RBB	YP_001085108	1 to 1	RBB	YP_002386031	1 to 1	RBB	WP_003091979.1
16128561	b0578	NP_415110.1	dihydropteridine reductase, NAD(P)H-dependent, oxygen-insensitive	0	N/A		1 to 1	SSD	YP_005236282	1 to 1	SSD	NP_459570.1	0	N/A		1 to 1	RBB	YP_001085140	1 to 1	RBB	YP_002386032	0	N/A	
